Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,20700.00,20700.00,20700.00,20700.00,000,20700.00
2012-12-28,20300.00,20750.00,20200.00,20700.00,11900,20700.00
2012-12-27,20550.00,20600.00,20300.00,20500.00,3800,20500.00
2012-12-26,20650.00,20750.00,20450.00,20600.00,8800,20600.00
2012-12-25,20650.00,20650.00,20650.00,20650.00,000,20650.00
2012-12-24,20700.00,20800.00,20600.00,20650.00,4000,20650.00
2012-12-21,20700.00,20850.00,20550.00,20800.00,6100,20800.00
2012-12-20,20900.00,20900.00,20600.00,20800.00,8800,20800.00
2012-12-19,20900.00,20900.00,20900.00,20900.00,000,20900.00
2012-12-18,20700.00,20900.00,20350.00,20900.00,10000,20900.00
2012-12-17,20250.00,20950.00,20250.00,20700.00,25600,20700.00
2012-12-14,20550.00,20550.00,20300.00,20450.00,4000,20450.00
2012-12-13,20300.00,20550.00,20200.00,20500.00,11100,20500.00
2012-12-12,20300.00,20400.00,20000.00,20150.00,6000,20150.00
2012-12-11,20100.00,20300.00,19850.00,20300.00,6700,20300.00
2012-12-10,20550.00,20550.00,20150.00,20200.00,3400,20200.00
2012-12-07,20700.00,20750.00,20350.00,20350.00,5600,20350.00
2012-12-06,20600.00,20800.00,20450.00,20650.00,12500,20650.00
2012-12-05,20400.00,20800.00,20350.00,20600.00,14300,20600.00
2012-12-04,20750.00,20750.00,20400.00,20400.00,2500,20400.00
2012-12-03,20700.00,20900.00,20600.00,20600.00,6500,20600.00
2012-11-30,20850.00,21000.00,20650.00,20800.00,7900,20800.00
2012-11-29,20800.00,20800.00,20650.00,20800.00,2100,20800.00
2012-11-28,20800.00,20850.00,20650.00,20800.00,2300,20800.00
2012-11-27,20450.00,21000.00,20450.00,20800.00,4100,20800.00
2012-11-26,20400.00,20800.00,20400.00,20450.00,10400,20450.00
2012-11-23,20400.00,20600.00,20300.00,20400.00,6900,20400.00
2012-11-22,20800.00,20900.00,20400.00,20400.00,5500,20400.00
2012-11-21,20400.00,20700.00,20400.00,20700.00,8100,20700.00
2012-11-20,20600.00,20600.00,20200.00,20400.00,15200,20400.00
2012-11-19,20950.00,20950.00,20150.00,20400.00,105100,20400.00
2012-11-16,21100.00,21100.00,20500.00,21000.00,9300,21000.00
2012-11-15,20250.00,21250.00,20250.00,21000.00,25100,21000.00
2012-11-14,20750.00,21250.00,20500.00,20800.00,17100,20800.00
2012-11-13,20750.00,20950.00,20500.00,20750.00,6500,20750.00
2012-11-12,21600.00,21600.00,20750.00,20750.00,17500,20750.00
2012-11-09,21500.00,21500.00,21000.00,21300.00,8600,21300.00
2012-11-08,21000.00,21800.00,20950.00,21550.00,12700,21550.00
2012-11-07,21550.00,21700.00,21250.00,21550.00,14100,21550.00
2012-11-06,21000.00,21700.00,20950.00,21550.00,19400,21550.00
2012-11-05,20950.00,21100.00,20550.00,21050.00,6400,21050.00
2012-11-02,20550.00,21050.00,20400.00,21000.00,11500,21000.00
2012-11-01,20250.00,20500.00,19950.00,20450.00,8900,20450.00
2012-10-31,20300.00,20800.00,20250.00,20250.00,17800,20250.00
2012-10-30,19900.00,20450.00,19600.00,20250.00,17500,20250.00
2012-10-29,20150.00,20450.00,19900.00,19900.00,10100,19900.00
2012-10-26,21000.00,21000.00,20150.00,20150.00,10700,20150.00
2012-10-25,20900.00,21200.00,20850.00,20900.00,22400,20900.00
2012-10-24,21050.00,21250.00,20500.00,20900.00,17800,20900.00
2012-10-23,21550.00,21550.00,21100.00,21100.00,4400,21100.00
2012-10-22,21800.00,21800.00,21050.00,21300.00,6500,21300.00
2012-10-19,21700.00,22150.00,21650.00,21800.00,5600,21800.00
2012-10-18,22650.00,22650.00,21700.00,21900.00,27400,21900.00
2012-10-17,22800.00,22900.00,22200.00,22400.00,30000,22400.00
2012-10-16,22750.00,22900.00,22500.00,22750.00,33400,22750.00
2012-10-15,22400.00,22750.00,22200.00,22500.00,44000,22500.00
2012-10-12,21550.00,22500.00,21550.00,22300.00,47600,22300.00
2012-10-11,22000.00,22000.00,21550.00,21750.00,10600,21750.00
2012-10-10,22450.00,22450.00,21800.00,22000.00,17300,22000.00
2012-10-09,22500.00,22650.00,22100.00,22450.00,24300,22450.00
2012-10-08,22750.00,23100.00,22500.00,22500.00,31700,22500.00
2012-10-05,22650.00,22750.00,22200.00,22600.00,30600,22600.00
