Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1345.00,1345.00,1345.00,1345.00,000,1345.00
2012-12-28,1355.00,1355.00,1325.00,1345.00,110800,1345.00
2012-12-27,1355.00,1360.00,1340.00,1345.00,313000,1345.00
2012-12-26,1400.00,1410.00,1375.00,1380.00,466300,1380.00
2012-12-25,1390.00,1390.00,1390.00,1390.00,000,1390.00
2012-12-24,1335.00,1400.00,1335.00,1390.00,489900,1390.00
2012-12-21,1340.00,1350.00,1330.00,1340.00,184100,1340.00
2012-12-20,1325.00,1350.00,1320.00,1340.00,251000,1340.00
2012-12-19,1325.00,1325.00,1325.00,1325.00,000,1325.00
2012-12-18,1360.00,1360.00,1320.00,1325.00,215800,1325.00
2012-12-17,1365.00,1365.00,1340.00,1350.00,138900,1350.00
2012-12-14,1370.00,1370.00,1350.00,1360.00,160000,1360.00
2012-12-13,1370.00,1370.00,1340.00,1365.00,224300,1365.00
2012-12-12,1325.00,1360.00,1310.00,1360.00,266700,1360.00
2012-12-11,1330.00,1340.00,1300.00,1310.00,316700,1310.00
2012-12-10,1340.00,1340.00,1320.00,1335.00,189800,1335.00
2012-12-07,1350.00,1375.00,1330.00,1335.00,476900,1335.00
2012-12-06,1310.00,1345.00,1310.00,1345.00,369200,1345.00
2012-12-05,1320.00,1340.00,1300.00,1305.00,429900,1305.00
2012-12-04,1350.00,1350.00,1300.00,1320.00,613700,1320.00
2012-12-03,1365.00,1380.00,1350.00,1355.00,439600,1355.00
2012-11-30,1395.00,1400.00,1360.00,1375.00,326100,1375.00
2012-11-29,1385.00,1410.00,1375.00,1385.00,659200,1385.00
2012-11-28,1375.00,1390.00,1350.00,1380.00,373400,1380.00
2012-11-27,1380.00,1390.00,1365.00,1375.00,777800,1375.00
2012-11-26,1385.00,1385.00,1345.00,1365.00,696500,1365.00
2012-11-23,1420.00,1425.00,1355.00,1365.00,1486700,1365.00
2012-11-22,1420.00,1450.00,1395.00,1420.00,861700,1420.00
2012-11-21,1445.00,1460.00,1380.00,1430.00,2372000,1430.00
2012-11-20,1465.00,1480.00,1420.00,1440.00,1408400,1440.00
2012-11-19,1670.00,1670.00,1390.00,1450.00,6738300,1450.00
2012-11-16,1595.00,1670.00,1555.00,1630.00,3454200,1630.00
