Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,14500.00,14500.00,14500.00,14500.00,000,14500.00
2012-12-28,13600.00,14600.00,13600.00,14500.00,283700,14500.00
2012-12-27,13450.00,13850.00,13450.00,13800.00,100800,13800.00
2012-12-26,13600.00,13850.00,13500.00,13500.00,97700,13500.00
2012-12-25,13600.00,13600.00,13600.00,13600.00,000,13600.00
2012-12-24,13950.00,14100.00,13600.00,13600.00,148000,13600.00
2012-12-21,13750.00,14100.00,13400.00,14000.00,225500,14000.00
2012-12-20,14500.00,14550.00,13550.00,13600.00,248300,13600.00
2012-12-19,14500.00,14500.00,14500.00,14500.00,000,14500.00
2012-12-18,14850.00,15050.00,14100.00,14500.00,233400,14500.00
2012-12-17,15850.00,15900.00,14700.00,14700.00,265800,14700.00
2012-12-14,15500.00,16400.00,15400.00,15850.00,356800,15850.00
2012-12-13,16000.00,16000.00,15150.00,15450.00,228900,15450.00
2012-12-12,16300.00,17100.00,15000.00,15650.00,582900,15650.00
2012-12-11,15600.00,17650.00,15550.00,16100.00,589000,16100.00
2012-12-10,16300.00,16800.00,15650.00,15900.00,261700,15900.00
2012-12-07,15550.00,17400.00,15500.00,17150.00,815200,17150.00
2012-12-06,17300.00,17300.00,16200.00,16650.00,616800,16650.00
2012-12-05,16800.00,17450.00,16500.00,17000.00,978300,17000.00
2012-12-04,14600.00,16600.00,14600.00,16600.00,1127300,16600.00
2012-12-03,14400.00,14600.00,13800.00,14450.00,206300,14450.00
2012-11-30,14700.00,15000.00,14300.00,14500.00,161600,14500.00
2012-11-29,14400.00,14850.00,14000.00,14750.00,188200,14750.00
2012-11-28,13950.00,14500.00,13600.00,14350.00,233800,14350.00
2012-11-27,14050.00,14200.00,13550.00,13950.00,194200,13950.00
2012-11-26,13800.00,14050.00,13150.00,13950.00,303100,13950.00
2012-11-23,12400.00,13900.00,12350.00,13250.00,583900,13250.00
2012-11-22,12100.00,12400.00,11700.00,12300.00,311900,12300.00
2012-11-21,10650.00,12150.00,10550.00,12050.00,678100,12050.00
2012-11-20,10800.00,10800.00,10450.00,10600.00,102900,10600.00
2012-11-19,10350.00,10650.00,10350.00,10600.00,121800,10600.00
2012-11-16,10700.00,10900.00,10000.00,10250.00,370700,10250.00
2012-11-15,11450.00,11600.00,10450.00,10950.00,1081600,10950.00
2012-11-14,14450.00,14650.00,12250.00,12250.00,203000,12250.00
2012-11-13,14050.00,14700.00,14000.00,14400.00,100900,14400.00
2012-11-12,14200.00,14300.00,14000.00,14150.00,48200,14150.00
2012-11-09,13600.00,14150.00,13300.00,14050.00,54600,14050.00
2012-11-08,13700.00,13900.00,13650.00,13700.00,43900,13700.00
2012-11-07,14300.00,14300.00,13650.00,14100.00,63600,14100.00
2012-11-06,14350.00,14350.00,13900.00,14050.00,46700,14050.00
2012-11-05,14500.00,14500.00,14050.00,14300.00,38300,14300.00
2012-11-02,14500.00,14650.00,14300.00,14500.00,60000,14500.00
2012-11-01,13950.00,14500.00,13700.00,14450.00,100100,14450.00
2012-10-31,13200.00,14000.00,13200.00,14000.00,75500,14000.00
2012-10-30,12550.00,13500.00,12550.00,13400.00,100500,13400.00
2012-10-29,13400.00,13500.00,12900.00,13000.00,54600,13000.00
2012-10-26,13400.00,13900.00,13250.00,13250.00,57900,13250.00
2012-10-25,14050.00,14150.00,13550.00,13600.00,68200,13600.00
2012-10-24,14000.00,14050.00,13600.00,14050.00,105900,14050.00
2012-10-23,14400.00,14500.00,14150.00,14300.00,53800,14300.00
2012-10-22,14400.00,14600.00,14150.00,14400.00,43600,14400.00
2012-10-19,14200.00,14700.00,14200.00,14700.00,71100,14700.00
2012-10-18,14650.00,14950.00,14300.00,14300.00,67000,14300.00
2012-10-17,14300.00,14700.00,14300.00,14550.00,78900,14550.00
2012-10-16,14450.00,14650.00,14000.00,14250.00,104200,14250.00
2012-10-15,15250.00,15300.00,14250.00,14300.00,198100,14300.00
2012-10-12,15550.00,15650.00,15150.00,15300.00,56100,15300.00
2012-10-11,15200.00,15500.00,15000.00,15450.00,102400,15450.00
2012-10-10,15900.00,15900.00,15350.00,15350.00,64100,15350.00
2012-10-09,15350.00,16100.00,15350.00,15950.00,73600,15950.00
2012-10-08,15950.00,16050.00,15350.00,15500.00,89300,15500.00
2012-10-05,15700.00,16150.00,15700.00,15800.00,94200,15800.00
2012-10-04,16300.00,16700.00,15750.00,15750.00,200600,15750.00
2012-10-03,16500.00,16500.00,16500.00,16500.00,000,16500.00
2012-10-02,16750.00,16900.00,16450.00,16500.00,68000,16500.00
2012-10-01,16800.00,16800.00,16800.00,16800.00,000,16800.00
2012-09-28,16950.00,17200.00,16650.00,16800.00,79400,16800.00
2012-09-27,16500.00,16950.00,16200.00,16950.00,93000,16950.00
2012-09-26,16650.00,17150.00,16500.00,16600.00,99200,16600.00
2012-09-25,17200.00,17250.00,16800.00,16850.00,128100,16850.00
2012-09-24,17300.00,17400.00,16700.00,17400.00,170000,17400.00
2012-09-21,18150.00,18450.00,17200.00,17400.00,227400,17400.00
2012-09-20,18650.00,18750.00,18000.00,18000.00,163200,18000.00
2012-09-19,17500.00,18500.00,17350.00,18500.00,317200,18500.00
2012-09-18,17100.00,17550.00,17000.00,17550.00,104300,17550.00
2012-09-17,17400.00,17650.00,17050.00,17100.00,163400,17100.00
2012-09-14,17450.00,17700.00,17250.00,17550.00,187100,17550.00
2012-09-13,16900.00,17650.00,16800.00,17100.00,302500,17100.00
2012-09-12,16500.00,17050.00,16500.00,16700.00,120800,16700.00
2012-09-11,16950.00,16950.00,16300.00,16400.00,207400,16400.00
2012-09-10,17400.00,17450.00,17000.00,17050.00,60700,17050.00
2012-09-07,17400.00,17550.00,17100.00,17350.00,144000,17350.00
2012-09-06,17350.00,17450.00,16950.00,17000.00,92700,17000.00
2012-09-05,17800.00,17850.00,17100.00,17300.00,132000,17300.00
2012-09-04,17250.00,17950.00,17000.00,17850.00,255800,17850.00
2012-09-03,17550.00,17700.00,16800.00,16900.00,177800,16900.00
