Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1150.00,1150.00,1150.00,1150.00,000,1150.00
2012-12-28,1130.00,1155.00,1115.00,1150.00,738600,1150.00
2012-12-27,1105.00,1130.00,1095.00,1130.00,741900,1130.00
2012-12-26,1085.00,1120.00,1085.00,1090.00,1821400,1090.00
2012-12-25,1135.00,1135.00,1135.00,1135.00,000,1135.00
2012-12-24,1140.00,1140.00,1120.00,1135.00,349400,1135.00
2012-12-21,1165.00,1165.00,1135.00,1140.00,274200,1140.00
2012-12-20,1135.00,1170.00,1125.00,1165.00,486700,1165.00
2012-12-19,1125.00,1125.00,1125.00,1125.00,000,1125.00
2012-12-18,1125.00,1150.00,1120.00,1125.00,269100,1125.00
2012-12-17,1135.00,1150.00,1125.00,1130.00,151000,1130.00
2012-12-14,1140.00,1150.00,1130.00,1140.00,128700,1140.00
2012-12-13,1130.00,1150.00,1125.00,1150.00,161800,1150.00
2012-12-12,1130.00,1140.00,1120.00,1120.00,267200,1120.00
2012-12-11,1115.00,1150.00,1115.00,1125.00,316800,1125.00
2012-12-10,1140.00,1140.00,1115.00,1130.00,367700,1130.00
2012-12-07,1150.00,1165.00,1135.00,1140.00,411200,1140.00
2012-12-06,1155.00,1175.00,1140.00,1150.00,366100,1150.00
2012-12-05,1160.00,1160.00,1145.00,1150.00,472100,1150.00
2012-12-04,1160.00,1165.00,1140.00,1145.00,493900,1145.00
2012-12-03,1175.00,1175.00,1145.00,1155.00,420300,1155.00
2012-11-30,1155.00,1195.00,1155.00,1160.00,704800,1160.00
2012-11-29,1155.00,1170.00,1145.00,1155.00,309600,1155.00
2012-11-28,1170.00,1175.00,1155.00,1155.00,398000,1155.00
2012-11-27,1165.00,1190.00,1160.00,1170.00,486400,1170.00
2012-11-26,1175.00,1180.00,1160.00,1175.00,383000,1175.00
2012-11-23,1160.00,1190.00,1160.00,1180.00,345600,1180.00
2012-11-22,1170.00,1185.00,1165.00,1165.00,499800,1165.00
2012-11-21,1185.00,1205.00,1165.00,1170.00,517400,1170.00
2012-11-20,1210.00,1215.00,1180.00,1185.00,292000,1185.00
2012-11-19,1170.00,1245.00,1170.00,1195.00,790600,1195.00
2012-11-16,1175.00,1200.00,1155.00,1160.00,571300,1160.00
2012-11-15,1210.00,1220.00,1175.00,1190.00,732600,1190.00
