Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,9120.00,9120.00,9120.00,9120.00,000,9120.00
2012-12-28,9060.00,9200.00,8950.00,9120.00,159000,9120.00
2012-12-27,9010.00,9090.00,8930.00,9020.00,237800,9020.00
2012-12-26,9220.00,9220.00,9080.00,9150.00,278700,9150.00
2012-12-25,9120.00,9120.00,9120.00,9120.00,000,9120.00
2012-12-24,9390.00,9400.00,9120.00,9120.00,271800,9120.00
2012-12-21,9130.00,9350.00,9040.00,9350.00,324000,9350.00
2012-12-20,9050.00,9200.00,9020.00,9050.00,214700,9050.00
2012-12-19,9030.00,9030.00,9030.00,9030.00,000,9030.00
2012-12-18,9260.00,9280.00,8850.00,9030.00,235900,9030.00
2012-12-17,9050.00,9200.00,8920.00,9200.00,297700,9200.00
2012-12-14,9110.00,9110.00,8870.00,9050.00,211500,9050.00
2012-12-13,8720.00,9120.00,8720.00,9110.00,347600,9110.00
2012-12-12,8950.00,9030.00,8700.00,8700.00,498600,8700.00
2012-12-11,9140.00,9210.00,8950.00,8960.00,401600,8960.00
2012-12-10,9080.00,9300.00,9020.00,9120.00,226400,9120.00
2012-12-07,9300.00,9340.00,9000.00,9090.00,292600,9090.00
2012-12-06,9320.00,9370.00,9150.00,9200.00,228300,9200.00
2012-12-05,9300.00,9430.00,9100.00,9380.00,206800,9380.00
2012-12-04,9480.00,9480.00,9270.00,9300.00,215200,9300.00
2012-12-03,9600.00,9630.00,9480.00,9480.00,206200,9480.00
2012-11-30,9400.00,9590.00,9310.00,9590.00,308500,9590.00
2012-11-29,9270.00,9490.00,9230.00,9450.00,339800,9450.00
2012-11-28,9380.00,9400.00,9090.00,9210.00,85900,9210.00
2012-11-27,9320.00,9490.00,9300.00,9310.00,132400,9310.00
2012-11-26,9420.00,9490.00,9280.00,9360.00,156600,9360.00
2012-11-23,9170.00,9360.00,8990.00,9360.00,162000,9360.00
2012-11-22,9210.00,9340.00,9110.00,9150.00,100800,9150.00
2012-11-21,9030.00,9240.00,9030.00,9190.00,131400,9190.00
2012-11-20,9150.00,9220.00,8990.00,9030.00,104300,9030.00
2012-11-19,9070.00,9160.00,9000.00,9130.00,131600,9130.00
2012-11-16,8870.00,9100.00,8790.00,8980.00,213200,8980.00
2012-11-15,9100.00,9220.00,8810.00,8870.00,511100,8870.00
2012-11-14,9550.00,9800.00,9010.00,9110.00,493200,9110.00
2012-11-13,9900.00,9920.00,9500.00,9560.00,278300,9560.00
2012-11-12,9950.00,9990.00,9860.00,9900.00,175400,9900.00
2012-11-09,9500.00,9830.00,9410.00,9800.00,314800,9800.00
2012-11-08,9520.00,9570.00,9410.00,9470.00,150400,9470.00
2012-11-07,9610.00,9780.00,9350.00,9590.00,194000,9590.00
2012-11-06,9650.00,9660.00,9530.00,9610.00,135600,9610.00
2012-11-05,9720.00,9760.00,9570.00,9680.00,93200,9680.00
2012-11-02,9550.00,9830.00,9550.00,9680.00,233400,9680.00
2012-11-01,9200.00,9530.00,9150.00,9510.00,333200,9510.00
2012-10-31,9120.00,9300.00,9120.00,9160.00,138600,9160.00
2012-10-30,9000.00,9360.00,9000.00,9080.00,208800,9080.00
2012-10-29,9300.00,9360.00,8990.00,9000.00,252300,9000.00
2012-10-26,9660.00,9750.00,8740.00,9300.00,330200,9300.00
2012-10-25,10100.00,10100.00,9470.00,9600.00,396800,9600.00
2012-10-24,9660.00,10100.00,9620.00,10000.00,283600,10000.00
2012-10-23,10100.00,10200.00,9830.00,9830.00,222400,9830.00
2012-10-22,9800.00,10150.00,9700.00,10100.00,237500,10100.00
2012-10-19,9730.00,9890.00,9510.00,9860.00,292100,9860.00
2012-10-18,10100.00,10300.00,9530.00,9670.00,705100,9670.00
2012-10-17,10600.00,10650.00,10100.00,10150.00,456200,10150.00
2012-10-16,10600.00,10750.00,10450.00,10550.00,292300,10550.00
2012-10-15,10200.00,10600.00,10100.00,10500.00,401700,10500.00
2012-10-12,10250.00,10300.00,10100.00,10100.00,235200,10100.00
2012-10-11,10350.00,10550.00,10100.00,10300.00,418300,10300.00
2012-10-10,10200.00,10550.00,10200.00,10450.00,285200,10450.00
2012-10-09,10400.00,10550.00,10250.00,10300.00,390800,10300.00
2012-10-08,9990.00,10400.00,9940.00,10350.00,557900,10350.00
2012-10-05,9950.00,10050.00,9850.00,9910.00,423800,9910.00
2012-10-04,9540.00,10150.00,9490.00,9950.00,564100,9950.00
2012-10-03,9470.00,9470.00,9470.00,9470.00,000,9470.00
2012-10-02,9410.00,9530.00,9370.00,9470.00,126700,9470.00
2012-10-01,9350.00,9350.00,9350.00,9350.00,000,9350.00
2012-09-28,9500.00,9520.00,9250.00,9350.00,544500,9350.00
2012-09-27,9630.00,9700.00,9350.00,9650.00,273300,9650.00
2012-09-26,9680.00,9840.00,9630.00,9630.00,248900,9630.00
2012-09-25,9670.00,9800.00,9580.00,9750.00,262500,9750.00
2012-09-24,9700.00,9760.00,9500.00,9600.00,164600,9600.00
2012-09-21,9450.00,9690.00,9450.00,9690.00,363900,9690.00
2012-09-20,9390.00,9450.00,9300.00,9420.00,162200,9420.00
2012-09-19,9340.00,9480.00,9260.00,9390.00,298700,9390.00
2012-09-18,9210.00,9310.00,9140.00,9310.00,159600,9310.00
2012-09-17,9330.00,9420.00,9190.00,9210.00,262300,9210.00
2012-09-14,9290.00,9410.00,9220.00,9310.00,358100,9310.00
2012-09-13,9130.00,9470.00,9070.00,9220.00,1322000,9220.00
2012-09-12,8930.00,9150.00,8840.00,9070.00,271800,9070.00
2012-09-11,8900.00,8960.00,8810.00,8850.00,81000,8850.00
2012-09-10,8860.00,8980.00,8830.00,8900.00,121500,8900.00
2012-09-07,8900.00,8950.00,8750.00,8780.00,163400,8780.00
2012-09-06,8870.00,8890.00,8650.00,8800.00,237700,8800.00
2012-09-05,9000.00,9000.00,8780.00,8790.00,149200,8790.00
2012-09-04,9050.00,9100.00,8990.00,8990.00,132000,8990.00
2012-09-03,8980.00,9060.00,8910.00,9040.00,116900,9040.00
2012-08-31,8870.00,9050.00,8850.00,8950.00,145400,8950.00
2012-08-30,9030.00,9140.00,8840.00,8870.00,249600,8870.00
2012-08-29,8930.00,9140.00,8860.00,9090.00,241000,9090.00
2012-08-28,8860.00,8960.00,8860.00,8950.00,132900,8950.00
2012-08-27,8850.00,8990.00,8820.00,8860.00,155600,8860.00
2012-08-24,8980.00,9040.00,8830.00,8840.00,204200,8840.00
2012-08-23,9030.00,9120.00,9000.00,9050.00,153800,9050.00
2012-08-22,8830.00,9010.00,8830.00,8970.00,274500,8970.00
2012-08-21,9100.00,9130.00,8820.00,8820.00,440100,8820.00
2012-08-20,9290.00,9300.00,9010.00,9120.00,258600,9120.00
2012-08-17,9170.00,9410.00,9130.00,9210.00,468700,9210.00
2012-08-16,9100.00,9120.00,9040.00,9100.00,124900,9100.00
2012-08-15,9060.00,9060.00,9060.00,9060.00,000,9060.00
2012-08-14,9020.00,9140.00,8940.00,9060.00,289200,9060.00
2012-08-13,9090.00,9150.00,9010.00,9020.00,84900,9020.00
2012-08-10,9100.00,9140.00,9000.00,9110.00,226300,9110.00
2012-08-09,9080.00,9100.00,8850.00,9100.00,322900,9100.00
2012-08-08,8970.00,9130.00,8950.00,9050.00,328700,9050.00
2012-08-07,8950.00,8990.00,8870.00,8920.00,160500,8920.00
2012-08-06,9000.00,9030.00,8850.00,8850.00,214000,8850.00
2012-08-03,9050.00,9080.00,8850.00,8850.00,155200,8850.00
2012-08-02,8930.00,9110.00,8860.00,9090.00,308200,9090.00
2012-08-01,9010.00,9150.00,8830.00,8840.00,371400,8840.00
2012-07-31,8770.00,9090.00,8650.00,9050.00,483400,9050.00
2012-07-30,8760.00,8800.00,8660.00,8670.00,123900,8670.00
2012-07-27,8800.00,8810.00,8590.00,8660.00,280500,8660.00
2012-07-26,8780.00,8800.00,8600.00,8680.00,351800,8680.00
2012-07-25,8700.00,8820.00,8560.00,8630.00,317300,8630.00
2012-07-24,8790.00,8840.00,8710.00,8780.00,205000,8780.00
2012-07-23,8700.00,8840.00,8460.00,8830.00,380200,8830.00
2012-07-20,8940.00,8940.00,8740.00,8740.00,255800,8740.00
2012-07-19,8950.00,8950.00,8750.00,8890.00,380200,8890.00
2012-07-18,8850.00,8880.00,8700.00,8810.00,398400,8810.00
2012-07-17,8610.00,8890.00,8610.00,8850.00,751600,8850.00
2012-07-16,8600.00,8690.00,8270.00,8560.00,555700,8560.00
2012-07-13,8490.00,8590.00,8060.00,8580.00,431900,8580.00
2012-07-12,8500.00,8580.00,8350.00,8410.00,351500,8410.00
2012-07-11,8600.00,8610.00,8340.00,8500.00,363300,8500.00
2012-07-10,8300.00,8650.00,8250.00,8600.00,868200,8600.00
2012-07-09,8150.00,8270.00,8090.00,8250.00,231600,8250.00
2012-07-06,8040.00,8190.00,7950.00,8160.00,297300,8160.00
2012-07-05,8020.00,8050.00,7930.00,7930.00,167500,7930.00
2012-07-04,7940.00,8090.00,7930.00,8010.00,245000,8010.00
2012-07-03,7750.00,8010.00,7750.00,7980.00,358100,7980.00
2012-07-02,7950.00,7950.00,7790.00,7790.00,159900,7790.00
2012-06-29,7790.00,7960.00,7690.00,7920.00,665800,7920.00
2012-06-28,7350.00,7820.00,7310.00,7820.00,660300,7820.00
2012-06-27,7460.00,7520.00,7260.00,7260.00,497200,7260.00
2012-06-26,7430.00,7590.00,7370.00,7520.00,280500,7520.00
2012-06-25,7240.00,7540.00,7110.00,7520.00,385300,7520.00
2012-06-22,7280.00,7350.00,7140.00,7220.00,264700,7220.00
2012-06-21,7100.00,7390.00,7060.00,7330.00,424700,7330.00
2012-06-20,6860.00,7100.00,6800.00,7100.00,512000,7100.00
2012-06-19,6810.00,6920.00,6760.00,6800.00,257600,6800.00
2012-06-18,6710.00,6850.00,6650.00,6800.00,478400,6800.00
2012-06-15,6910.00,7000.00,6560.00,6560.00,1349800,6560.00
2012-06-14,6980.00,7100.00,6860.00,6890.00,548000,6890.00
2012-06-13,7000.00,7060.00,6940.00,6980.00,271400,6980.00
2012-06-12,6970.00,7020.00,6890.00,6970.00,289700,6970.00
2012-06-11,7010.00,7120.00,7010.00,7030.00,241000,7030.00
2012-06-08,6960.00,7050.00,6960.00,6960.00,166700,6960.00
2012-06-07,7000.00,7070.00,6970.00,6970.00,301500,6970.00
2012-06-06,6900.00,6900.00,6900.00,6900.00,000,6900.00
2012-06-05,6920.00,6990.00,6840.00,6900.00,166300,6900.00
2012-06-04,7100.00,7140.00,6840.00,6900.00,350600,6900.00
2012-06-01,7250.00,7330.00,7180.00,7260.00,113300,7260.00
2012-05-31,7100.00,7310.00,7090.00,7250.00,295000,7250.00
2012-05-30,7170.00,7200.00,7070.00,7140.00,205400,7140.00
2012-05-29,7170.00,7240.00,7120.00,7160.00,160700,7160.00
2012-05-28,7120.00,7120.00,7120.00,7120.00,000,7120.00
2012-05-25,7110.00,7210.00,7110.00,7120.00,135700,7120.00
2012-05-24,7200.00,7250.00,7070.00,7180.00,131300,7180.00
2012-05-23,7220.00,7300.00,7110.00,7220.00,127200,7220.00
2012-05-22,7140.00,7310.00,7110.00,7270.00,222800,7270.00
2012-05-21,7280.00,7300.00,7090.00,7090.00,157700,7090.00
2012-05-18,7450.00,7540.00,7210.00,7260.00,243400,7260.00
2012-05-17,7480.00,7640.00,7460.00,7560.00,136000,7560.00
2012-05-16,7520.00,7730.00,7420.00,7530.00,277100,7530.00
2012-05-15,7370.00,7640.00,7180.00,7640.00,310300,7640.00
2012-05-14,7440.00,7490.00,7330.00,7450.00,136800,7450.00
2012-05-11,7700.00,7700.00,7370.00,7420.00,302200,7420.00
