Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,8490.00,8490.00,8490.00,8490.00,000,8490.00
2012-12-28,8380.00,8510.00,8380.00,8490.00,9600,8490.00
2012-12-27,8510.00,8530.00,8410.00,8470.00,4900,8470.00
2012-12-26,8460.00,8520.00,8410.00,8520.00,15800,8520.00
2012-12-25,8430.00,8430.00,8430.00,8430.00,000,8430.00
2012-12-24,8280.00,8470.00,8280.00,8430.00,18700,8430.00
2012-12-21,8270.00,8350.00,8250.00,8280.00,19300,8280.00
2012-12-20,8220.00,8310.00,8220.00,8260.00,7300,8260.00
2012-12-19,8240.00,8240.00,8240.00,8240.00,000,8240.00
2012-12-18,8320.00,8320.00,8190.00,8240.00,17800,8240.00
2012-12-17,8330.00,8350.00,8290.00,8290.00,13600,8290.00
2012-12-14,8390.00,8390.00,8270.00,8330.00,8400,8330.00
2012-12-13,8330.00,8380.00,8290.00,8380.00,9700,8380.00
2012-12-12,8210.00,8350.00,8190.00,8340.00,15000,8340.00
2012-12-11,8260.00,8300.00,8180.00,8260.00,12700,8260.00
2012-12-10,8300.00,8300.00,8200.00,8260.00,7800,8260.00
2012-12-07,8180.00,8280.00,8170.00,8260.00,4500,8260.00
2012-12-06,8250.00,8350.00,8200.00,8200.00,14500,8200.00
2012-12-05,8390.00,8390.00,8290.00,8290.00,7300,8290.00
2012-12-04,8330.00,8400.00,8280.00,8360.00,11900,8360.00
2012-12-03,8310.00,8380.00,8280.00,8300.00,8800,8300.00
2012-11-30,8200.00,8400.00,8190.00,8310.00,15600,8310.00
2012-11-29,8200.00,8260.00,8150.00,8180.00,23200,8180.00
2012-11-28,8390.00,8390.00,8150.00,8210.00,19800,8210.00
2012-11-27,8350.00,8490.00,8290.00,8350.00,14100,8350.00
2012-11-26,8380.00,8440.00,8270.00,8400.00,20000,8400.00
2012-11-23,8380.00,8390.00,8240.00,8270.00,7700,8270.00
2012-11-22,8430.00,8460.00,8250.00,8300.00,11800,8300.00
2012-11-21,8330.00,8480.00,8270.00,8400.00,26400,8400.00
2012-11-20,8250.00,8320.00,8240.00,8290.00,21100,8290.00
2012-11-19,8050.00,8250.00,8050.00,8180.00,34400,8180.00
2012-11-16,8550.00,8610.00,8000.00,8040.00,92900,8040.00
2012-11-15,9070.00,9150.00,8360.00,8610.00,68000,8610.00
2012-11-14,9260.00,9260.00,9030.00,9070.00,14000,9070.00
2012-11-13,9460.00,9460.00,9040.00,9150.00,24100,9150.00
2012-11-12,9350.00,9560.00,9260.00,9340.00,40800,9340.00
2012-11-09,9420.00,9540.00,9200.00,9200.00,43700,9200.00
2012-11-08,8990.00,9480.00,8990.00,9420.00,103100,9420.00
2012-11-07,8790.00,9210.00,8710.00,9030.00,44100,9030.00
2012-11-06,8820.00,8820.00,8710.00,8750.00,24200,8750.00
2012-11-05,8800.00,8830.00,8740.00,8750.00,16000,8750.00
2012-11-02,8890.00,8900.00,8740.00,8800.00,45600,8800.00
2012-11-01,8880.00,8990.00,8830.00,8880.00,37100,8880.00
2012-10-31,8990.00,9030.00,8840.00,8900.00,17400,8900.00
2012-10-30,8880.00,9050.00,8800.00,8950.00,28800,8950.00
2012-10-29,9040.00,9150.00,8850.00,8870.00,34400,8870.00
2012-10-26,9130.00,9800.00,7860.00,9010.00,172000,9010.00
2012-10-25,8980.00,9180.00,8970.00,9110.00,26900,9110.00
2012-10-24,8790.00,9110.00,8770.00,8980.00,33100,8980.00
2012-10-23,8970.00,9020.00,8840.00,8860.00,22000,8860.00
2012-10-22,8900.00,8950.00,8790.00,8870.00,29500,8870.00
2012-10-19,9150.00,9220.00,9010.00,9020.00,19800,9020.00
2012-10-18,9030.00,9190.00,8990.00,9150.00,39300,9150.00
2012-10-17,9070.00,9180.00,8950.00,9010.00,24300,9010.00
2012-10-16,9000.00,9100.00,8900.00,8930.00,24500,8930.00
2012-10-15,9120.00,9270.00,8930.00,9000.00,28900,9000.00
2012-10-12,9080.00,9280.00,9010.00,9150.00,22900,9150.00
2012-10-11,9260.00,9370.00,9060.00,9060.00,20600,9060.00
2012-10-10,9430.00,9450.00,9230.00,9260.00,17800,9260.00
2012-10-09,9090.00,9450.00,9080.00,9430.00,84400,9430.00
2012-10-08,9120.00,9190.00,9040.00,9090.00,21900,9090.00
2012-10-05,8980.00,9150.00,8870.00,9060.00,22000,9060.00
2012-10-04,8830.00,9020.00,8830.00,8890.00,29700,8890.00
2012-10-03,8840.00,8840.00,8840.00,8840.00,000,8840.00
2012-10-02,8870.00,9010.00,8800.00,8840.00,23200,8840.00
2012-10-01,8840.00,8840.00,8840.00,8840.00,000,8840.00
2012-09-28,8900.00,8940.00,8820.00,8840.00,10900,8840.00
2012-09-27,8890.00,8940.00,8720.00,8840.00,29300,8840.00
2012-09-26,9000.00,9000.00,8830.00,8890.00,37900,8890.00
2012-09-25,9240.00,9340.00,8990.00,9060.00,22800,9060.00
2012-09-24,9180.00,9190.00,9020.00,9190.00,20300,9190.00
2012-09-21,9290.00,9290.00,9050.00,9180.00,42900,9180.00
2012-09-20,9400.00,9440.00,9180.00,9270.00,31800,9270.00
2012-09-19,9290.00,9420.00,9230.00,9390.00,38800,9390.00
2012-09-18,9170.00,9640.00,9170.00,9230.00,58100,9230.00
2012-09-17,9170.00,9260.00,9050.00,9140.00,55800,9140.00
2012-09-14,9230.00,9300.00,9020.00,9070.00,63800,9070.00
2012-09-13,9390.00,9600.00,9130.00,9190.00,161900,9190.00
2012-09-12,8800.00,9030.00,8770.00,9030.00,59200,9030.00
2012-09-11,8770.00,8900.00,8710.00,8790.00,26300,8790.00
2012-09-10,8990.00,9000.00,8800.00,8820.00,29200,8820.00
2012-09-07,8990.00,9080.00,8800.00,8950.00,34800,8950.00
2012-09-06,8900.00,9130.00,8770.00,8900.00,36700,8900.00
2012-09-05,9070.00,9090.00,8770.00,8770.00,44100,8770.00
