Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,34200.00,34200.00,34200.00,34200.00,000,34200.00
2012-12-28,34450.00,34450.00,33900.00,34200.00,114800,34200.00
2012-12-27,34150.00,34650.00,33950.00,34450.00,105500,34450.00
2012-12-26,34300.00,34750.00,34050.00,34350.00,155700,34350.00
2012-12-25,34250.00,34250.00,34250.00,34250.00,000,34250.00
2012-12-24,34900.00,34900.00,33900.00,34250.00,156600,34250.00
2012-12-21,34850.00,35300.00,34200.00,34700.00,207000,34700.00
2012-12-20,35150.00,35800.00,34650.00,34850.00,221700,34850.00
2012-12-19,34950.00,34950.00,34950.00,34950.00,000,34950.00
2012-12-18,34600.00,35300.00,34550.00,34950.00,252500,34950.00
2012-12-17,34200.00,34800.00,34000.00,34250.00,148700,34250.00
2012-12-14,34200.00,34650.00,34100.00,34300.00,123700,34300.00
2012-12-13,34050.00,34850.00,34050.00,34600.00,216700,34600.00
2012-12-12,34550.00,35300.00,33700.00,34200.00,339800,34200.00
2012-12-11,33000.00,34000.00,32850.00,33850.00,341700,33850.00
2012-12-10,32500.00,33350.00,32350.00,32850.00,207200,32850.00
2012-12-07,32400.00,32750.00,32150.00,32500.00,144500,32500.00
2012-12-06,31750.00,32600.00,31750.00,32400.00,155600,32400.00
2012-12-05,31650.00,32150.00,31650.00,31850.00,105500,31850.00
2012-12-04,31450.00,31950.00,31400.00,31800.00,96300,31800.00
2012-12-03,31500.00,31800.00,31450.00,31750.00,185600,31750.00
2012-11-30,31300.00,31850.00,31050.00,31850.00,140800,31850.00
2012-11-29,31100.00,31900.00,31100.00,31500.00,289900,31500.00
2012-11-28,31650.00,31700.00,30550.00,30950.00,274200,30950.00
2012-11-27,31550.00,32050.00,31400.00,31450.00,183100,31450.00
2012-11-26,31600.00,31700.00,31050.00,31550.00,83400,31550.00
2012-11-23,31150.00,31500.00,31150.00,31500.00,91200,31500.00
2012-11-22,31900.00,32100.00,30900.00,31500.00,245000,31500.00
2012-11-21,32700.00,32700.00,31500.00,31850.00,182900,31850.00
2012-11-20,32500.00,32800.00,32200.00,32700.00,78400,32700.00
2012-11-19,32300.00,32500.00,31900.00,32150.00,63900,32150.00
2012-11-16,32200.00,32850.00,31850.00,32200.00,99600,32200.00
2012-11-15,32300.00,33050.00,31700.00,32650.00,107200,32650.00
2012-11-14,33550.00,33550.00,32200.00,32700.00,174700,32700.00
2012-11-13,33100.00,33350.00,32750.00,33150.00,215000,33150.00
2012-11-12,32950.00,33550.00,32750.00,33100.00,185000,33100.00
2012-11-09,32650.00,33300.00,31600.00,32750.00,199900,32750.00
2012-11-08,32200.00,32900.00,32150.00,32600.00,159200,32600.00
2012-11-07,32700.00,33250.00,32700.00,33100.00,157100,33100.00
2012-11-06,31400.00,32950.00,31350.00,32700.00,241000,32700.00
2012-11-05,31700.00,31900.00,31250.00,31550.00,74400,31550.00
2012-11-02,31000.00,31750.00,30750.00,31700.00,211900,31700.00
2012-11-01,30900.00,31200.00,30350.00,30800.00,192600,30800.00
2012-10-31,31400.00,31400.00,30850.00,31150.00,136300,31150.00
2012-10-30,31000.00,31900.00,30800.00,31050.00,100700,31050.00
2012-10-29,31200.00,31500.00,30650.00,31100.00,136600,31100.00
2012-10-26,31600.00,31750.00,30700.00,31200.00,198100,31200.00
2012-10-25,31300.00,31800.00,31250.00,31650.00,121900,31650.00
2012-10-24,31650.00,31950.00,30850.00,31450.00,247400,31450.00
2012-10-23,32300.00,32400.00,31700.00,32200.00,205800,32200.00
2012-10-22,32100.00,32650.00,31900.00,32600.00,218900,32600.00
2012-10-19,33150.00,33450.00,32800.00,33150.00,88500,33150.00
2012-10-18,33200.00,33300.00,32800.00,33150.00,115200,33150.00
2012-10-17,31700.00,33250.00,31700.00,33000.00,275500,33000.00
2012-10-16,31750.00,32000.00,31250.00,31600.00,177700,31600.00
2012-10-15,31600.00,31850.00,31100.00,31500.00,177700,31500.00
2012-10-12,32550.00,32800.00,31400.00,31900.00,336900,31900.00
2012-10-11,32800.00,33400.00,32400.00,32500.00,183200,32500.00
2012-10-10,32550.00,33300.00,32550.00,32800.00,149700,32800.00
2012-10-09,33500.00,33500.00,32550.00,33100.00,362400,33100.00
2012-10-08,33850.00,34000.00,32550.00,33500.00,338300,33500.00
2012-10-05,33550.00,34350.00,33150.00,34000.00,340500,34000.00
2012-10-04,34150.00,34700.00,33200.00,33550.00,289800,33550.00
2012-10-03,34150.00,34150.00,34150.00,34150.00,000,34150.00
2012-10-02,34200.00,35150.00,34100.00,34150.00,124500,34150.00
2012-10-01,34650.00,34650.00,34650.00,34650.00,000,34650.00
2012-09-28,34050.00,35050.00,34050.00,34650.00,230100,34650.00
2012-09-27,33200.00,34400.00,33150.00,33900.00,195800,33900.00
2012-09-26,33550.00,34050.00,33350.00,33850.00,202000,33850.00
2012-09-25,34100.00,34850.00,34000.00,34050.00,164800,34050.00
2012-09-24,34900.00,35100.00,34150.00,34750.00,254100,34750.00
2012-09-21,35700.00,35900.00,35050.00,35300.00,206900,35300.00
2012-09-20,35500.00,35900.00,35400.00,35500.00,138200,35500.00
2012-09-19,35300.00,36000.00,34850.00,35800.00,205900,35800.00
2012-09-18,35700.00,35700.00,35000.00,35350.00,157300,35350.00
2012-09-17,35400.00,35950.00,34900.00,35650.00,495100,35650.00
2012-09-14,35500.00,35700.00,34750.00,35200.00,639500,35200.00
2012-09-13,33950.00,34850.00,33600.00,34000.00,652300,34000.00
2012-09-12,32250.00,33900.00,32250.00,33600.00,357800,33600.00
2012-09-11,32700.00,32700.00,31900.00,32300.00,315000,32300.00
2012-09-10,33650.00,33650.00,32550.00,32850.00,319500,32850.00
2012-09-07,33400.00,33900.00,32350.00,33650.00,593900,33650.00
2012-09-06,33550.00,34050.00,33250.00,33650.00,399600,33650.00
2012-09-05,33000.00,34000.00,32900.00,33650.00,661200,33650.00
2012-09-04,32500.00,33150.00,32400.00,32950.00,214200,32950.00
2012-09-03,33150.00,33250.00,32450.00,32700.00,236600,32700.00
2012-08-31,33150.00,33400.00,32550.00,32950.00,467300,32950.00
2012-08-30,32100.00,33100.00,31850.00,32800.00,506600,32800.00
2012-08-29,31450.00,32750.00,31400.00,32300.00,474600,32300.00
2012-08-28,31500.00,31700.00,31300.00,31350.00,144700,31350.00
2012-08-27,31300.00,31850.00,31200.00,31500.00,162800,31500.00
2012-08-24,31150.00,31650.00,30950.00,31250.00,249900,31250.00
2012-08-23,31000.00,31600.00,30950.00,31400.00,301700,31400.00
2012-08-22,31000.00,31100.00,30650.00,30900.00,160500,30900.00
2012-08-21,31150.00,31150.00,30700.00,30950.00,172100,30950.00
2012-08-20,30600.00,31300.00,30300.00,31000.00,288800,31000.00
2012-08-17,30050.00,30500.00,29700.00,30500.00,315300,30500.00
2012-08-16,30500.00,30900.00,29350.00,30100.00,637600,30100.00
2012-08-15,30900.00,30900.00,30900.00,30900.00,000,30900.00
2012-08-14,30750.00,30900.00,30450.00,30900.00,199300,30900.00
2012-08-13,30950.00,30950.00,30350.00,30600.00,130100,30600.00
2012-08-10,30500.00,31000.00,30400.00,30900.00,276400,30900.00
2012-08-09,29750.00,30700.00,29650.00,30250.00,422600,30250.00
2012-08-08,29350.00,29800.00,29300.00,29600.00,298500,29600.00
2012-08-07,29400.00,29400.00,29150.00,29300.00,103000,29300.00
2012-08-06,29400.00,29600.00,29150.00,29250.00,151400,29250.00
2012-08-03,28700.00,29150.00,28400.00,29050.00,102700,29050.00
2012-08-02,28900.00,29500.00,28850.00,28950.00,205500,28950.00
2012-08-01,28500.00,29100.00,28500.00,28950.00,124200,28950.00
2012-07-31,28300.00,29050.00,28100.00,28950.00,329900,28950.00
2012-07-30,27900.00,28200.00,27750.00,27950.00,127700,27950.00
2012-07-27,27600.00,27750.00,27250.00,27600.00,141800,27600.00
2012-07-26,26300.00,27150.00,26300.00,27100.00,102600,27100.00
2012-07-25,26500.00,26700.00,26100.00,26600.00,88100,26600.00
2012-07-24,27050.00,27050.00,26400.00,26850.00,143700,26850.00
2012-07-23,27500.00,27500.00,26750.00,27100.00,108700,27100.00
2012-07-20,27400.00,27550.00,27200.00,27500.00,74100,27500.00
2012-07-19,27600.00,27600.00,27250.00,27400.00,136800,27400.00
2012-07-18,27300.00,27650.00,27150.00,27150.00,138600,27150.00
2012-07-17,26700.00,27650.00,26200.00,27300.00,194900,27300.00
2012-07-16,27300.00,27400.00,26850.00,27100.00,93600,27100.00
2012-07-13,27150.00,27300.00,26750.00,27200.00,146500,27200.00
2012-07-12,27700.00,27850.00,27100.00,27100.00,156400,27100.00
2012-07-11,27850.00,27850.00,27300.00,27700.00,218800,27700.00
2012-07-10,28200.00,28200.00,27700.00,27950.00,133100,27950.00
2012-07-09,28350.00,28350.00,27850.00,28200.00,148600,28200.00
2012-07-06,28950.00,29150.00,28350.00,28600.00,115100,28600.00
2012-07-05,28750.00,29400.00,28700.00,29050.00,201300,29050.00
2012-07-04,29100.00,29300.00,28700.00,29000.00,105600,29000.00
2012-07-03,28400.00,29300.00,28400.00,29100.00,240700,29100.00
2012-07-02,28350.00,28650.00,27850.00,28600.00,195500,28600.00
2012-06-29,27100.00,28150.00,27050.00,28150.00,125600,28150.00
2012-06-28,27950.00,28150.00,27000.00,27450.00,127400,27450.00
2012-06-27,28000.00,28050.00,27550.00,27950.00,119400,27950.00
2012-06-26,28200.00,28250.00,27850.00,28100.00,187500,28100.00
2012-06-25,28300.00,28850.00,28150.00,28450.00,111900,28450.00
2012-06-22,28650.00,28850.00,28300.00,28850.00,147400,28850.00
2012-06-21,29050.00,29400.00,28850.00,29250.00,119600,29250.00
2012-06-20,29400.00,29400.00,28950.00,29150.00,109900,29150.00
2012-06-19,28700.00,29350.00,28650.00,29100.00,158400,29100.00
2012-06-18,29300.00,29450.00,28950.00,29050.00,205200,29050.00
2012-06-15,28600.00,29000.00,28350.00,29000.00,245700,29000.00
2012-06-14,28000.00,28850.00,27950.00,28800.00,411300,28800.00
2012-06-13,28050.00,28400.00,27650.00,28250.00,165500,28250.00
2012-06-12,27500.00,27900.00,27400.00,27800.00,107800,27800.00
2012-06-11,27550.00,28150.00,27500.00,27950.00,242500,27950.00
2012-06-08,27200.00,27400.00,26950.00,27150.00,114000,27150.00
2012-06-07,27450.00,27600.00,26850.00,27150.00,278900,27150.00
2012-06-06,26950.00,26950.00,26950.00,26950.00,000,26950.00
2012-06-05,27000.00,27200.00,26600.00,26950.00,145600,26950.00
2012-06-04,27000.00,27400.00,26300.00,26850.00,343300,26850.00
2012-06-01,28700.00,29150.00,28250.00,28300.00,346700,28300.00
2012-05-31,27800.00,28150.00,27650.00,28150.00,224200,28150.00
2012-05-30,28500.00,28500.00,27850.00,28400.00,183700,28400.00
2012-05-29,28100.00,28500.00,27750.00,28500.00,227600,28500.00
2012-05-28,28050.00,28050.00,28050.00,28050.00,000,28050.00
2012-05-25,28800.00,29000.00,28000.00,28050.00,270300,28050.00
2012-05-24,28800.00,29300.00,28000.00,28300.00,656100,28300.00
2012-05-23,27550.00,27550.00,26700.00,27200.00,166500,27200.00
2012-05-22,26700.00,27600.00,26600.00,27550.00,273900,27550.00
2012-05-21,26700.00,26850.00,25850.00,26400.00,237200,26400.00
2012-05-18,26850.00,26850.00,26300.00,26600.00,263300,26600.00
2012-05-17,27250.00,28150.00,27150.00,27400.00,236800,27400.00
2012-05-16,27100.00,27650.00,26850.00,27200.00,190000,27200.00
2012-05-15,27800.00,28050.00,27100.00,27500.00,346500,27500.00
2012-05-14,28950.00,28950.00,27950.00,28350.00,230400,28350.00
2012-05-11,29050.00,29150.00,28750.00,28950.00,217000,28950.00
2012-05-10,29100.00,29450.00,28900.00,29050.00,145100,29050.00
2012-05-09,29700.00,30250.00,29200.00,29350.00,219000,29350.00
2012-05-08,29900.00,29950.00,29550.00,29800.00,180200,29800.00
2012-05-07,29900.00,30000.00,29600.00,29900.00,187600,29900.00
2012-05-04,30450.00,30700.00,30300.00,30550.00,138700,30550.00
2012-05-03,30000.00,30600.00,29900.00,30450.00,132700,30450.00
2012-05-02,28950.00,30350.00,28800.00,29950.00,288200,29950.00
2012-05-01,29000.00,29000.00,29000.00,29000.00,000,29000.00
2012-04-30,29750.00,29850.00,28900.00,29000.00,359000,29000.00
2012-04-27,29700.00,29950.00,29450.00,29850.00,142700,29850.00
2012-04-26,30100.00,30450.00,29600.00,29650.00,275200,29650.00
2012-04-25,30800.00,30800.00,30000.00,30300.00,218600,30300.00
2012-04-24,30750.00,31000.00,30550.00,30650.00,131600,30650.00
2012-04-23,30550.00,31100.00,30550.00,31050.00,118000,31050.00
2012-04-20,30900.00,31150.00,30150.00,31000.00,344200,31000.00
2012-04-19,31600.00,31700.00,30950.00,31100.00,174000,31100.00
2012-04-18,32300.00,32400.00,31700.00,31750.00,115800,31750.00
2012-04-17,32200.00,32450.00,31700.00,31900.00,185100,31900.00
2012-04-16,31600.00,32200.00,31350.00,31900.00,145900,31900.00
2012-04-13,31350.00,31900.00,31250.00,31850.00,388000,31850.00
2012-04-12,30950.00,31100.00,30750.00,30950.00,150600,30950.00
2012-04-11,30950.00,30950.00,30950.00,30950.00,000,30950.00
2012-04-10,30750.00,31450.00,30750.00,30950.00,256000,30950.00
2012-04-09,31800.00,31800.00,30600.00,30950.00,280000,30950.00
2012-04-06,31850.00,32350.00,31600.00,31900.00,243900,31900.00
2012-04-05,32050.00,32350.00,31550.00,31800.00,442700,31800.00
2012-04-04,33350.00,33650.00,32200.00,32600.00,339300,32600.00
2012-04-03,33450.00,33700.00,33300.00,33400.00,174100,33400.00
2012-04-02,32650.00,33450.00,32650.00,33300.00,227700,33300.00
2012-03-30,32500.00,33050.00,32200.00,32550.00,329800,32550.00
2012-03-29,33100.00,33300.00,32550.00,32950.00,240200,32950.00
2012-03-28,33350.00,33600.00,33050.00,33350.00,147700,33350.00
2012-03-27,33800.00,34000.00,33300.00,33600.00,194300,33600.00
2012-03-26,33850.00,34050.00,33400.00,33600.00,129900,33600.00
2012-03-23,33600.00,34100.00,33500.00,33850.00,192500,33850.00
2012-03-22,34000.00,34150.00,33350.00,33800.00,227400,33800.00
2012-03-21,34250.00,34500.00,34000.00,34200.00,226300,34200.00
2012-03-20,34800.00,34900.00,34300.00,34600.00,125500,34600.00
2012-03-19,34850.00,35050.00,34550.00,34800.00,163700,34800.00
2012-03-16,34450.00,34850.00,34450.00,34800.00,137400,34800.00
2012-03-15,35100.00,35200.00,34350.00,34500.00,259700,34500.00
2012-03-14,35150.00,35400.00,35100.00,35150.00,251800,35150.00
2012-03-13,34200.00,34900.00,34200.00,34750.00,199100,34750.00
2012-03-12,34850.00,34850.00,34150.00,34300.00,155300,34300.00
2012-03-09,35300.00,35300.00,34400.00,34750.00,262700,34750.00
2012-03-08,34250.00,35150.00,34050.00,35000.00,374000,35000.00
2012-03-07,33900.00,34250.00,33700.00,34250.00,240400,34250.00
2012-03-06,35150.00,35200.00,33950.00,34300.00,671600,34300.00
2012-03-05,35900.00,36000.00,34600.00,35150.00,377700,35150.00
2012-03-02,35650.00,36400.00,35450.00,36100.00,271100,36100.00
2012-03-01,35350.00,35350.00,35350.00,35350.00,000,35350.00
2012-02-29,35750.00,36300.00,35100.00,35350.00,554700,35350.00
2012-02-28,36050.00,36400.00,35100.00,35650.00,438500,35650.00
2012-02-27,37300.00,37300.00,35750.00,36400.00,233000,36400.00
2012-02-24,36850.00,36850.00,36850.00,36850.00,000,36850.00
2012-02-23,36850.00,37100.00,36350.00,36850.00,225200,36850.00
2012-02-22,36850.00,37250.00,36350.00,36600.00,235100,36600.00
2012-02-21,37300.00,37800.00,36250.00,36600.00,535800,36600.00
2012-02-20,37700.00,38150.00,37200.00,37600.00,412500,37600.00
2012-02-17,37550.00,37800.00,36500.00,37000.00,551800,37000.00
2012-02-16,37550.00,37750.00,36550.00,37200.00,559700,37200.00
2012-02-15,38450.00,39200.00,37600.00,38200.00,418000,38200.00
2012-02-14,38600.00,39200.00,38000.00,38750.00,345200,38750.00
2012-02-13,38950.00,39500.00,38350.00,38900.00,196000,38900.00
2012-02-10,39950.00,40500.00,38450.00,38850.00,613100,38850.00
2012-02-09,37550.00,40100.00,37150.00,39400.00,942500,39400.00
2012-02-08,37350.00,38150.00,37250.00,37700.00,522500,37700.00
2012-02-07,37100.00,37750.00,36350.00,37150.00,832400,37150.00
2012-02-06,36450.00,37550.00,35950.00,37000.00,3858700,37000.00
2012-02-03,38250.00,39100.00,37900.00,38800.00,311800,38800.00
2012-02-02,38950.00,39600.00,38500.00,38600.00,545100,38600.00
2012-02-01,36450.00,38500.00,36100.00,37900.00,666000,37900.00
2012-01-31,35800.00,36550.00,35700.00,36350.00,349200,36350.00
2012-01-30,36050.00,36500.00,35700.00,35950.00,385000,35950.00
2012-01-27,36200.00,36750.00,35950.00,36250.00,284000,36250.00
2012-01-26,35050.00,36700.00,34800.00,36200.00,998800,36200.00
2012-01-25,35950.00,35950.00,34550.00,34900.00,641300,34900.00
2012-01-24,35800.00,35800.00,35800.00,35800.00,000,35800.00
2012-01-23,35800.00,35800.00,35800.00,35800.00,000,35800.00
2012-01-20,35500.00,35900.00,35000.00,35800.00,325000,35800.00
2012-01-19,35650.00,35850.00,35150.00,35500.00,264500,35500.00
2012-01-18,35100.00,35450.00,34800.00,35200.00,291800,35200.00
2012-01-17,34550.00,35200.00,34450.00,34900.00,441500,34900.00
2012-01-16,34000.00,34150.00,33600.00,34150.00,215800,34150.00
2012-01-13,34200.00,34500.00,33850.00,34400.00,183500,34400.00
2012-01-12,33350.00,34500.00,33250.00,34200.00,368600,34200.00
2012-01-11,33400.00,33550.00,33000.00,33200.00,167200,33200.00
2012-01-10,32750.00,33500.00,32750.00,33300.00,193100,33300.00
2012-01-09,33100.00,33100.00,32550.00,32650.00,169600,32650.00
2012-01-06,33600.00,33650.00,32650.00,33100.00,227100,33100.00
2012-01-05,33600.00,34150.00,33550.00,33650.00,147500,33650.00
2012-01-04,33900.00,34200.00,33550.00,33550.00,184200,33550.00
2012-01-03,33200.00,33950.00,33200.00,33650.00,353700,33650.00
2012-01-02,33050.00,33300.00,32550.00,33050.00,123800,33050.00
2011-12-30,33150.00,33150.00,33150.00,33150.00,000,33150.00
2011-12-29,33000.00,33150.00,32500.00,33150.00,304700,33150.00
2011-12-28,33100.00,33700.00,32800.00,33400.00,264200,33400.00
2011-12-27,34200.00,34650.00,33500.00,33650.00,166400,33269.30
2011-12-26,34800.00,34800.00,34200.00,34250.00,82200,33862.51
2011-12-23,34400.00,35050.00,34250.00,34500.00,160300,34109.68
2011-12-22,34300.00,34550.00,33950.00,34100.00,89400,33714.21
2011-12-21,34400.00,34600.00,34000.00,34250.00,223900,33862.51
2011-12-20,33700.00,34100.00,33200.00,33600.00,189800,33219.87
2011-12-19,34250.00,36900.00,33000.00,33500.00,664400,33121.00
2011-12-16,34400.00,34800.00,33850.00,34650.00,222800,34257.99
2011-12-15,35150.00,35400.00,34100.00,34600.00,261400,34208.55
2011-12-14,35300.00,35850.00,35200.00,35650.00,126400,35246.67
2011-12-13,36250.00,36300.00,35550.00,35800.00,155700,35394.98
2011-12-12,36800.00,37100.00,36300.00,36650.00,144200,36235.36
2011-12-09,36300.00,36300.00,35700.00,36000.00,190100,35592.71
2011-12-08,37400.00,37700.00,36600.00,36850.00,217200,36433.10
2011-12-07,36950.00,37500.00,36700.00,37250.00,187200,36828.57
2011-12-06,37500.00,37650.00,36400.00,36900.00,199100,36482.53
2011-12-05,38000.00,38100.00,37200.00,37850.00,151400,37421.78
2011-12-02,37500.00,38250.00,37500.00,37950.00,185400,37520.65
2011-12-01,36800.00,38200.00,36500.00,37550.00,514200,37125.18
2011-11-30,35950.00,36200.00,35150.00,35400.00,152700,34999.50
2011-11-29,35300.00,36300.00,35100.00,36150.00,272000,35741.02
2011-11-28,34900.00,35200.00,34700.00,34850.00,119300,34455.72
2011-11-25,33800.00,34450.00,33700.00,34250.00,178200,33862.51
2011-11-24,35250.00,35250.00,33950.00,34350.00,431100,33961.38
2011-11-23,36400.00,36450.00,35050.00,35400.00,233000,34999.50
2011-11-22,36000.00,36800.00,36000.00,36750.00,153300,36334.23
2011-11-21,37050.00,37150.00,36400.00,36850.00,135100,36433.10
2011-11-18,37650.00,37800.00,37000.00,37500.00,199200,37075.74
2011-11-17,38100.00,38600.00,37300.00,38550.00,174800,38113.86
2011-11-16,39550.00,39750.00,38000.00,38300.00,169700,37866.69
2011-11-15,39100.00,39650.00,38800.00,39100.00,186100,38657.64
2011-11-14,37900.00,39650.00,37900.00,39450.00,293800,39003.68
2011-11-11,37350.00,37800.00,36750.00,37400.00,196600,36976.88
2011-11-10,37800.00,37850.00,36700.00,36700.00,319600,36284.79
2011-11-09,40000.00,40150.00,38650.00,39150.00,236500,38707.08
2011-11-08,40100.00,40150.00,39200.00,39600.00,154300,39151.99
2011-11-07,38700.00,40150.00,38250.00,39800.00,330200,39349.72
2011-11-04,38850.00,39250.00,38550.00,38850.00,316300,38410.47
2011-11-03,38900.00,38900.00,37500.00,38000.00,242000,37570.09
