Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,18350.00,18350.00,18350.00,18350.00,000,18350.00
2012-12-28,18200.00,18550.00,18200.00,18350.00,353700,18350.00
2012-12-27,18700.00,18850.00,18300.00,18350.00,460600,18350.00
2012-12-26,18600.00,19000.00,18500.00,18650.00,612800,18650.00
2012-12-25,18500.00,18500.00,18500.00,18500.00,000,18500.00
2012-12-24,18600.00,18750.00,18400.00,18500.00,363100,18500.00
2012-12-21,18800.00,18850.00,18250.00,18550.00,698300,18550.00
2012-12-20,18250.00,18600.00,17900.00,18600.00,964500,18600.00
2012-12-19,18600.00,18600.00,18600.00,18600.00,000,18600.00
2012-12-18,18250.00,18600.00,18200.00,18600.00,564800,18600.00
2012-12-17,18300.00,18750.00,18300.00,18550.00,640700,18550.00
2012-12-14,18350.00,18550.00,18100.00,18500.00,612800,18500.00
2012-12-13,18350.00,18600.00,18100.00,18450.00,1131200,18450.00
2012-12-12,18100.00,18400.00,17900.00,17950.00,705700,17950.00
2012-12-11,17700.00,18000.00,17700.00,17900.00,1112200,17900.00
2012-12-10,17600.00,17950.00,17500.00,17600.00,1070700,17600.00
2012-12-07,17200.00,17600.00,17200.00,17350.00,853200,17350.00
2012-12-06,16650.00,17400.00,16550.00,17100.00,1094600,17100.00
2012-12-05,16300.00,16600.00,16100.00,16600.00,436000,16600.00
2012-12-04,16400.00,16400.00,16050.00,16400.00,434500,16400.00
2012-12-03,16600.00,16800.00,16400.00,16550.00,517800,16550.00
2012-11-30,16850.00,16900.00,16550.00,16700.00,536100,16700.00
2012-11-29,16750.00,17200.00,16700.00,16850.00,999500,16850.00
2012-11-28,16300.00,16400.00,16100.00,16400.00,360800,16400.00
2012-11-27,16200.00,16500.00,16000.00,16500.00,822400,16500.00
2012-11-26,16500.00,16500.00,15800.00,16100.00,1111400,16100.00
2012-11-23,16700.00,16700.00,16300.00,16550.00,428000,16550.00
2012-11-22,16600.00,16800.00,16500.00,16600.00,414600,16600.00
2012-11-21,17050.00,17100.00,16500.00,16600.00,608400,16600.00
2012-11-20,17550.00,17650.00,16950.00,17050.00,416100,17050.00
2012-11-19,16850.00,17300.00,16850.00,17200.00,329900,17200.00
2012-11-16,16850.00,17200.00,16700.00,16850.00,382500,16850.00
2012-11-15,16650.00,17000.00,16600.00,16950.00,431200,16950.00
2012-11-14,17350.00,17400.00,16800.00,17100.00,631400,17100.00
2012-11-13,17700.00,17850.00,17200.00,17350.00,652500,17350.00
2012-11-12,18000.00,18000.00,17550.00,17750.00,658700,17750.00
2012-11-09,17850.00,17950.00,17600.00,17950.00,467100,17950.00
2012-11-08,18200.00,18300.00,17950.00,18150.00,602300,18150.00
2012-11-07,18300.00,18800.00,18100.00,18550.00,1123500,18550.00
2012-11-06,17600.00,18200.00,17550.00,18150.00,693300,18150.00
2012-11-05,17850.00,17900.00,17500.00,17700.00,660700,17700.00
2012-11-02,18100.00,18200.00,17900.00,17950.00,561900,17950.00
2012-11-01,18150.00,18200.00,17700.00,17900.00,533400,17900.00
2012-10-31,18050.00,18250.00,18000.00,18100.00,334600,18100.00
2012-10-30,17750.00,18300.00,17750.00,17900.00,457200,17900.00
2012-10-29,18200.00,18300.00,17800.00,17850.00,431900,17850.00
2012-10-26,18050.00,18700.00,17950.00,17950.00,828800,17950.00
2012-10-25,17950.00,18300.00,17850.00,18050.00,704200,18050.00
2012-10-24,17800.00,18000.00,17700.00,17950.00,624700,17950.00
2012-10-23,18250.00,18300.00,18050.00,18100.00,466100,18100.00
2012-10-22,18150.00,18350.00,18100.00,18300.00,640100,18300.00
2012-10-19,18700.00,18800.00,18450.00,18650.00,669100,18650.00
2012-10-18,18900.00,19050.00,18550.00,18850.00,941500,18850.00
2012-10-17,18750.00,19200.00,18700.00,19050.00,1138200,19050.00
2012-10-16,18450.00,18650.00,18200.00,18550.00,811700,18550.00
2012-10-15,18700.00,18700.00,17900.00,18300.00,1524900,18300.00
2012-10-12,19400.00,19450.00,18550.00,18700.00,2129300,18700.00
2012-10-11,20000.00,20000.00,19250.00,19400.00,1869900,19400.00
2012-10-10,20250.00,20300.00,20000.00,20100.00,590900,20100.00
