Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,25900.00,25900.00,25900.00,25900.00,000,25900.00
2012-12-28,25850.00,26150.00,25400.00,25900.00,76300,25900.00
2012-12-27,25650.00,25850.00,25450.00,25650.00,42800,25650.00
2012-12-26,26150.00,26350.00,25600.00,26100.00,107000,26100.00
2012-12-25,26000.00,26000.00,26000.00,26000.00,000,26000.00
2012-12-24,26450.00,26450.00,25650.00,26000.00,104100,26000.00
2012-12-21,26400.00,26450.00,26100.00,26200.00,142800,26200.00
2012-12-20,25750.00,26200.00,25600.00,25950.00,185600,25950.00
2012-12-19,26000.00,26000.00,26000.00,26000.00,000,26000.00
2012-12-18,25400.00,26000.00,25200.00,26000.00,196200,26000.00
2012-12-17,25300.00,25900.00,25050.00,25100.00,137900,25100.00
2012-12-14,25100.00,25450.00,24800.00,25050.00,95400,25050.00
2012-12-13,23900.00,25150.00,23850.00,25150.00,190400,25150.00
2012-12-12,24650.00,24800.00,23750.00,24100.00,120900,24100.00
2012-12-11,24650.00,24850.00,24500.00,24650.00,66200,24650.00
2012-12-10,24450.00,24950.00,24450.00,24750.00,39000,24750.00
2012-12-07,25050.00,25200.00,24600.00,24650.00,54800,24650.00
2012-12-06,24950.00,25100.00,24750.00,24900.00,73600,24900.00
2012-12-05,25150.00,25600.00,25050.00,25100.00,106700,25100.00
2012-12-04,25150.00,25600.00,25000.00,25150.00,76600,25150.00
2012-12-03,25650.00,25650.00,25100.00,25100.00,87500,25100.00
2012-11-30,25450.00,25500.00,25300.00,25400.00,78900,25400.00
2012-11-29,25600.00,25850.00,25250.00,25650.00,144300,25650.00
2012-11-28,25650.00,25900.00,25500.00,25700.00,50100,25700.00
2012-11-27,26150.00,26200.00,25700.00,25900.00,42300,25900.00
2012-11-26,25900.00,26300.00,25500.00,26050.00,48100,26050.00
2012-11-23,25850.00,26050.00,25750.00,25850.00,80900,25850.00
2012-11-22,25450.00,26050.00,25050.00,25750.00,100400,25750.00
2012-11-21,25950.00,25950.00,24950.00,25150.00,63400,25150.00
2012-11-20,25450.00,25800.00,24950.00,25800.00,72900,25800.00
2012-11-19,25450.00,25450.00,25000.00,25450.00,45900,25450.00
2012-11-16,25000.00,25300.00,24900.00,25100.00,65300,25100.00
2012-11-15,25300.00,25300.00,24250.00,25100.00,154900,25100.00
2012-11-14,26150.00,26300.00,25050.00,25300.00,131500,25300.00
2012-11-13,26400.00,26600.00,26050.00,26150.00,109100,26150.00
2012-11-12,26000.00,26200.00,25750.00,26150.00,112900,26150.00
2012-11-09,25650.00,26250.00,25650.00,25900.00,147200,25900.00
2012-11-08,24350.00,26150.00,23950.00,25800.00,308800,25800.00
2012-11-07,24350.00,24450.00,24100.00,24350.00,43200,24350.00
2012-11-06,24300.00,24600.00,23950.00,24300.00,74200,24300.00
2012-11-05,24050.00,24300.00,23550.00,24300.00,77800,24300.00
2012-11-02,24400.00,24500.00,23950.00,24000.00,138600,24000.00
2012-11-01,24000.00,24450.00,23750.00,24350.00,176500,24350.00
2012-10-31,23650.00,24050.00,23200.00,23650.00,146700,23650.00
2012-10-30,23500.00,23750.00,23350.00,23400.00,109500,23400.00
2012-10-29,23000.00,23700.00,23000.00,23450.00,206800,23450.00
2012-10-26,23200.00,23650.00,22950.00,23000.00,133200,23000.00
2012-10-25,23150.00,23650.00,22900.00,23450.00,151600,23450.00
2012-10-24,23550.00,23950.00,23300.00,23300.00,194200,23300.00
2012-10-23,24200.00,24400.00,23750.00,24050.00,273100,24050.00
2012-10-22,26000.00,27200.00,23650.00,23650.00,859000,23650.00
2012-10-19,24450.00,24450.00,23850.00,23850.00,93700,23850.00
2012-10-18,24900.00,25200.00,24250.00,24300.00,94200,24300.00
2012-10-17,24400.00,25100.00,24400.00,24650.00,85800,24650.00
2012-10-16,24600.00,24900.00,23800.00,24450.00,168300,24450.00
2012-10-15,24750.00,25200.00,24300.00,24700.00,100800,24700.00
2012-10-12,25550.00,25600.00,24700.00,24700.00,109600,24700.00
2012-10-11,26150.00,26150.00,25150.00,25500.00,104100,25500.00
2012-10-10,25600.00,26100.00,25400.00,25900.00,87800,25900.00
2012-10-09,25750.00,26250.00,25400.00,25650.00,65800,25650.00
2012-10-08,26150.00,26400.00,25650.00,25650.00,69700,25650.00
2012-10-05,26200.00,26800.00,26150.00,26150.00,82800,26150.00
2012-10-04,26450.00,26650.00,26150.00,26150.00,48400,26150.00
2012-10-03,26400.00,26400.00,26400.00,26400.00,000,26400.00
2012-10-02,26200.00,26650.00,26200.00,26400.00,38800,26400.00
2012-10-01,26850.00,26850.00,26850.00,26850.00,000,26850.00
2012-09-28,26400.00,27000.00,25900.00,26850.00,125300,26850.00
2012-09-27,26800.00,26950.00,26100.00,26650.00,134500,26650.00
2012-09-26,26100.00,27500.00,25900.00,26500.00,271600,26500.00
