Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,127000.00,127000.00,127000.00,127000.00,000,127000.00
2012-12-28,126000.00,129000.00,124500.00,127000.00,111900,127000.00
2012-12-27,126000.00,128500.00,125000.00,126500.00,67900,126500.00
2012-12-26,128500.00,129000.00,126000.00,127000.00,45700,127000.00
2012-12-25,127000.00,127000.00,127000.00,127000.00,000,127000.00
2012-12-24,127000.00,128000.00,124500.00,127000.00,45000,127000.00
2012-12-21,129500.00,129500.00,124000.00,127500.00,92000,127500.00
2012-12-20,126000.00,129500.00,126000.00,127500.00,97600,127500.00
2012-12-19,125500.00,125500.00,125500.00,125500.00,000,125500.00
2012-12-18,124500.00,127500.00,123500.00,125500.00,104500,125500.00
2012-12-17,122000.00,125000.00,121500.00,123000.00,90700,123000.00
2012-12-14,122500.00,123500.00,120000.00,122000.00,76100,122000.00
2012-12-13,121000.00,124000.00,120000.00,124000.00,118500,124000.00
2012-12-12,121500.00,124500.00,120000.00,121000.00,131000,121000.00
2012-12-11,116000.00,122000.00,116000.00,120000.00,166100,120000.00
2012-12-10,117500.00,121000.00,115000.00,116000.00,117700,116000.00
2012-12-07,116000.00,120000.00,116000.00,118000.00,188800,118000.00
2012-12-06,113000.00,116500.00,112500.00,115000.00,117900,115000.00
2012-12-05,112500.00,113500.00,112000.00,112500.00,72200,112500.00
2012-12-04,111500.00,113500.00,111500.00,112500.00,62700,112500.00
2012-12-03,112500.00,114000.00,112000.00,112500.00,72400,112500.00
2012-11-30,110500.00,114000.00,109000.00,113000.00,176000,113000.00
2012-11-29,108000.00,112000.00,107500.00,111000.00,144500,111000.00
2012-11-28,107000.00,109000.00,105500.00,106500.00,86700,106500.00
2012-11-27,106000.00,109500.00,105500.00,108000.00,119300,108000.00
2012-11-26,105000.00,106000.00,104000.00,104500.00,58100,104500.00
2012-11-23,105500.00,106000.00,102500.00,104000.00,108100,104000.00
2012-11-22,106000.00,107500.00,104500.00,105500.00,72200,105500.00
2012-11-21,106500.00,107000.00,104000.00,105000.00,88500,105000.00
2012-11-20,110000.00,110500.00,106000.00,107000.00,113700,107000.00
2012-11-19,107500.00,109500.00,107000.00,108000.00,87400,108000.00
2012-11-16,105000.00,109000.00,105000.00,106500.00,125400,106500.00
2012-11-15,106500.00,108500.00,105000.00,106500.00,197500,106500.00
2012-11-14,110500.00,111500.00,106500.00,110000.00,83100,110000.00
2012-11-13,112000.00,112500.00,109500.00,111000.00,122000,111000.00
2012-11-12,115500.00,116000.00,111000.00,113500.00,151700,113500.00
2012-11-09,115500.00,117000.00,114000.00,117000.00,109800,117000.00
2012-11-08,115000.00,119000.00,115000.00,116500.00,167700,116500.00
2012-11-07,115500.00,118500.00,115000.00,118500.00,263300,118500.00
2012-11-06,111000.00,116000.00,110000.00,115000.00,227300,115000.00
2012-11-05,110000.00,112000.00,108500.00,111000.00,125700,111000.00
2012-11-02,113500.00,113500.00,110000.00,112500.00,334600,112500.00
2012-11-01,115500.00,116000.00,109000.00,111000.00,318500,111000.00
2012-10-31,119500.00,119500.00,115000.00,116500.00,168100,116500.00
2012-10-30,119500.00,121000.00,117000.00,118500.00,77500,118500.00
2012-10-29,120000.00,122000.00,118500.00,119500.00,67500,119500.00
2012-10-26,119000.00,120500.00,118000.00,120000.00,79300,120000.00
2012-10-25,118000.00,120500.00,117000.00,119500.00,106500,119500.00
2012-10-24,119500.00,120000.00,116500.00,119000.00,257100,119000.00
2012-10-23,129000.00,129500.00,123500.00,123500.00,87900,123500.00
2012-10-22,126500.00,130500.00,126500.00,128500.00,85600,128500.00
2012-10-19,129500.00,129500.00,127500.00,129500.00,49400,129500.00
2012-10-18,126000.00,131500.00,125500.00,129500.00,245200,129500.00
2012-10-17,125000.00,127000.00,124000.00,125000.00,85300,125000.00
2012-10-16,123500.00,124500.00,121500.00,123500.00,49800,123500.00
2012-10-15,125000.00,125500.00,121500.00,122500.00,74700,122500.00
2012-10-12,125000.00,126000.00,123500.00,125000.00,60900,125000.00
2012-10-11,123500.00,127000.00,123500.00,124500.00,63700,124500.00
2012-10-10,126000.00,126000.00,123500.00,125000.00,77200,125000.00
2012-10-09,128000.00,129000.00,126500.00,126500.00,62800,126500.00
2012-10-08,130000.00,130000.00,126000.00,127500.00,144000,127500.00
2012-10-05,130000.00,131500.00,128000.00,131500.00,118600,131500.00
2012-10-04,135000.00,136000.00,129000.00,129000.00,132200,129000.00
2012-10-03,134500.00,134500.00,134500.00,134500.00,000,134500.00
2012-10-02,135000.00,136500.00,134000.00,134500.00,36200,134500.00
2012-10-01,136000.00,136000.00,136000.00,136000.00,000,136000.00
2012-09-28,138000.00,138000.00,131000.00,136000.00,250200,136000.00
2012-09-27,132500.00,138000.00,132500.00,136500.00,99900,136500.00
2012-09-26,133500.00,135000.00,132000.00,135000.00,95700,135000.00
2012-09-25,136500.00,138500.00,134500.00,135500.00,55300,135500.00
2012-09-24,137500.00,138500.00,135500.00,137500.00,76000,137500.00
2012-09-21,136500.00,139000.00,134500.00,139000.00,80200,139000.00
2012-09-20,140000.00,140000.00,135000.00,136500.00,104100,136500.00
2012-09-19,140000.00,143500.00,139500.00,140500.00,60700,140500.00
2012-09-18,139500.00,142000.00,138500.00,140500.00,65300,140500.00
2012-09-17,140000.00,143000.00,139000.00,140500.00,76500,140500.00
2012-09-14,141000.00,143000.00,138000.00,139500.00,237800,139500.00
2012-09-13,131500.00,136500.00,129500.00,135000.00,132600,135000.00
2012-09-12,130500.00,135000.00,130000.00,131500.00,141700,131500.00
2012-09-11,129500.00,131000.00,128000.00,128500.00,73500,128500.00
2012-09-10,133000.00,134500.00,129000.00,130500.00,103300,130500.00
2012-09-07,128500.00,133000.00,127500.00,132500.00,287300,132500.00
2012-09-06,123000.00,125500.00,121000.00,122000.00,158400,122000.00
2012-09-05,128000.00,128000.00,122000.00,123000.00,181300,123000.00
2012-09-04,123500.00,130000.00,123500.00,128500.00,162800,128500.00
2012-09-03,124000.00,124500.00,121000.00,124000.00,60000,124000.00
2012-08-31,122000.00,123500.00,119000.00,122500.00,159200,122500.00
2012-08-30,127000.00,127500.00,122000.00,122000.00,145200,122000.00
2012-08-29,130000.00,130500.00,126000.00,128000.00,101300,128000.00
2012-08-28,129000.00,131500.00,128500.00,130000.00,71700,130000.00
2012-08-27,129000.00,131000.00,126000.00,129000.00,155600,129000.00
2012-08-24,134000.00,134000.00,127500.00,129000.00,168000,129000.00
2012-08-23,132500.00,135000.00,132000.00,133500.00,50500,133500.00
2012-08-22,133000.00,135000.00,131500.00,133000.00,68400,133000.00
2012-08-21,136500.00,137000.00,132500.00,133000.00,78300,133000.00
2012-08-20,138500.00,139500.00,135000.00,135000.00,92300,135000.00
2012-08-17,135500.00,138500.00,134500.00,137500.00,112600,137500.00
2012-08-16,131500.00,136500.00,129500.00,134500.00,125600,134500.00
2012-08-15,132000.00,132000.00,132000.00,132000.00,000,132000.00
2012-08-14,132000.00,133000.00,128000.00,132000.00,169100,132000.00
2012-08-13,130500.00,133500.00,128500.00,133000.00,100900,133000.00
2012-08-10,132000.00,133000.00,129000.00,131000.00,112600,131000.00
2012-08-09,126500.00,133000.00,126500.00,131500.00,197400,131500.00
2012-08-08,126000.00,130500.00,125500.00,126500.00,225300,126500.00
2012-08-07,121000.00,128500.00,121000.00,125000.00,236000,125000.00
2012-08-06,122000.00,123500.00,121000.00,121000.00,117500,121000.00
2012-08-03,116500.00,119000.00,116000.00,118000.00,64000,118000.00
2012-08-02,118500.00,122000.00,118500.00,119000.00,49400,119000.00
2012-08-01,115500.00,121000.00,115500.00,118500.00,100900,118500.00
2012-07-31,114000.00,122500.00,112000.00,118500.00,179900,118500.00
2012-07-30,114000.00,114500.00,112000.00,113000.00,60000,113000.00
2012-07-27,112000.00,113500.00,110500.00,112500.00,122600,112500.00
2012-07-26,112000.00,113500.00,107000.00,109000.00,152200,109000.00
2012-07-25,111000.00,113500.00,108000.00,111500.00,114800,111500.00
2012-07-24,114000.00,117500.00,111000.00,113500.00,124300,113500.00
2012-07-23,115000.00,117000.00,113500.00,115500.00,44700,115500.00
2012-07-20,117500.00,120000.00,115500.00,117000.00,71500,117000.00
2012-07-19,115500.00,118000.00,115000.00,116500.00,79800,116500.00
2012-07-18,120000.00,120000.00,113500.00,113500.00,165800,113500.00
2012-07-17,116500.00,120000.00,116500.00,119500.00,52700,119500.00
2012-07-16,119000.00,120500.00,117000.00,117500.00,62500,117500.00
2012-07-13,118000.00,118500.00,113500.00,118000.00,109300,118000.00
2012-07-12,120000.00,122000.00,117500.00,117500.00,58600,117500.00
2012-07-11,120500.00,121500.00,118000.00,121000.00,83300,121000.00
2012-07-10,123500.00,124500.00,120000.00,120500.00,96600,120500.00
2012-07-09,126000.00,126500.00,123500.00,124000.00,73900,124000.00
2012-07-06,126000.00,128000.00,123500.00,127500.00,54500,127500.00
2012-07-05,128000.00,128500.00,125500.00,126500.00,91700,126500.00
2012-07-04,122500.00,129000.00,122500.00,128000.00,210900,128000.00
2012-07-03,119000.00,124000.00,119000.00,122500.00,119400,122500.00
2012-07-02,121000.00,122000.00,118500.00,118500.00,72800,118500.00
2012-06-29,115000.00,119500.00,114500.00,118000.00,87700,118000.00
2012-06-28,116000.00,117000.00,114000.00,115500.00,61900,115500.00
2012-06-27,116500.00,118000.00,114500.00,115500.00,80900,115500.00
2012-06-26,116500.00,119000.00,115000.00,116000.00,77600,116000.00
2012-06-25,120500.00,121000.00,116500.00,117000.00,66700,117000.00
2012-06-22,119500.00,120500.00,118000.00,120000.00,81000,120000.00
2012-06-21,123000.00,125500.00,121500.00,122000.00,68600,122000.00
2012-06-20,125000.00,125000.00,122500.00,124000.00,71200,124000.00
2012-06-19,122000.00,124000.00,120000.00,122500.00,59200,122500.00
2012-06-18,121000.00,123500.00,120000.00,122000.00,135000,122000.00
2012-06-15,118000.00,118500.00,116000.00,117500.00,45300,117500.00
2012-06-14,114000.00,118500.00,114000.00,118500.00,75700,118500.00
2012-06-13,117500.00,118000.00,114500.00,115500.00,50600,115500.00
2012-06-12,116000.00,118500.00,116000.00,116500.00,53300,116500.00
2012-06-11,116500.00,119000.00,116000.00,119000.00,97500,119000.00
2012-06-08,113500.00,114500.00,112500.00,114000.00,48000,114000.00
2012-06-07,114500.00,117000.00,113500.00,114000.00,86700,114000.00
2012-06-06,111000.00,111000.00,111000.00,111000.00,000,111000.00
2012-06-05,109000.00,112500.00,108500.00,111000.00,115800,111000.00
2012-06-04,107500.00,110500.00,105500.00,108000.00,140900,108000.00
2012-06-01,118500.00,119000.00,112000.00,112500.00,160500,112500.00
2012-05-31,114000.00,118000.00,114000.00,118000.00,115100,118000.00
2012-05-30,117500.00,119500.00,116000.00,117000.00,101600,117000.00
2012-05-29,113000.00,120000.00,112000.00,117500.00,183300,117500.00
2012-05-28,113000.00,113000.00,113000.00,113000.00,000,113000.00
2012-05-25,108000.00,114000.00,107000.00,113000.00,150400,113000.00
2012-05-24,108000.00,111500.00,107000.00,108000.00,104000,108000.00
2012-05-23,108500.00,109500.00,106000.00,108000.00,90000,108000.00
