Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10050.00,10050.00,10050.00,10050.00,000,10050.00
2012-12-28,9980.00,10200.00,9950.00,10050.00,36700,10050.00
2012-12-27,9770.00,10050.00,9770.00,10050.00,63300,10050.00
2012-12-26,10000.00,10050.00,9740.00,9850.00,35000,9850.00
2012-12-25,9900.00,9900.00,9900.00,9900.00,000,9900.00
2012-12-24,10150.00,10250.00,9900.00,9900.00,40300,9900.00
2012-12-21,10250.00,10300.00,10050.00,10150.00,29400,10150.00
2012-12-20,10250.00,10400.00,10150.00,10300.00,34700,10300.00
2012-12-19,10400.00,10400.00,10400.00,10400.00,000,10400.00
2012-12-18,10100.00,10400.00,10100.00,10400.00,50500,10400.00
2012-12-17,10200.00,10400.00,10000.00,10200.00,105800,10200.00
2012-12-14,10350.00,10400.00,10150.00,10250.00,82100,10250.00
2012-12-13,10700.00,10700.00,10250.00,10500.00,126600,10500.00
2012-12-12,10650.00,10800.00,10400.00,10700.00,73300,10700.00
2012-12-11,10600.00,10750.00,10400.00,10700.00,66300,10700.00
2012-12-10,10450.00,10750.00,10350.00,10600.00,64300,10600.00
2012-12-07,10800.00,10800.00,10400.00,10400.00,80900,10400.00
2012-12-06,10600.00,10850.00,10400.00,10750.00,135400,10750.00
2012-12-05,10200.00,10700.00,10050.00,10650.00,162500,10650.00
2012-12-04,10200.00,10300.00,10000.00,10200.00,49900,10200.00
2012-12-03,10100.00,10450.00,10000.00,10200.00,96100,10200.00
2012-11-30,9990.00,10200.00,9820.00,10150.00,141800,10150.00
2012-11-29,9490.00,9970.00,9330.00,9800.00,177900,9800.00
2012-11-28,9400.00,9500.00,9270.00,9400.00,56200,9400.00
2012-11-27,9300.00,9460.00,9250.00,9400.00,73000,9400.00
2012-11-26,9360.00,9450.00,9130.00,9330.00,67600,9330.00
2012-11-23,9060.00,9280.00,8960.00,9270.00,40800,9270.00
2012-11-22,9290.00,9290.00,9050.00,9100.00,44000,9100.00
2012-11-21,9150.00,9280.00,9020.00,9200.00,69500,9200.00
2012-11-20,9100.00,9250.00,8950.00,9150.00,89400,9150.00
2012-11-19,8710.00,9100.00,8710.00,9090.00,69500,9090.00
2012-11-16,8820.00,8920.00,8540.00,8820.00,84800,8820.00
2012-11-15,8090.00,8840.00,8090.00,8800.00,166000,8800.00
2012-11-14,8280.00,8290.00,8110.00,8250.00,28200,8250.00
2012-11-13,8220.00,8300.00,8040.00,8190.00,68700,8190.00
2012-11-12,8170.00,8340.00,8160.00,8310.00,41000,8310.00
2012-11-09,8160.00,8230.00,7860.00,8170.00,89400,8170.00
2012-11-08,8330.00,8450.00,8230.00,8240.00,51700,8240.00
2012-11-07,8480.00,8620.00,8380.00,8530.00,56300,8530.00
2012-11-06,8210.00,8440.00,8210.00,8410.00,52100,8410.00
2012-11-05,8130.00,8260.00,7970.00,8210.00,74600,8210.00
2012-11-02,8390.00,8400.00,8250.00,8300.00,46000,8300.00
2012-11-01,8760.00,8820.00,8210.00,8250.00,170900,8250.00
2012-10-31,8850.00,9000.00,8750.00,8760.00,65500,8760.00
2012-10-30,8490.00,8890.00,8490.00,8710.00,71700,8710.00
2012-10-29,9130.00,9130.00,8600.00,8600.00,67400,8600.00
2012-10-26,9150.00,9200.00,8900.00,8900.00,78200,8900.00
2012-10-25,9150.00,9250.00,8900.00,9250.00,173400,9250.00
2012-10-24,9300.00,9390.00,8980.00,9110.00,177100,9110.00
2012-10-23,9900.00,9900.00,9360.00,9360.00,213500,9360.00
2012-10-22,9710.00,9940.00,9560.00,9820.00,97100,9820.00
2012-10-19,9780.00,9930.00,9570.00,9890.00,129800,9890.00
2012-10-18,10250.00,10250.00,9800.00,9800.00,177000,9800.00
2012-10-17,10400.00,10550.00,10150.00,10150.00,127400,10150.00
2012-10-16,10550.00,10650.00,10250.00,10250.00,214300,10250.00
2012-10-15,11200.00,11200.00,10200.00,10200.00,246200,10200.00
2012-10-12,11150.00,11400.00,10900.00,11100.00,227400,11100.00
2012-10-11,11300.00,11600.00,10800.00,11200.00,374500,11200.00
2012-10-10,11350.00,12050.00,11250.00,11350.00,244800,11350.00
2012-10-09,11500.00,11650.00,11100.00,11550.00,323800,11550.00
2012-10-08,11250.00,11500.00,10950.00,11500.00,243200,11500.00
2012-10-05,10800.00,11300.00,10800.00,11250.00,499700,11250.00
2012-10-04,10450.00,11000.00,10400.00,10700.00,528700,10700.00
2012-10-03,10400.00,10400.00,10400.00,10400.00,000,10400.00
2012-10-02,10150.00,10550.00,10050.00,10400.00,331400,10400.00
2012-10-01,10000.00,10000.00,10000.00,10000.00,000,10000.00
