Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,25750.00,25750.00,25750.00,25750.00,000,25750.00
2012-12-28,25750.00,25950.00,25500.00,25750.00,2617400,25750.00
2012-12-27,25450.00,25800.00,25400.00,25750.00,1998300,25750.00
2012-12-26,25300.00,25700.00,25300.00,25450.00,3151400,25450.00
2012-12-25,25150.00,25150.00,25150.00,25150.00,000,25150.00
2012-12-24,25400.00,25700.00,25050.00,25150.00,3873300,25150.00
2012-12-21,26300.00,26450.00,25250.00,25400.00,7082900,25400.00
2012-12-20,26850.00,26950.00,26150.00,26300.00,4724800,26300.00
2012-12-19,26500.00,26500.00,26500.00,26500.00,000,26500.00
2012-12-18,26900.00,27100.00,26400.00,26500.00,5717900,26500.00
2012-12-17,26400.00,26800.00,26250.00,26650.00,5207300,26650.00
2012-12-14,26000.00,26350.00,25850.00,26200.00,3660100,26200.00
2012-12-13,26200.00,26500.00,25650.00,26250.00,7569900,26250.00
2012-12-12,26350.00,26500.00,26050.00,26050.00,4893700,26050.00
2012-12-11,26250.00,26500.00,25900.00,25950.00,4168200,25950.00
2012-12-10,25850.00,26150.00,25800.00,26000.00,3265800,26000.00
2012-12-07,25450.00,25950.00,25400.00,25900.00,7085000,25900.00
2012-12-06,24850.00,25100.00,24700.00,24850.00,3764200,24850.00
2012-12-05,24450.00,24900.00,24250.00,24850.00,3475500,24850.00
2012-12-04,24300.00,24700.00,24200.00,24450.00,3535300,24450.00
2012-12-03,24300.00,24650.00,24200.00,24400.00,4141200,24400.00
2012-11-30,25250.00,25350.00,24400.00,24400.00,8393300,24400.00
2012-11-29,25700.00,25800.00,25100.00,25400.00,4004400,25400.00
2012-11-28,25400.00,25550.00,25000.00,25350.00,3100700,25350.00
2012-11-27,25750.00,26000.00,25350.00,25550.00,4325800,25550.00
2012-11-26,25800.00,26300.00,25750.00,25800.00,3740500,25800.00
2012-11-23,25500.00,25850.00,25350.00,25700.00,2752900,25700.00
2012-11-22,25250.00,25700.00,25000.00,25600.00,3172500,25600.00
2012-11-21,25500.00,25750.00,24900.00,24900.00,3690700,24900.00
2012-11-20,25650.00,25750.00,25300.00,25350.00,3275500,25350.00
2012-11-19,25200.00,25500.00,24750.00,25200.00,3915300,25200.00
2012-11-16,26100.00,26300.00,24550.00,24950.00,9258100,24950.00
2012-11-15,26350.00,26550.00,25900.00,26150.00,4732500,26150.00
2012-11-14,25550.00,26700.00,25500.00,26600.00,8662800,26600.00
2012-11-13,25200.00,25550.00,25000.00,25350.00,3295500,25350.00
2012-11-12,25200.00,25550.00,24800.00,25300.00,4363200,25300.00
2012-11-09,25700.00,25950.00,25350.00,25400.00,5200300,25400.00
2012-11-08,25600.00,26100.00,25350.00,26050.00,4512100,26050.00
2012-11-07,26000.00,26100.00,25450.00,26000.00,4384900,26000.00
2012-11-06,26250.00,26300.00,25550.00,25900.00,5012700,25900.00
2012-11-05,25950.00,26350.00,25750.00,26150.00,3327700,26150.00
2012-11-02,26000.00,26300.00,25900.00,25950.00,6582800,25950.00
2012-11-01,24950.00,25900.00,24700.00,25500.00,8300700,25500.00
2012-10-31,24800.00,25000.00,24650.00,24850.00,5720200,24850.00
2012-10-30,24500.00,24750.00,24200.00,24300.00,3753500,24300.00
2012-10-29,24550.00,24950.00,23900.00,24100.00,6179900,24100.00
2012-10-26,24300.00,24650.00,24000.00,24100.00,3811600,24100.00
2012-10-25,24150.00,24800.00,24050.00,24300.00,7755000,24300.00
2012-10-24,23500.00,24150.00,23350.00,24000.00,8680500,24000.00
2012-10-23,23400.00,23700.00,23050.00,23050.00,2830800,23050.00
2012-10-22,22700.00,23450.00,22650.00,23400.00,2558500,23400.00
2012-10-19,23550.00,23750.00,23250.00,23300.00,2635500,23300.00
2012-10-18,23500.00,23650.00,23200.00,23550.00,2665500,23550.00
2012-10-17,23400.00,23600.00,23200.00,23500.00,4588200,23500.00
2012-10-16,22700.00,23050.00,22700.00,22850.00,3891100,22850.00
2012-10-15,22550.00,22700.00,22100.00,22250.00,2997100,22250.00
2012-10-12,22900.00,23000.00,22250.00,22550.00,4249500,22550.00
2012-10-11,22800.00,23100.00,22600.00,22900.00,2935800,22900.00
2012-10-10,23250.00,23300.00,23000.00,23000.00,2998000,23000.00
2012-10-09,23800.00,23900.00,23550.00,23550.00,3462600,23550.00
2012-10-08,23350.00,23850.00,23300.00,23700.00,5635200,23700.00
2012-10-05,23400.00,23600.00,23150.00,23250.00,3107300,23250.00
2012-10-04,22850.00,23500.00,22750.00,23150.00,6173200,23150.00
2012-10-03,22500.00,22500.00,22500.00,22500.00,000,22500.00
2012-10-02,22950.00,23000.00,22350.00,22500.00,2837500,22500.00
2012-10-01,22750.00,22750.00,22750.00,22750.00,000,22750.00
2012-09-28,22950.00,23250.00,22600.00,22750.00,3849300,22750.00
2012-09-27,22550.00,22950.00,22450.00,22900.00,3505100,22900.00
2012-09-26,22600.00,22950.00,22450.00,22750.00,3202900,22750.00
2012-09-25,23250.00,23350.00,22750.00,22900.00,5360900,22900.00
2012-09-24,23950.00,24000.00,23350.00,23500.00,3491500,23500.00
2012-09-21,24200.00,24250.00,23650.00,23850.00,4777200,23850.00
2012-09-20,23700.00,24650.00,23600.00,23900.00,12215100,23900.00
2012-09-19,22950.00,23650.00,22900.00,23500.00,7645600,23500.00
2012-09-18,22950.00,23300.00,22800.00,22850.00,3816600,22850.00
2012-09-17,23150.00,23200.00,22850.00,22950.00,4232200,22950.00
2012-09-14,22550.00,23000.00,22350.00,22950.00,10490800,22950.00
2012-09-13,22100.00,22150.00,21800.00,21850.00,4213000,21850.00
2012-09-12,22200.00,22400.00,22000.00,22200.00,3243400,22200.00
2012-09-11,22150.00,22150.00,21800.00,21950.00,3644100,21950.00
2012-09-10,22350.00,22500.00,22150.00,22250.00,4725800,22250.00
2012-09-07,22000.00,22550.00,21750.00,22500.00,15187900,22500.00
2012-09-06,21400.00,21400.00,20550.00,20900.00,8996200,20900.00
2012-09-05,21500.00,21650.00,21200.00,21200.00,3811800,21200.00
2012-09-04,21350.00,21800.00,21250.00,21500.00,3718000,21500.00
2012-09-03,21200.00,21450.00,20900.00,21400.00,3497200,21400.00
2012-08-31,20950.00,21400.00,20950.00,21200.00,2681200,21200.00
2012-08-30,21400.00,21450.00,21050.00,21200.00,3247400,21200.00
2012-08-29,21350.00,21600.00,21250.00,21450.00,4269200,21450.00
2012-08-28,21700.00,21850.00,21100.00,21300.00,7403000,21300.00
2012-08-27,21650.00,22200.00,21550.00,21700.00,5273100,21700.00
2012-08-24,22000.00,22450.00,21750.00,21800.00,6140200,21800.00
