Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,73600.00,73600.00,73600.00,73600.00,000,73600.00
2012-12-28,72400.00,73900.00,71700.00,73600.00,98500,73600.00
2012-12-27,71800.00,72300.00,70900.00,71900.00,91200,71900.00
2012-12-26,71600.00,72700.00,71200.00,71500.00,112000,71500.00
2012-12-25,71600.00,71600.00,71600.00,71600.00,000,71600.00
2012-12-24,73400.00,74000.00,71200.00,71600.00,175100,71600.00
2012-12-21,74500.00,75000.00,73200.00,74000.00,128500,74000.00
2012-12-20,74500.00,74500.00,72800.00,74100.00,155900,74100.00
2012-12-19,73800.00,73800.00,73800.00,73800.00,000,73800.00
2012-12-18,71600.00,73800.00,71300.00,73800.00,288000,73800.00
2012-12-17,70900.00,71400.00,70100.00,71400.00,134700,71400.00
2012-12-14,71000.00,71400.00,70300.00,71000.00,120400,71000.00
2012-12-13,71000.00,71700.00,70100.00,71500.00,232500,71500.00
2012-12-12,72000.00,72200.00,70500.00,71500.00,162500,71500.00
2012-12-11,71800.00,72900.00,71300.00,71900.00,154300,71900.00
2012-12-10,71800.00,72600.00,71600.00,71700.00,159400,71700.00
2012-12-07,68800.00,72000.00,68600.00,72000.00,398000,72000.00
2012-12-06,65800.00,68400.00,65700.00,68300.00,159600,68300.00
2012-12-05,67300.00,67500.00,65500.00,66100.00,131100,66100.00
2012-12-04,66800.00,67200.00,66200.00,67100.00,63700,67100.00
2012-12-03,67800.00,67900.00,67000.00,67400.00,58500,67400.00
2012-11-30,67900.00,68400.00,67200.00,67800.00,101100,67800.00
2012-11-29,67300.00,68000.00,66600.00,68000.00,106100,68000.00
2012-11-28,67200.00,67400.00,66300.00,67200.00,93500,67200.00
2012-11-27,66400.00,67500.00,65900.00,67200.00,103400,67200.00
2012-11-26,65700.00,66000.00,64700.00,65700.00,96000,65700.00
2012-11-23,66700.00,66800.00,65100.00,66300.00,147900,66300.00
2012-11-22,67000.00,67600.00,64900.00,66600.00,144100,66600.00
2012-11-21,67500.00,67500.00,66200.00,66400.00,106500,66400.00
2012-11-20,68200.00,68200.00,66800.00,67300.00,103000,67300.00
2012-11-19,67400.00,67800.00,66100.00,67800.00,123200,67800.00
2012-11-16,66500.00,67900.00,66200.00,66800.00,255500,66800.00
2012-11-15,64600.00,66100.00,64100.00,66000.00,135700,66000.00
2012-11-14,65800.00,65900.00,64600.00,65500.00,123800,65500.00
2012-11-13,65000.00,66000.00,64600.00,65300.00,133700,65300.00
2012-11-12,65500.00,65500.00,64200.00,64500.00,103700,64500.00
2012-11-09,63800.00,65700.00,63200.00,65200.00,248300,65200.00
2012-11-08,63600.00,65200.00,63500.00,64500.00,276300,64500.00
2012-11-07,64000.00,64600.00,62900.00,64500.00,178900,64500.00
2012-11-06,63600.00,63700.00,62600.00,63700.00,88300,63700.00
2012-11-05,62600.00,63400.00,61800.00,63300.00,167100,63300.00
2012-11-02,59900.00,62900.00,59500.00,62900.00,243100,62900.00
2012-11-01,59700.00,60000.00,58600.00,59200.00,89300,59200.00
2012-10-31,59300.00,60200.00,58600.00,60100.00,91700,60100.00
2012-10-30,59900.00,59900.00,58700.00,59100.00,74400,59100.00
2012-10-29,57000.00,59800.00,57000.00,59300.00,99400,59300.00
2012-10-26,59200.00,59400.00,57100.00,57100.00,80200,57100.00
2012-10-25,58000.00,59200.00,57400.00,58800.00,84300,58800.00
2012-10-24,59400.00,59400.00,58000.00,58000.00,152500,58000.00
2012-10-23,59200.00,60400.00,58300.00,59700.00,75900,59700.00
2012-10-22,58000.00,59900.00,58000.00,59100.00,61500,59100.00
