Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10100.00,10100.00,10100.00,10100.00,000,10100.00
2012-12-28,10150.00,10200.00,10050.00,10100.00,16300,10100.00
2012-12-27,9980.00,10150.00,9980.00,10050.00,15800,10050.00
2012-12-26,10200.00,10250.00,10050.00,10050.00,46600,10050.00
2012-12-25,10150.00,10150.00,10150.00,10150.00,000,10150.00
2012-12-24,10150.00,10250.00,10100.00,10150.00,25100,10150.00
2012-12-21,10600.00,10600.00,10100.00,10200.00,37800,10200.00
2012-12-20,10650.00,10650.00,10400.00,10500.00,35500,10500.00
2012-12-19,10650.00,10650.00,10650.00,10650.00,000,10650.00
2012-12-18,10550.00,10750.00,10550.00,10650.00,57900,10650.00
2012-12-17,10450.00,10850.00,10400.00,10550.00,54900,10550.00
2012-12-14,10350.00,10550.00,10250.00,10500.00,28000,10500.00
2012-12-13,10300.00,10450.00,10250.00,10400.00,35500,10400.00
2012-12-12,10550.00,10600.00,10350.00,10400.00,29900,10400.00
2012-12-11,10500.00,10500.00,10250.00,10500.00,50000,10500.00
2012-12-10,10150.00,10550.00,10050.00,10400.00,69000,10400.00
2012-12-07,10150.00,10200.00,10000.00,10150.00,25600,10150.00
2012-12-06,10200.00,10200.00,9890.00,10100.00,40800,10100.00
2012-12-05,9740.00,9920.00,9740.00,9920.00,20300,9920.00
2012-12-04,9920.00,9950.00,9810.00,9810.00,17500,9810.00
2012-12-03,10050.00,10200.00,9930.00,9940.00,25600,9940.00
2012-11-30,10100.00,10250.00,10000.00,10100.00,26700,10100.00
2012-11-29,9760.00,10200.00,9760.00,10200.00,49100,10200.00
2012-11-28,9900.00,9900.00,9700.00,9720.00,18200,9720.00
2012-11-27,9750.00,9910.00,9750.00,9870.00,22400,9870.00
2012-11-26,9570.00,9830.00,9570.00,9820.00,22700,9820.00
2012-11-23,9670.00,9750.00,9480.00,9640.00,29700,9640.00
2012-11-22,9740.00,9800.00,9660.00,9670.00,25400,9670.00
2012-11-21,9930.00,9970.00,9710.00,9720.00,41400,9720.00
