Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,5310.00,5310.00,5310.00,5310.00,000,5310.00
2012-12-28,5380.00,5380.00,5290.00,5310.00,12000,5310.00
2012-12-27,5280.00,5420.00,5260.00,5380.00,9700,5380.00
2012-12-26,5400.00,5430.00,5280.00,5280.00,9100,5280.00
2012-12-25,5380.00,5380.00,5380.00,5380.00,000,5380.00
2012-12-24,5310.00,5400.00,5150.00,5380.00,10900,5380.00
2012-12-21,5320.00,5600.00,5300.00,5310.00,22200,5310.00
2012-12-20,5360.00,5680.00,5310.00,5480.00,17400,5480.00
2012-12-19,5310.00,5310.00,5310.00,5310.00,000,5310.00
2012-12-18,5270.00,5320.00,5240.00,5310.00,7400,5310.00
2012-12-17,5240.00,5270.00,5130.00,5270.00,8900,5270.00
2012-12-14,5240.00,5250.00,5110.00,5230.00,15000,5230.00
2012-12-13,5060.00,5230.00,5050.00,5170.00,11200,5170.00
2012-12-12,5230.00,5230.00,5000.00,5060.00,32500,5060.00
2012-12-11,5200.00,5290.00,5150.00,5220.00,8700,5220.00
2012-12-10,5300.00,5440.00,5140.00,5210.00,15700,5210.00
2012-12-07,5490.00,5490.00,5300.00,5300.00,16300,5300.00
2012-12-06,5500.00,5630.00,5400.00,5480.00,9700,5480.00
2012-12-05,5500.00,5630.00,5470.00,5490.00,10900,5490.00
2012-12-04,5600.00,5660.00,5500.00,5500.00,6000,5500.00
2012-12-03,5680.00,5700.00,5520.00,5600.00,4700,5600.00
2012-11-30,5600.00,5620.00,5510.00,5570.00,5200,5570.00
2012-11-29,5500.00,5590.00,5490.00,5580.00,4500,5580.00
2012-11-28,5550.00,5700.00,5450.00,5470.00,18300,5470.00
2012-11-27,5640.00,5690.00,5520.00,5670.00,19700,5670.00
2012-11-26,5710.00,5710.00,5500.00,5640.00,11100,5640.00
2012-11-23,5700.00,5980.00,5510.00,5690.00,19500,5690.00
2012-11-22,5750.00,5820.00,5680.00,5720.00,10800,5720.00
2012-11-21,5980.00,5980.00,5750.00,5750.00,19800,5750.00
2012-11-20,6030.00,6050.00,5950.00,5980.00,3700,5980.00
2012-11-19,5650.00,6250.00,5650.00,6130.00,17800,6130.00
2012-11-16,6080.00,6080.00,5810.00,5930.00,2600,5930.00
2012-11-15,6000.00,6100.00,5830.00,6010.00,12400,6010.00
2012-11-14,5910.00,6070.00,5800.00,5970.00,19300,5970.00
2012-11-13,6110.00,6130.00,5800.00,5910.00,14700,5910.00
2012-11-12,6250.00,6250.00,6060.00,6190.00,3300,6190.00
2012-11-09,6140.00,6260.00,6120.00,6180.00,1700,6180.00
2012-11-08,6120.00,6140.00,6030.00,6140.00,10200,6140.00
2012-11-07,6120.00,6250.00,6040.00,6130.00,9200,6130.00
2012-11-06,6070.00,6130.00,5950.00,6070.00,3600,6070.00
2012-11-05,6090.00,6140.00,6000.00,6040.00,6700,6040.00
2012-11-02,6130.00,6140.00,5980.00,6120.00,9000,6120.00
2012-11-01,6100.00,6110.00,5930.00,5980.00,7300,5980.00
2012-10-31,5950.00,6160.00,5950.00,6060.00,8400,6060.00
2012-10-30,5910.00,6080.00,5910.00,5940.00,6200,5940.00
2012-10-29,6140.00,6180.00,5910.00,5910.00,14900,5910.00
2012-10-26,6360.00,6360.00,6020.00,6140.00,14800,6140.00
2012-10-25,6270.00,6300.00,6150.00,6230.00,2600,6230.00
2012-10-24,6130.00,6240.00,6050.00,6210.00,12900,6210.00
2012-10-23,6370.00,6380.00,6150.00,6160.00,3400,6160.00
2012-10-22,6260.00,6290.00,6130.00,6270.00,5500,6270.00
2012-10-19,6160.00,6330.00,6130.00,6260.00,7200,6260.00
2012-10-18,6350.00,6350.00,6150.00,6200.00,3000,6200.00
2012-10-17,6100.00,6230.00,6100.00,6190.00,4700,6190.00
2012-10-16,6170.00,6170.00,6010.00,6100.00,13600,6100.00
2012-10-15,6200.00,6200.00,6070.00,6140.00,11500,6140.00
2012-10-12,6350.00,6350.00,6160.00,6200.00,10800,6200.00
2012-10-11,6260.00,6280.00,6180.00,6270.00,4300,6270.00
2012-10-10,6280.00,6400.00,6150.00,6260.00,10800,6260.00
2012-10-09,6250.00,6400.00,6160.00,6280.00,6800,6280.00
2012-10-08,6270.00,6300.00,6150.00,6200.00,7600,6200.00
2012-10-05,6490.00,6490.00,6240.00,6240.00,8900,6240.00
2012-10-04,6580.00,6580.00,6400.00,6460.00,7000,6460.00
2012-10-03,6550.00,6550.00,6550.00,6550.00,000,6550.00
2012-10-02,6570.00,6570.00,6440.00,6550.00,14100,6550.00
2012-10-01,6570.00,6570.00,6570.00,6570.00,000,6570.00
