Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,159000.00,159000.00,159000.00,159000.00,000,159000.00
2012-12-28,156500.00,160000.00,155000.00,159000.00,52600,159000.00
2012-12-27,157500.00,157500.00,154500.00,155500.00,34200,155500.00
2012-12-26,157000.00,158000.00,155500.00,156000.00,40100,156000.00
2012-12-25,156000.00,156000.00,156000.00,156000.00,000,156000.00
2012-12-24,155500.00,157000.00,153500.00,156000.00,41300,156000.00
2012-12-21,156500.00,156500.00,151000.00,154500.00,70600,154500.00
2012-12-20,156000.00,156500.00,153500.00,155000.00,68100,155000.00
2012-12-19,153500.00,153500.00,153500.00,153500.00,000,153500.00
2012-12-18,156000.00,157500.00,153000.00,153500.00,113900,153500.00
2012-12-17,159500.00,159500.00,155000.00,157500.00,40200,157500.00
2012-12-14,157000.00,159500.00,155500.00,158500.00,43700,158500.00
2012-12-13,157500.00,161000.00,155500.00,157000.00,102700,157000.00
2012-12-12,160000.00,161500.00,154000.00,160000.00,99200,160000.00
2012-12-11,157500.00,159500.00,154000.00,159000.00,76100,159000.00
2012-12-10,156000.00,159000.00,153000.00,157000.00,103400,157000.00
2012-12-07,151500.00,158000.00,151000.00,156000.00,80400,156000.00
2012-12-06,152000.00,156000.00,151000.00,151500.00,52600,151500.00
2012-12-05,148500.00,154000.00,148000.00,154000.00,63500,154000.00
2012-12-04,148000.00,150000.00,146500.00,146500.00,159900,146500.00
2012-12-03,149500.00,152500.00,147500.00,148000.00,68400,148000.00
2012-11-30,147000.00,152000.00,146500.00,150500.00,102300,150500.00
2012-11-29,149000.00,152000.00,147500.00,147500.00,56400,147500.00
2012-11-28,150000.00,151000.00,144500.00,149500.00,105700,149500.00
2012-11-27,153000.00,153500.00,150000.00,151000.00,80400,151000.00
2012-11-26,151000.00,154000.00,150000.00,152000.00,48200,152000.00
2012-11-23,148500.00,152000.00,148500.00,151000.00,70700,151000.00
2012-11-22,149500.00,152500.00,147500.00,149500.00,89500,149500.00
2012-11-21,147500.00,153000.00,146000.00,146500.00,156300,146500.00
2012-11-20,142000.00,149000.00,140000.00,147500.00,174100,147500.00
2012-11-19,140000.00,143500.00,139000.00,140500.00,71800,140500.00
2012-11-16,137500.00,142000.00,137500.00,140000.00,74100,140000.00
2012-11-15,142500.00,143500.00,138500.00,139500.00,105300,139500.00
2012-11-14,144000.00,145500.00,141000.00,143500.00,104500,143500.00
2012-11-13,137500.00,146500.00,137000.00,144500.00,348400,144500.00
2012-11-12,133500.00,135500.00,132000.00,135500.00,53500,135500.00
2012-11-09,132000.00,133000.00,129000.00,132500.00,127900,132500.00
2012-11-08,135000.00,136000.00,132500.00,134000.00,77300,134000.00
2012-11-07,135000.00,136500.00,134000.00,135000.00,38800,135000.00
2012-11-06,136000.00,137000.00,133500.00,135000.00,54000,135000.00
2012-11-05,134000.00,136500.00,132500.00,135000.00,81000,135000.00
2012-11-02,135000.00,136000.00,132000.00,133500.00,145800,133500.00
2012-11-01,133500.00,135500.00,133000.00,135000.00,68300,135000.00
2012-10-31,131000.00,136000.00,131000.00,135500.00,99700,135500.00
2012-10-30,130500.00,133000.00,129500.00,130000.00,95500,130000.00
2012-10-29,135500.00,136000.00,131000.00,131000.00,78700,131000.00
2012-10-26,138000.00,139500.00,134000.00,135000.00,67800,135000.00
2012-10-25,134500.00,140000.00,134500.00,138500.00,57000,138500.00
2012-10-24,134000.00,137500.00,133500.00,135000.00,94700,135000.00
2012-10-23,136500.00,138500.00,134500.00,136000.00,104900,136000.00
2012-10-22,137000.00,138000.00,134000.00,136000.00,148500,136000.00
2012-10-19,142500.00,143500.00,138500.00,139000.00,93800,139000.00
2012-10-18,142000.00,144000.00,141000.00,142000.00,77600,142000.00
2012-10-17,143500.00,148000.00,142000.00,142500.00,121300,142500.00
2012-10-16,148000.00,148500.00,143000.00,144000.00,99000,144000.00
2012-10-15,144500.00,151000.00,144000.00,148500.00,110000,148500.00
2012-10-12,141000.00,147000.00,140000.00,145500.00,90700,145500.00
2012-10-11,141500.00,144500.00,140000.00,141000.00,106100,141000.00
2012-10-10,139000.00,144500.00,138500.00,142500.00,106900,142500.00
2012-10-09,138000.00,142000.00,137000.00,141000.00,101300,141000.00
2012-10-08,140000.00,140500.00,136500.00,137000.00,121300,137000.00
2012-10-05,143500.00,146500.00,140500.00,140500.00,119000,140500.00
2012-10-04,147000.00,148000.00,142500.00,143000.00,85300,143000.00
2012-10-03,147500.00,147500.00,147500.00,147500.00,000,147500.00
2012-10-02,151000.00,153000.00,147500.00,147500.00,62100,147500.00
2012-10-01,153000.00,153000.00,153000.00,153000.00,000,153000.00
2012-09-28,149000.00,153000.00,147000.00,153000.00,136300,153000.00
2012-09-27,147000.00,149000.00,145000.00,148000.00,64900,148000.00
2012-09-26,143000.00,149000.00,141500.00,149000.00,99100,149000.00
2012-09-25,148500.00,148500.00,145000.00,145000.00,84000,145000.00
2012-09-24,147000.00,150000.00,145000.00,147500.00,169300,147500.00
2012-09-21,141500.00,145500.00,140500.00,145000.00,97200,145000.00
2012-09-20,139500.00,141500.00,139500.00,140500.00,42300,140500.00
2012-09-19,143500.00,143500.00,139500.00,141000.00,88500,141000.00
2012-09-18,143500.00,144500.00,141500.00,142000.00,64200,142000.00
2012-09-17,143000.00,147500.00,142000.00,142500.00,97200,142500.00
2012-09-14,143000.00,144500.00,141500.00,144500.00,88700,144500.00
2012-09-13,141000.00,142000.00,138500.00,140000.00,63400,140000.00
2012-09-12,141000.00,142000.00,139500.00,141000.00,49100,141000.00
2012-09-11,142500.00,143000.00,140000.00,140000.00,72200,140000.00
2012-09-10,139000.00,142500.00,137000.00,142500.00,107500,142500.00
2012-09-07,141500.00,142500.00,137000.00,138500.00,140600,138500.00
2012-09-06,142000.00,143500.00,139000.00,139000.00,91400,139000.00
2012-09-05,144500.00,144500.00,141500.00,143500.00,77700,143500.00
2012-09-04,143000.00,146000.00,141500.00,144000.00,138200,144000.00
2012-09-03,142500.00,146500.00,141000.00,143000.00,51000,143000.00
2012-08-31,142500.00,147500.00,142000.00,142500.00,79600,142500.00
2012-08-30,140000.00,145500.00,138000.00,145000.00,89700,145000.00
2012-08-29,143000.00,143500.00,140000.00,140500.00,69000,140500.00
2012-08-28,145500.00,147000.00,140500.00,143000.00,120300,143000.00
2012-08-27,139500.00,146500.00,139000.00,146000.00,131100,146000.00
2012-08-24,142500.00,142500.00,138500.00,138500.00,83700,138500.00
2012-08-23,143500.00,143500.00,141000.00,143500.00,62800,143500.00
2012-08-22,147000.00,147000.00,139500.00,143500.00,138000,143500.00
2012-08-21,145000.00,147500.00,142500.00,146500.00,82900,146500.00
2012-08-20,143500.00,144000.00,140000.00,142500.00,135900,142500.00
2012-08-17,136000.00,139000.00,135500.00,139000.00,68600,139000.00
2012-08-16,136500.00,137000.00,134500.00,136500.00,57400,136500.00
