Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21650.00,21650.00,21650.00,21650.00,000,21650.00
2012-12-28,21250.00,21850.00,21200.00,21650.00,178900,21650.00
2012-12-27,21350.00,21550.00,21150.00,21400.00,169600,21400.00
2012-12-26,21900.00,22050.00,21650.00,21700.00,176500,21700.00
2012-12-25,21800.00,21800.00,21800.00,21800.00,000,21800.00
2012-12-24,21550.00,21850.00,21250.00,21800.00,169000,21800.00
2012-12-21,22500.00,22500.00,21650.00,21850.00,273100,21850.00
2012-12-20,21900.00,22350.00,21600.00,22250.00,506800,22250.00
2012-12-19,21750.00,21750.00,21750.00,21750.00,000,21750.00
2012-12-18,21600.00,21800.00,21150.00,21750.00,204500,21750.00
2012-12-17,21600.00,21700.00,21250.00,21600.00,274100,21600.00
2012-12-14,20650.00,21650.00,20650.00,21600.00,342100,21600.00
2012-12-13,20300.00,21000.00,20300.00,21000.00,279000,21000.00
2012-12-12,20750.00,20800.00,20400.00,20750.00,129800,20750.00
2012-12-11,20150.00,20550.00,20150.00,20550.00,254400,20550.00
2012-12-10,20400.00,20600.00,20000.00,20100.00,144400,20100.00
2012-12-07,20250.00,20500.00,20100.00,20400.00,168700,20400.00
2012-12-06,20000.00,20550.00,20000.00,20200.00,192400,20200.00
2012-12-05,20100.00,20550.00,19900.00,20300.00,254100,20300.00
2012-12-04,19750.00,20250.00,19750.00,20000.00,100900,20000.00
2012-12-03,20700.00,20700.00,20150.00,20250.00,154900,20250.00
2012-11-30,19750.00,20700.00,19700.00,20700.00,372300,20700.00
2012-11-29,19800.00,20150.00,19650.00,20000.00,226700,20000.00
2012-11-28,19700.00,19750.00,19200.00,19450.00,139600,19450.00
2012-11-27,19150.00,19900.00,19000.00,19650.00,371100,19650.00
2012-11-26,19200.00,19250.00,18900.00,19050.00,121800,19050.00
2012-11-23,19200.00,19200.00,18950.00,19200.00,118100,19200.00
2012-11-22,19300.00,19400.00,18900.00,19200.00,163900,19200.00
2012-11-21,19100.00,19250.00,18850.00,19050.00,187600,19050.00
2012-11-20,19100.00,19150.00,18700.00,19050.00,157000,19050.00
2012-11-19,18650.00,19150.00,18500.00,18950.00,280200,18950.00
2012-11-16,17900.00,18550.00,17800.00,18550.00,277400,18550.00
2012-11-15,18200.00,18500.00,17950.00,18100.00,291200,18100.00
2012-11-14,18400.00,18900.00,18250.00,18800.00,177600,18800.00
2012-11-13,19000.00,19250.00,18500.00,18600.00,182900,18600.00
2012-11-12,19300.00,19300.00,18700.00,18900.00,158000,18900.00
2012-11-09,18650.00,19250.00,18650.00,19250.00,181000,19250.00
2012-11-08,18900.00,19150.00,18600.00,19050.00,383300,19050.00
2012-11-07,19600.00,19750.00,19450.00,19500.00,305900,19500.00
2012-11-06,19200.00,19700.00,19150.00,19700.00,234900,19700.00
2012-11-05,19800.00,19800.00,19300.00,19450.00,219900,19450.00
