Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,113000.00,113000.00,113000.00,113000.00,000,113000.00
2012-12-28,113000.00,121500.00,111000.00,113000.00,265600,113000.00
2012-12-27,115000.00,118000.00,109500.00,110000.00,90200,110000.00
2012-12-26,117500.00,120000.00,115000.00,116000.00,123800,116000.00
2012-12-25,118500.00,118500.00,118500.00,118500.00,000,118500.00
2012-12-24,119000.00,122500.00,113000.00,118500.00,178300,118500.00
2012-12-21,113500.00,121000.00,112500.00,112500.00,270500,112500.00
2012-12-20,112500.00,119500.00,110500.00,111000.00,300400,111000.00
2012-12-19,109000.00,109000.00,109000.00,109000.00,000,109000.00
2012-12-18,111500.00,114500.00,106500.00,109000.00,190200,109000.00
2012-12-17,119000.00,122000.00,110500.00,113500.00,390400,113500.00
2012-12-14,101000.00,116000.00,99500.00,116000.00,769200,116000.00
2012-12-13,102500.00,106500.00,99800.00,101000.00,151500,101000.00
2012-12-12,105500.00,112000.00,101000.00,103500.00,236100,103500.00
2012-12-11,94000.00,112000.00,92900.00,103500.00,585600,103500.00
2012-12-10,114000.00,117000.00,99400.00,99900.00,520200,99900.00
2012-12-07,94100.00,106000.00,92600.00,106000.00,220700,106000.00
2012-12-06,100000.00,101000.00,88000.00,92400.00,275700,92400.00
2012-12-05,110000.00,115000.00,98200.00,98200.00,430800,98200.00
2012-12-04,95100.00,100500.00,94500.00,100500.00,112800,100500.00
2012-12-03,76700.00,87400.00,76700.00,87400.00,140700,87400.00
2012-11-30,75800.00,76100.00,75200.00,76000.00,17300,76000.00
2012-11-29,75400.00,76100.00,74700.00,75700.00,27500,75700.00
2012-11-28,76400.00,76800.00,74800.00,75000.00,24200,75000.00
2012-11-27,76800.00,77000.00,75700.00,76100.00,25500,76100.00
2012-11-26,77000.00,77200.00,75900.00,76100.00,6600,76100.00
2012-11-23,75600.00,76900.00,75500.00,75500.00,8200,75500.00
2012-11-22,76000.00,77700.00,75600.00,76600.00,10800,76600.00
2012-11-21,78500.00,78500.00,75000.00,75500.00,10800,75500.00
2012-11-20,78500.00,78800.00,77400.00,77600.00,4800,77600.00
2012-11-19,79500.00,79500.00,77300.00,78400.00,6700,78400.00
2012-11-16,77300.00,78000.00,75700.00,78000.00,5800,78000.00
2012-11-15,77500.00,77500.00,75400.00,77000.00,5000,77000.00
2012-11-14,76200.00,77900.00,76200.00,77000.00,5600,77000.00
2012-11-13,77900.00,78400.00,75900.00,75900.00,4600,75900.00
2012-11-12,75200.00,77700.00,75100.00,77500.00,5800,77500.00
2012-11-09,77700.00,77700.00,75500.00,75700.00,13300,75700.00
2012-11-08,79300.00,80900.00,79300.00,79400.00,14800,79400.00
2012-11-07,81200.00,81800.00,80400.00,81400.00,9100,81400.00
2012-11-06,81000.00,81500.00,80600.00,81300.00,4600,81300.00
2012-11-05,82200.00,82200.00,81000.00,81000.00,4500,81000.00
2012-11-02,80300.00,82100.00,80100.00,81700.00,6700,81700.00
2012-11-01,81600.00,82400.00,79800.00,79800.00,9200,79800.00
2012-10-31,82600.00,84200.00,82000.00,82500.00,6200,82500.00
2012-10-30,84700.00,86700.00,82500.00,82500.00,10500,82500.00
2012-10-29,80200.00,83300.00,80200.00,82000.00,7300,82000.00
2012-10-26,82100.00,85700.00,81000.00,81000.00,9000,81000.00
2012-10-25,83600.00,85000.00,82100.00,82100.00,10700,82100.00
2012-10-24,86200.00,86900.00,82700.00,84000.00,14100,84000.00
