Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,221500.00,221500.00,221500.00,221500.00,000,221500.00
2012-12-28,221500.00,224500.00,219500.00,221500.00,47000,221500.00
2012-12-27,220500.00,223500.00,219000.00,220000.00,43000,220000.00
2012-12-26,223500.00,226000.00,220000.00,222000.00,57100,220710.00
2012-12-25,221000.00,221000.00,221000.00,221000.00,000,219715.81
2012-12-24,221500.00,222500.00,218500.00,221000.00,29900,219715.81
2012-12-21,225000.00,226500.00,219500.00,220500.00,67400,219218.72
2012-12-20,226500.00,227500.00,221000.00,222000.00,87400,220710.00
2012-12-19,220000.00,220000.00,220000.00,220000.00,000,218721.62
2012-12-18,219500.00,223000.00,217500.00,220000.00,86100,218721.62
2012-12-17,227000.00,227000.00,218500.00,220500.00,82600,219218.72
2012-12-14,217500.00,227000.00,217500.00,226000.00,106000,224686.76
2012-12-13,222000.00,222000.00,217000.00,217500.00,97700,216236.15
2012-12-12,219000.00,220000.00,215000.00,220000.00,59800,218721.62
2012-12-11,224000.00,225000.00,216500.00,218000.00,96100,216733.25
2012-12-10,226500.00,228500.00,220500.00,223500.00,71600,222201.29
2012-12-07,228000.00,230000.00,222500.00,225000.00,68600,223692.57
2012-12-06,229000.00,230500.00,227000.00,228000.00,32400,226675.14
2012-12-05,232000.00,235000.00,230000.00,231500.00,42600,230154.80
2012-12-04,225000.00,235500.00,225000.00,232000.00,31100,230651.90
2012-12-03,234000.00,237500.00,232500.00,235500.00,51100,234131.56
2012-11-30,229500.00,236000.00,227000.00,236000.00,94300,234628.65
2012-11-29,231000.00,236000.00,229500.00,233000.00,98700,231646.08
2012-11-28,231000.00,231000.00,226000.00,227500.00,87800,226178.04
2012-11-27,220000.00,232500.00,219000.00,228500.00,142800,227172.23
2012-11-26,215500.00,220000.00,215500.00,219500.00,40300,218224.53
2012-11-23,215500.00,219500.00,214500.00,215500.00,35400,214247.77
2012-11-22,215500.00,219500.00,213500.00,216000.00,33800,214744.87
2012-11-21,209000.00,215500.00,208500.00,215500.00,77700,214247.77
2012-11-20,212500.00,214000.00,205500.00,208000.00,100900,206791.35
2012-11-19,213000.00,215000.00,210500.00,210500.00,57500,209276.83
2012-11-16,206000.00,215000.00,205500.00,215000.00,87200,213750.68
2012-11-15,211500.00,211500.00,204500.00,207000.00,87000,205797.16
2012-11-14,210500.00,215000.00,209000.00,214000.00,50900,212756.49
2012-11-13,217000.00,217500.00,208500.00,210500.00,40600,209276.83
2012-11-12,217000.00,219000.00,211500.00,216500.00,31800,215241.96
2012-11-09,213500.00,216000.00,209500.00,216000.00,78900,214744.87
2012-11-08,216500.00,219500.00,216500.00,218000.00,64800,216733.25
2012-11-07,219000.00,220500.00,215000.00,220000.00,75300,218721.62
2012-11-06,208500.00,219500.00,208000.00,218000.00,109700,216733.25
2012-11-05,207500.00,212000.00,204000.00,208000.00,133400,206791.35
2012-11-02,223000.00,223000.00,214500.00,216000.00,99100,214744.87
2012-11-01,224500.00,227000.00,207000.00,220000.00,255700,218721.62
2012-10-31,228000.00,229500.00,224500.00,227000.00,32200,225680.95
2012-10-30,226000.00,230000.00,224000.00,226000.00,41000,224686.76
2012-10-29,223000.00,230500.00,222000.00,227000.00,74300,225680.95
2012-10-26,223500.00,228500.00,218500.00,223000.00,92100,221704.19
2012-10-25,214000.00,227500.00,214000.00,223500.00,68500,222201.29
2012-10-24,217000.00,221500.00,215000.00,215000.00,75000,213750.68
2012-10-23,226000.00,226500.00,219000.00,219000.00,47600,217727.44
2012-10-22,224000.00,229500.00,221500.00,227000.00,29800,225680.95
2012-10-19,226000.00,228500.00,224000.00,227000.00,36100,225680.95
2012-10-18,230000.00,232500.00,225000.00,226000.00,48000,224686.76
2012-10-17,227000.00,230000.00,226000.00,229000.00,32000,227669.33
2012-10-16,228000.00,229000.00,224000.00,227000.00,57400,225680.95
2012-10-15,226500.00,228500.00,220500.00,225000.00,73300,223692.57
2012-10-12,229500.00,233500.00,228500.00,228500.00,38600,227172.23
2012-10-11,236000.00,237000.00,229000.00,229500.00,50800,228166.42
2012-10-10,228000.00,236000.00,226500.00,234500.00,43400,233137.37
2012-10-09,236000.00,236000.00,228500.00,229000.00,51800,227669.33
2012-10-08,232000.00,238500.00,232000.00,234500.00,39000,233137.37
2012-10-05,238500.00,238500.00,233000.00,234000.00,45000,232640.27
2012-10-04,236000.00,238000.00,234000.00,235500.00,39200,234131.56
2012-10-03,235000.00,235000.00,235000.00,235000.00,000,233634.46
2012-10-02,243500.00,243500.00,235000.00,235000.00,52900,233634.46
2012-10-01,243500.00,243500.00,243500.00,243500.00,000,242085.07
2012-09-28,239500.00,243500.00,232000.00,243500.00,110700,242085.07
2012-09-27,235500.00,238500.00,235000.00,238000.00,75900,236617.03
2012-09-26,234500.00,238500.00,233000.00,238000.00,91100,236617.03
2012-09-25,232000.00,237000.00,228000.00,235000.00,73300,233634.46
2012-09-24,226000.00,234000.00,225500.00,234000.00,74800,232640.27
2012-09-21,227500.00,229500.00,224500.00,228000.00,65700,226675.14
2012-09-20,231500.00,233500.00,223000.00,226000.00,126500,224686.76
2012-09-19,238000.00,238000.00,230000.00,233000.00,58500,231646.08
2012-09-18,232000.00,236500.00,232000.00,236500.00,55200,235125.75
2012-09-17,235000.00,236000.00,229500.00,233500.00,109700,232143.18
2012-09-14,243000.00,245000.00,237000.00,238500.00,100900,237114.12
2012-09-13,238500.00,241500.00,236500.00,239000.00,43800,237611.22
2012-09-12,230000.00,241000.00,227500.00,241000.00,103300,239599.60
2012-09-11,230500.00,232500.00,228000.00,230500.00,46500,229160.61
2012-09-10,230000.00,232500.00,225000.00,229000.00,74900,227669.33
2012-09-07,231000.00,234500.00,227500.00,232000.00,67900,230651.90
2012-09-06,227000.00,231500.00,227000.00,229000.00,48600,227669.33
2012-09-05,227000.00,231500.00,226000.00,228000.00,62700,226675.14
2012-09-04,232000.00,240000.00,228500.00,228500.00,86700,227172.23
2012-09-03,227000.00,239500.00,226000.00,232000.00,107100,230651.90
2012-08-31,228000.00,231500.00,225000.00,228000.00,123900,226675.14
2012-08-30,229500.00,235000.00,224000.00,231000.00,201600,229657.71
2012-08-29,215500.00,230000.00,215000.00,228000.00,263600,226675.14
2012-08-28,212500.00,218000.00,212500.00,216500.00,122200,215241.96
2012-08-27,208500.00,214500.00,208000.00,214500.00,139900,213253.58
2012-08-24,209500.00,209500.00,208000.00,208000.00,63200,206791.35
2012-08-23,210500.00,212000.00,208500.00,212000.00,74500,210768.11
2012-08-22,213500.00,214000.00,208500.00,209000.00,112100,207785.54
2012-08-21,212000.00,214000.00,211000.00,214000.00,94900,212756.49
2012-08-20,213500.00,214000.00,209500.00,210500.00,101600,209276.83
2012-08-17,213000.00,215000.00,211000.00,211000.00,1153600,209773.92
2012-08-16,218000.00,220500.00,216000.00,217000.00,28700,215739.06
2012-08-15,220000.00,220000.00,220000.00,220000.00,000,218721.62
2012-08-14,217000.00,220000.00,215500.00,220000.00,87000,218721.62
2012-08-13,215000.00,216000.00,213000.00,215500.00,36700,214247.77
2012-08-10,218000.00,218500.00,212500.00,215000.00,58300,213750.68
2012-08-09,211500.00,218500.00,211500.00,218000.00,116800,216733.25
2012-08-08,212500.00,214500.00,210000.00,213000.00,97200,211762.30
2012-08-07,215500.00,217500.00,210000.00,210000.00,143600,208779.73
2012-08-06,223500.00,223500.00,215000.00,216500.00,135100,215241.96
2012-08-03,214500.00,222000.00,214000.00,219000.00,119300,217727.44
2012-08-02,221000.00,221500.00,215500.00,218000.00,104900,216733.25
2012-08-01,213500.00,222500.00,213000.00,221500.00,110300,220212.91
2012-07-31,214000.00,217500.00,211500.00,217000.00,91600,215739.06
2012-07-30,211500.00,214000.00,208500.00,214000.00,73600,212756.49
2012-07-27,209000.00,209500.00,204000.00,209000.00,60400,207785.54
2012-07-26,206000.00,208000.00,204500.00,205500.00,48900,204305.88
2012-07-25,206500.00,209500.00,205000.00,206000.00,30200,204802.98
2012-07-24,209500.00,210500.00,205500.00,209500.00,42700,208282.64
2012-07-23,206000.00,208500.00,204500.00,208500.00,51700,207288.45
2012-07-20,214500.00,214500.00,207000.00,208500.00,56600,207288.45
2012-07-19,206500.00,212500.00,203500.00,212500.00,128800,211265.21
2012-07-18,210500.00,211500.00,201500.00,202500.00,192000,201323.31
2012-07-17,212500.00,215000.00,209500.00,212000.00,30000,210768.11
2012-07-16,211000.00,212500.00,207000.00,212500.00,44600,211265.21
2012-07-13,205000.00,212500.00,204500.00,212000.00,114000,210768.11
2012-07-12,214500.00,214500.00,204000.00,204000.00,96700,202814.60
2012-07-11,213500.00,216000.00,209500.00,214500.00,68600,213253.58
2012-07-10,211000.00,214000.00,210000.00,213000.00,75900,211762.30
2012-07-09,210000.00,213000.00,206500.00,211000.00,52500,209773.92
2012-07-06,216000.00,216000.00,208500.00,210000.00,42900,208779.73
2012-07-05,214000.00,216000.00,211500.00,214000.00,43400,212756.49
2012-07-04,208000.00,213500.00,208000.00,213000.00,118400,211762.30
2012-07-03,219000.00,220000.00,208000.00,208500.00,118800,207288.45
2012-07-02,217000.00,219000.00,216500.00,219000.00,43800,217727.44
2012-06-29,217000.00,222500.00,215500.00,217500.00,81000,216236.15
2012-06-28,215000.00,222000.00,214500.00,219500.00,54100,218224.53
2012-06-27,217000.00,218500.00,213500.00,215500.00,67300,214247.77
2012-06-26,221000.00,223000.00,214500.00,218000.00,81200,216733.25
2012-06-25,221000.00,226000.00,216500.00,223000.00,71000,221704.19
2012-06-22,219500.00,226500.00,219500.00,223000.00,56600,221704.19
2012-06-21,221500.00,224500.00,221000.00,224500.00,49800,223195.48
2012-06-20,226000.00,228000.00,223000.00,225000.00,79200,223692.57
2012-06-19,220000.00,228000.00,220000.00,224500.00,137000,223195.48
2012-06-18,218500.00,220500.00,215000.00,218500.00,133700,217230.34
2012-06-15,211000.00,218500.00,209000.00,217000.00,213700,215739.06
