Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,242000.00,242000.00,242000.00,242000.00,000,242000.00
2012-12-28,240000.00,244000.00,239500.00,242000.00,150200,242000.00
2012-12-27,238500.00,242000.00,238500.00,240000.00,128500,240000.00
2012-12-26,242000.00,243000.00,239000.00,239500.00,124500,237350.00
2012-12-25,240000.00,240000.00,240000.00,240000.00,000,237845.51
2012-12-24,244500.00,245000.00,239000.00,240000.00,200600,237845.51
2012-12-21,244000.00,245500.00,238500.00,244000.00,338800,241809.60
2012-12-20,236500.00,242000.00,234500.00,240500.00,367500,238341.02
2012-12-19,234000.00,234000.00,234000.00,234000.00,000,231899.37
2012-12-18,232500.00,235500.00,232500.00,234000.00,234400,231899.37
2012-12-17,232000.00,234000.00,231500.00,231500.00,204100,229421.81
2012-12-14,229500.00,231500.00,227000.00,231500.00,174700,229421.81
2012-12-13,228500.00,232000.00,227500.00,231500.00,439900,229421.81
2012-12-12,227500.00,232500.00,226000.00,230000.00,347100,227935.28
2012-12-11,218000.00,227500.00,217000.00,225500.00,427400,223475.67
2012-12-10,219000.00,221000.00,215500.00,217000.00,150500,215051.98
2012-12-07,218500.00,221000.00,216500.00,219000.00,214300,217034.02
2012-12-06,212000.00,219000.00,210500.00,217500.00,331200,215547.49
2012-12-05,209500.00,211000.00,206000.00,211000.00,157800,209105.84
2012-12-04,207000.00,211500.00,205500.00,210500.00,108800,208610.33
2012-12-03,211500.00,212000.00,208000.00,208500.00,181700,206628.28
2012-11-30,210000.00,215000.00,207500.00,211000.00,260300,209105.84
2012-11-29,206000.00,212000.00,204500.00,210000.00,337600,208114.82
2012-11-28,205000.00,207000.00,201000.00,203000.00,223500,201177.66
2012-11-27,199000.00,207000.00,198000.00,206000.00,381200,204150.73
2012-11-26,196500.00,200000.00,196000.00,198000.00,185900,196222.54
2012-11-23,197000.00,198000.00,193500.00,195500.00,304800,193744.99
2012-11-22,199500.00,201500.00,196500.00,198000.00,215700,196222.54
2012-11-21,202500.00,203000.00,197500.00,199500.00,169000,197709.08
2012-11-20,206500.00,206500.00,200000.00,201500.00,181200,199691.12
2012-11-19,200000.00,206000.00,200000.00,203000.00,241200,201177.66
2012-11-16,194500.00,202000.00,194500.00,197500.00,239300,195727.03
2012-11-15,195000.00,197000.00,194000.00,196500.00,233900,194736.01
2012-11-14,199500.00,202000.00,198000.00,199500.00,220000,197709.08
2012-11-13,202000.00,203500.00,197500.00,200000.00,361500,198204.59
2012-11-12,210500.00,211000.00,203000.00,204500.00,359600,202664.19
2012-11-09,212500.00,213000.00,210500.00,211000.00,295000,209105.84
2012-11-08,219000.00,219000.00,215500.00,215500.00,301200,213565.44
2012-11-07,223500.00,224500.00,220000.00,223000.00,206400,220998.12
2012-11-06,221500.00,223000.00,219000.00,223000.00,186300,220998.12
2012-11-05,223500.00,227000.00,221000.00,223500.00,148900,221493.63
2012-11-02,223500.00,226500.00,221500.00,226500.00,207400,224466.70
2012-11-01,226500.00,228000.00,217000.00,219500.00,420000,217529.54
2012-10-31,231500.00,231500.00,227000.00,229000.00,114500,226944.25
2012-10-30,228000.00,232000.00,227500.00,229000.00,93400,226944.25
2012-10-29,227000.00,229500.00,226500.00,228500.00,92700,226448.74
2012-10-26,228500.00,231500.00,225000.00,226500.00,203300,224466.70
2012-10-25,228000.00,230000.00,225500.00,228500.00,178900,226448.74
2012-10-24,232000.00,232000.00,226000.00,229500.00,255000,227439.77
2012-10-23,242000.00,243000.00,235000.00,235500.00,272400,233385.90
2012-10-22,241000.00,245000.00,240000.00,243500.00,100000,241314.09
2012-10-19,246000.00,247500.00,242000.00,247000.00,152100,244782.67
2012-10-18,240500.00,249000.00,238500.00,247000.00,350800,244782.67
2012-10-17,239000.00,242500.00,237500.00,240000.00,222100,237845.51
2012-10-16,236500.00,238000.00,232000.00,235000.00,238600,232890.39
2012-10-15,236500.00,238000.00,234000.00,236000.00,129900,233881.41
2012-10-12,240000.00,241500.00,235500.00,238000.00,149900,235863.46
2012-10-11,240000.00,244500.00,239000.00,240000.00,156100,237845.51
2012-10-10,245000.00,245000.00,239500.00,243000.00,155200,240818.58
2012-10-09,245500.00,247500.00,244500.00,245000.00,91800,242800.62
2012-10-08,250500.00,250500.00,244000.00,245500.00,247300,243296.13
2012-10-05,253000.00,255000.00,250000.00,252500.00,142300,250233.29
2012-10-04,252000.00,254500.00,250500.00,253000.00,140400,250728.80
2012-10-03,251000.00,251000.00,251000.00,251000.00,000,248746.76
2012-10-02,252000.00,253500.00,250000.00,251000.00,99200,248746.76
2012-10-01,252500.00,252500.00,252500.00,252500.00,000,250233.29
2012-09-28,254500.00,256500.00,248000.00,252500.00,326000,250233.29
2012-09-27,249500.00,259000.00,249000.00,256500.00,257400,254197.39
2012-09-26,252000.00,255500.00,251000.00,252500.00,141700,250233.29
2012-09-25,252500.00,257500.00,252000.00,255000.00,127500,252710.85
2012-09-24,256000.00,260000.00,254500.00,256000.00,126300,253701.87
2012-09-21,257000.00,260500.00,256000.00,258500.00,163500,256179.43
2012-09-20,260500.00,261500.00,254500.00,257000.00,281500,254692.90
2012-09-19,266000.00,266000.00,260000.00,264500.00,228300,262125.57
2012-09-18,263500.00,268000.00,261000.00,266500.00,322900,264107.61
2012-09-17,264500.00,268000.00,262000.00,263500.00,527400,261134.55
2012-09-14,254000.00,261000.00,253500.00,260000.00,749700,257665.97
2012-09-13,245500.00,248500.00,242500.00,244500.00,371000,242305.11
2012-09-12,240500.00,246500.00,240500.00,245000.00,406900,242800.62
