Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,45450.00,45450.00,45450.00,45450.00,000,45450.00
2012-12-28,45500.00,45850.00,45100.00,45450.00,156000,45450.00
2012-12-27,46700.00,47450.00,45000.00,45400.00,218400,45400.00
2012-12-26,46150.00,47000.00,45800.00,46100.00,138900,45885.00
2012-12-25,45800.00,45800.00,45800.00,45800.00,000,45586.40
2012-12-24,47800.00,47800.00,45750.00,45800.00,127000,45586.40
2012-12-21,47900.00,47900.00,46100.00,47650.00,192200,47427.77
2012-12-20,47500.00,47900.00,46650.00,47000.00,171500,46780.80
2012-12-19,46850.00,46850.00,46850.00,46850.00,000,46631.50
2012-12-18,46250.00,47350.00,39700.00,46850.00,219100,46631.50
2012-12-17,46850.00,46850.00,45600.00,46100.00,100600,45885.00
2012-12-14,46200.00,46800.00,45700.00,46600.00,115800,46382.67
2012-12-13,45300.00,46850.00,45300.00,46850.00,189900,46631.50
2012-12-12,45850.00,46700.00,45100.00,45600.00,123000,45387.33
2012-12-11,45200.00,46350.00,45200.00,46000.00,139300,45785.47
2012-12-10,46300.00,46950.00,45600.00,45600.00,112200,45387.33
2012-12-07,46500.00,47000.00,45950.00,46900.00,189600,46681.27
2012-12-06,46000.00,47000.00,45500.00,46750.00,150900,46531.97
2012-12-05,44500.00,46650.00,44500.00,46450.00,267200,46233.37
2012-12-04,44300.00,45500.00,44300.00,45100.00,79900,44889.66
2012-12-03,45300.00,45400.00,44300.00,44600.00,73700,44392.00
2012-11-30,46500.00,46500.00,45100.00,45100.00,173300,44889.66
2012-11-29,43900.00,46500.00,43700.00,46500.00,336100,46283.13
2012-11-28,45200.00,45200.00,43150.00,43600.00,176100,43396.66
2012-11-27,45050.00,45100.00,43950.00,45100.00,175500,44889.66
2012-11-26,43550.00,44900.00,43050.00,44800.00,196700,44591.06
2012-11-23,41800.00,43500.00,41550.00,43200.00,208000,42998.53
2012-11-22,40950.00,42000.00,40250.00,41800.00,153900,41605.05
2012-11-21,41500.00,42050.00,40400.00,40600.00,148900,40410.65
2012-11-20,42900.00,42900.00,41550.00,41600.00,102000,41405.99
2012-11-19,41600.00,42600.00,41550.00,42000.00,104100,41804.12
2012-11-16,42700.00,42700.00,41250.00,41900.00,117800,41704.59
2012-11-15,42450.00,42950.00,41800.00,42500.00,143100,42301.79
2012-11-14,41250.00,43500.00,41250.00,43400.00,154800,43197.59
2012-11-13,42350.00,42350.00,41000.00,41750.00,102400,41555.29
