Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,23600.00,23600.00,23600.00,23600.00,000,23600.00
2012-12-28,23500.00,24050.00,23450.00,23600.00,269700,23600.00
2012-12-27,23550.00,23800.00,23300.00,23600.00,94000,23600.00
2012-12-26,23800.00,24100.00,23400.00,23650.00,161900,23650.00
2012-12-25,23750.00,23750.00,23750.00,23750.00,000,23750.00
2012-12-24,23600.00,24250.00,23600.00,23750.00,135200,23750.00
2012-12-21,24600.00,24600.00,23800.00,23850.00,289000,23850.00
2012-12-20,24300.00,24650.00,23700.00,24250.00,284100,24250.00
2012-12-19,24300.00,24300.00,24300.00,24300.00,000,24300.00
2012-12-18,23950.00,24300.00,23700.00,24300.00,315100,24300.00
2012-12-17,24250.00,24500.00,23700.00,23850.00,303400,23850.00
2012-12-14,23700.00,24450.00,23300.00,24050.00,558100,24050.00
2012-12-13,23500.00,24500.00,23400.00,24100.00,686800,24100.00
2012-12-12,22850.00,23500.00,22850.00,23200.00,3166600,23200.00
2012-12-11,22850.00,24350.00,22750.00,22850.00,626000,22850.00
2012-12-10,23600.00,23650.00,22800.00,22950.00,325900,22950.00
2012-12-07,22800.00,25700.00,22600.00,23050.00,1310200,23050.00
2012-12-06,22500.00,22650.00,22000.00,22350.00,266400,22350.00
2012-12-05,22800.00,23050.00,22600.00,22650.00,135200,22650.00
2012-12-04,22750.00,23000.00,22500.00,22700.00,138700,22700.00
2012-12-03,22500.00,23300.00,22400.00,22700.00,276800,22700.00
2012-11-30,22350.00,22850.00,22200.00,22700.00,403100,22700.00
2012-11-29,22950.00,22950.00,22400.00,22600.00,250000,22600.00
2012-11-28,23550.00,23550.00,22450.00,23050.00,413500,23050.00
2012-11-27,24550.00,24700.00,23300.00,23550.00,505000,23550.00
2012-11-26,23950.00,24550.00,23700.00,24300.00,57200,24300.00
2012-11-23,24200.00,24550.00,23800.00,23850.00,76600,23850.00
2012-11-22,24550.00,24600.00,23900.00,24200.00,64600,24200.00
2012-11-21,24400.00,24500.00,23900.00,24000.00,69300,24000.00
2012-11-20,24200.00,24500.00,24100.00,24100.00,60500,24100.00
2012-11-19,24250.00,24650.00,24000.00,24150.00,63400,24150.00
2012-11-16,24200.00,24400.00,23850.00,24000.00,95800,24000.00
2012-11-15,25000.00,25050.00,24200.00,24200.00,78400,24200.00
2012-11-14,24950.00,25000.00,24550.00,25000.00,63100,25000.00
2012-11-13,25550.00,25550.00,24800.00,24850.00,76100,24850.00
2012-11-12,25650.00,25650.00,25100.00,25200.00,48500,25200.00
2012-11-09,24900.00,25750.00,24750.00,25500.00,140300,25500.00
2012-11-08,26000.00,26150.00,25300.00,25300.00,189300,25300.00
2012-11-07,25800.00,26350.00,25600.00,26350.00,110500,26350.00
2012-11-06,25850.00,26150.00,25550.00,26000.00,54200,26000.00
2012-11-05,26300.00,26300.00,25750.00,26000.00,98700,26000.00
2012-11-02,25550.00,26100.00,25450.00,26000.00,104800,26000.00
2012-11-01,26200.00,26250.00,25500.00,25500.00,137500,25500.00
2012-10-31,26800.00,26800.00,26250.00,26250.00,133500,26250.00
2012-10-30,26150.00,26500.00,25850.00,25850.00,69800,25850.00
2012-10-29,25800.00,26700.00,25800.00,25900.00,93300,25900.00
2012-10-26,25800.00,26250.00,25550.00,25850.00,73400,25850.00
2012-10-25,25650.00,26350.00,25550.00,26150.00,128900,26150.00
2012-10-24,26800.00,27200.00,26100.00,26100.00,116900,26100.00
2012-10-23,27500.00,27500.00,26250.00,26550.00,211700,26550.00
2012-10-22,26200.00,27350.00,26150.00,27000.00,190100,27000.00
2012-10-19,26500.00,27000.00,25900.00,26600.00,168000,26600.00
2012-10-18,26300.00,27900.00,25750.00,26500.00,194500,26500.00
2012-10-17,24400.00,26100.00,24400.00,25700.00,227200,25700.00
2012-10-16,25250.00,25250.00,24700.00,24900.00,96500,24900.00
2012-10-15,25000.00,25700.00,24800.00,25200.00,87400,25200.00
2012-10-12,25050.00,25850.00,25000.00,25200.00,99400,25200.00
2012-10-11,26150.00,26150.00,25000.00,25100.00,269700,25100.00
2012-10-10,26300.00,26550.00,26050.00,26150.00,165100,26150.00
2012-10-09,26700.00,27350.00,26600.00,26800.00,68000,26800.00
2012-10-08,26750.00,26800.00,26250.00,26500.00,93600,26500.00
2012-10-05,26650.00,27450.00,26650.00,26800.00,105500,26800.00
2012-10-04,27200.00,27250.00,26600.00,26800.00,153200,26800.00
2012-10-03,26650.00,26650.00,26650.00,26650.00,000,26650.00
2012-10-02,26400.00,27100.00,26400.00,26650.00,57300,26650.00
2012-10-01,26650.00,26650.00,26650.00,26650.00,000,26650.00
2012-09-28,26850.00,27200.00,26550.00,26650.00,101100,26650.00
2012-09-27,26200.00,27150.00,26200.00,26800.00,122100,26800.00
2012-09-26,26700.00,26800.00,26250.00,26550.00,164000,26550.00
2012-09-25,27050.00,28150.00,27000.00,27000.00,171900,27000.00
2012-09-24,26900.00,27450.00,26750.00,27000.00,79500,27000.00
2012-09-21,27200.00,27350.00,26800.00,27000.00,124400,27000.00
2012-09-20,27100.00,27650.00,27000.00,27000.00,150700,27000.00
2012-09-19,27300.00,27750.00,26900.00,27250.00,161100,27250.00
2012-09-18,26900.00,27300.00,26750.00,27050.00,98200,27050.00
2012-09-17,26500.00,26850.00,26500.00,26750.00,146700,26750.00
2012-09-14,26650.00,27400.00,26650.00,27000.00,246100,27000.00
2012-09-13,26250.00,26850.00,25900.00,26150.00,233800,26150.00
2012-09-12,26300.00,27100.00,26300.00,26700.00,128400,26700.00
2012-09-11,26700.00,26700.00,26100.00,26250.00,116500,26250.00
2012-09-10,27150.00,27150.00,26550.00,26650.00,62400,26650.00
2012-09-07,26250.00,26800.00,26250.00,26800.00,150800,26800.00
2012-09-06,26300.00,26600.00,25850.00,26200.00,208900,26200.00
2012-09-05,26800.00,26850.00,26250.00,26550.00,299200,26550.00
2012-09-04,27350.00,27700.00,26850.00,27150.00,183300,27150.00
2012-09-03,27050.00,28200.00,26700.00,27500.00,135700,27500.00
2012-08-31,27750.00,28650.00,27400.00,27400.00,123300,27400.00
2012-08-30,28000.00,28550.00,27150.00,28100.00,165700,28100.00
2012-08-29,28150.00,28250.00,27700.00,28250.00,155300,28250.00
2012-08-28,28300.00,28700.00,28000.00,28200.00,460800,28200.00
2012-08-27,29400.00,29400.00,28400.00,28650.00,181400,28650.00
2012-08-24,28450.00,28650.00,27900.00,28250.00,97900,28250.00
2012-08-23,29000.00,29000.00,28550.00,28800.00,77700,28800.00
2012-08-22,29000.00,29400.00,28400.00,28650.00,133700,28650.00
2012-08-21,29300.00,29300.00,28800.00,28800.00,147800,28800.00
2012-08-20,29200.00,29250.00,27200.00,28350.00,145400,28350.00
2012-08-17,28000.00,28800.00,28000.00,28450.00,158700,28450.00
2012-08-16,27700.00,28250.00,27350.00,27900.00,201100,27900.00
2012-08-15,27800.00,27800.00,27800.00,27800.00,000,27800.00
2012-08-14,28250.00,28950.00,27750.00,27800.00,266900,27800.00
2012-08-13,26900.00,28100.00,26900.00,27350.00,101600,27350.00
2012-08-10,27350.00,27500.00,27000.00,27200.00,140800,27200.00
2012-08-09,26500.00,28350.00,26350.00,27600.00,455200,27600.00
2012-08-08,25400.00,26600.00,25400.00,26200.00,157400,26200.00
2012-08-07,25200.00,25850.00,25200.00,25650.00,47800,25650.00
2012-08-06,25100.00,25800.00,25100.00,25550.00,81500,25550.00
2012-08-03,25500.00,25550.00,24650.00,24800.00,86100,24800.00
2012-08-02,25750.00,25900.00,25200.00,25350.00,66600,25350.00
2012-08-01,25050.00,25850.00,25050.00,25300.00,104100,25300.00
2012-07-31,24550.00,25400.00,24050.00,25000.00,169700,25000.00
2012-07-30,24500.00,24700.00,24050.00,24250.00,60700,24250.00
2012-07-27,24900.00,24900.00,24150.00,24300.00,103700,24300.00
2012-07-26,24100.00,24400.00,23700.00,24000.00,126300,24000.00
2012-07-25,24100.00,24650.00,24000.00,24350.00,81500,24350.00
2012-07-24,24800.00,25100.00,24450.00,24600.00,107500,24600.00
2012-07-23,25550.00,25600.00,24700.00,24850.00,90000,24850.00
2012-07-20,26100.00,26200.00,25300.00,25500.00,67900,25500.00
2012-07-19,25550.00,26150.00,25350.00,25450.00,128600,25450.00
2012-07-18,25250.00,27150.00,24700.00,25000.00,403600,25000.00
2012-07-17,25400.00,25850.00,25050.00,25450.00,83700,25450.00
2012-07-16,25000.00,25400.00,24700.00,25050.00,70100,25050.00
2012-07-13,25000.00,25850.00,24700.00,25000.00,156000,25000.00
2012-07-12,25850.00,26250.00,24500.00,24650.00,191300,24650.00
2012-07-11,25750.00,26200.00,25450.00,25800.00,70000,25800.00
2012-07-10,25950.00,26100.00,25500.00,25600.00,70100,25600.00
2012-07-09,26000.00,26100.00,25550.00,25800.00,67600,25800.00
2012-07-06,25750.00,26100.00,25750.00,25800.00,54400,25800.00
2012-07-05,25600.00,26000.00,25550.00,25800.00,67600,25800.00
2012-07-04,25500.00,26050.00,25500.00,25800.00,66300,25800.00
2012-07-03,25800.00,26100.00,25650.00,25650.00,66000,25650.00
2012-07-02,25050.00,25800.00,24850.00,25800.00,101500,25800.00
2012-06-29,24800.00,25550.00,24750.00,25050.00,137700,25050.00
2012-06-28,24800.00,25350.00,24800.00,24950.00,70900,24950.00
2012-06-27,25050.00,25100.00,24600.00,25000.00,106100,25000.00
2012-06-26,25300.00,25400.00,25000.00,25000.00,129000,25000.00
2012-06-25,25800.00,25850.00,25100.00,25650.00,139400,25650.00
2012-06-22,27150.00,27150.00,25500.00,26050.00,213800,26050.00
2012-06-21,26300.00,26950.00,26300.00,26950.00,85000,26950.00
2012-06-20,26350.00,26700.00,26200.00,26600.00,83000,26600.00
2012-06-19,26250.00,26800.00,26000.00,26250.00,97800,26250.00
2012-06-18,26100.00,26750.00,26050.00,26350.00,169500,26350.00
2012-06-15,26500.00,26850.00,25550.00,25800.00,244500,25800.00
2012-06-14,26400.00,26650.00,25650.00,26300.00,344600,26300.00
2012-06-13,25850.00,26500.00,25600.00,26200.00,166300,26200.00
2012-06-12,25550.00,26150.00,25550.00,25850.00,141100,25850.00
2012-06-11,26050.00,26850.00,26050.00,26100.00,91300,26100.00
2012-06-08,25650.00,26150.00,25650.00,25950.00,100500,25950.00
2012-06-07,26900.00,27200.00,25750.00,26000.00,2279700,26000.00
2012-06-06,25950.00,25950.00,25950.00,25950.00,000,25950.00
2012-06-05,25900.00,26050.00,25700.00,25950.00,158200,25950.00
2012-06-04,25050.00,26050.00,25000.00,25000.00,259100,25000.00
2012-06-01,25050.00,25950.00,25000.00,25450.00,147400,25450.00
2012-05-31,25400.00,25400.00,24600.00,25050.00,261800,25050.00
