Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,288000.00,288000.00,288000.00,288000.00,000,288000.00
2012-12-28,291500.00,293000.00,286000.00,288000.00,227800,288000.00
2012-12-27,297500.00,298000.00,289500.00,293500.00,174300,293500.00
2012-12-26,297000.00,301000.00,295000.00,298000.00,164500,298000.00
2012-12-25,294000.00,294000.00,294000.00,294000.00,000,294000.00
2012-12-24,295000.00,295500.00,292000.00,294000.00,112900,294000.00
2012-12-21,297000.00,297000.00,292000.00,295000.00,208000,295000.00
2012-12-20,298000.00,298500.00,292500.00,294500.00,350900,294500.00
2012-12-19,289500.00,289500.00,289500.00,289500.00,000,289500.00
2012-12-18,290000.00,291000.00,285000.00,289500.00,258600,289500.00
2012-12-17,300500.00,303500.00,289000.00,291500.00,259200,291500.00
2012-12-14,300500.00,305000.00,297500.00,300500.00,176100,300500.00
2012-12-13,297500.00,301000.00,297000.00,301000.00,346500,301000.00
2012-12-12,291000.00,295500.00,290000.00,294500.00,142600,294500.00
2012-12-11,292500.00,299000.00,290000.00,295000.00,168500,295000.00
2012-12-10,291500.00,296500.00,290000.00,293000.00,185600,293000.00
2012-12-07,291500.00,295000.00,285500.00,287500.00,166100,287500.00
2012-12-06,287000.00,297000.00,287000.00,294000.00,217400,294000.00
2012-12-05,279500.00,292000.00,279500.00,288000.00,222300,288000.00
2012-12-04,283000.00,285500.00,278000.00,280500.00,223200,280500.00
2012-12-03,284000.00,289500.00,283000.00,285000.00,157700,285000.00
2012-11-30,287500.00,297000.00,285500.00,285500.00,273100,285500.00
2012-11-29,287000.00,295000.00,285500.00,291000.00,295800,291000.00
2012-11-28,284500.00,286500.00,280500.00,282000.00,237500,282000.00
2012-11-27,272000.00,287500.00,271500.00,284500.00,367200,284500.00
2012-11-26,264500.00,272000.00,264000.00,269500.00,145300,269500.00
2012-11-23,261500.00,270000.00,261000.00,267000.00,199800,267000.00
2012-11-22,264500.00,266000.00,261000.00,263500.00,146900,263500.00
2012-11-21,268500.00,268500.00,261000.00,264500.00,202000,264500.00
2012-11-20,274000.00,275000.00,265500.00,267500.00,190400,267500.00
2012-11-19,271500.00,273500.00,266500.00,271500.00,103600,271500.00
2012-11-16,265500.00,274000.00,265500.00,271000.00,173200,271000.00
2012-11-15,270000.00,274000.00,267500.00,268500.00,128200,268500.00
2012-11-14,268000.00,274000.00,268000.00,273000.00,134200,273000.00
2012-11-13,275500.00,275500.00,269500.00,271500.00,131900,271500.00
2012-11-12,268000.00,275000.00,265500.00,271500.00,153800,271500.00
2012-11-09,266000.00,267500.00,259500.00,266000.00,301600,266000.00
2012-11-08,268500.00,275500.00,268000.00,273500.00,229800,273500.00
2012-11-07,272000.00,274500.00,268000.00,271000.00,238000,271000.00
2012-11-06,260000.00,269500.00,259500.00,268000.00,308200,268000.00
2012-11-05,263500.00,264500.00,258000.00,259500.00,466200,259500.00
2012-11-02,275000.00,276500.00,270500.00,270500.00,301300,270500.00
2012-11-01,272500.00,275500.00,265000.00,269000.00,423400,269000.00
2012-10-31,276500.00,282000.00,276000.00,278000.00,127800,278000.00
2012-10-30,267000.00,279000.00,267000.00,273500.00,230200,273500.00
2012-10-29,277500.00,279500.00,266000.00,269000.00,358300,269000.00
2012-10-26,285500.00,288000.00,271500.00,277000.00,262200,277000.00
2012-10-25,277000.00,288500.00,272000.00,286500.00,387500,286500.00
2012-10-24,287000.00,289000.00,277000.00,279000.00,308100,279000.00
2012-10-23,297500.00,298500.00,288000.00,291500.00,139600,291500.00
2012-10-22,295500.00,300000.00,295000.00,297500.00,119700,297500.00
2012-10-19,306500.00,312500.00,299500.00,301500.00,291200,301500.00
2012-10-18,300000.00,307500.00,298500.00,305500.00,183300,305500.00
2012-10-17,300000.00,302500.00,295000.00,297500.00,221600,297500.00
2012-10-16,300000.00,303000.00,299000.00,300000.00,139000,300000.00
2012-10-15,306000.00,306500.00,293500.00,297000.00,232300,297000.00
2012-10-12,305500.00,307500.00,301000.00,302500.00,124800,302500.00
2012-10-11,305500.00,310500.00,301000.00,302500.00,184900,302500.00
2012-10-10,310000.00,310500.00,305500.00,306500.00,156800,306500.00
2012-10-09,306500.00,310500.00,304500.00,304500.00,109000,304500.00
2012-10-08,311500.00,312000.00,306000.00,308000.00,97400,308000.00
2012-10-05,307500.00,313000.00,307500.00,310000.00,218800,310000.00
2012-10-04,305000.00,311500.00,305000.00,306500.00,200700,306500.00
2012-10-03,307000.00,307000.00,307000.00,307000.00,000,307000.00
2012-10-02,310500.00,310500.00,305000.00,307000.00,234400,307000.00
2012-10-01,310500.00,310500.00,310500.00,310500.00,000,310500.00
2012-09-28,316000.00,319000.00,308000.00,310500.00,263400,310500.00
2012-09-27,310000.00,320500.00,309500.00,316000.00,162500,316000.00
2012-09-26,314500.00,320000.00,313000.00,316500.00,126800,316500.00
2012-09-25,316000.00,320500.00,313000.00,320500.00,114200,320500.00
2012-09-24,318000.00,318000.00,308500.00,316000.00,155400,316000.00
2012-09-21,316000.00,320000.00,314500.00,318500.00,159300,318500.00
2012-09-20,322000.00,322500.00,313500.00,318000.00,206700,318000.00
2012-09-19,323500.00,323500.00,315500.00,319000.00,199600,319000.00
2012-09-18,324500.00,324500.00,321500.00,323000.00,138200,323000.00
2012-09-17,324500.00,325000.00,319500.00,321000.00,377500,321000.00
2012-09-14,313500.00,319500.00,313500.00,319500.00,428900,319500.00
2012-09-13,301500.00,307000.00,301500.00,307000.00,185500,307000.00
2012-09-12,303000.00,307500.00,303000.00,307000.00,199400,307000.00
2012-09-11,310000.00,312000.00,300000.00,301500.00,238200,301500.00
2012-09-10,303000.00,305000.00,302500.00,303000.00,109300,303000.00
2012-09-07,301000.00,304500.00,300000.00,304000.00,237600,304000.00
2012-09-06,298000.00,299500.00,293500.00,295500.00,150400,295500.00
2012-09-05,303000.00,303000.00,294000.00,296500.00,273900,296500.00
2012-09-04,309500.00,314000.00,303000.00,304000.00,236100,304000.00
2012-09-03,308000.00,314500.00,308000.00,313500.00,152300,313500.00
2012-08-31,305500.00,314500.00,305500.00,307500.00,191800,307500.00
2012-08-30,309500.00,312000.00,305000.00,308000.00,223500,308000.00
2012-08-29,313000.00,315500.00,310000.00,312000.00,193100,312000.00
2012-08-28,315000.00,315500.00,309500.00,315500.00,162100,315500.00
2012-08-27,300500.00,316000.00,300000.00,313000.00,357600,313000.00
2012-08-24,301000.00,304000.00,297500.00,299500.00,351700,299500.00
2012-08-23,313000.00,315000.00,303500.00,305000.00,396200,305000.00
2012-08-22,319000.00,319000.00,311500.00,315500.00,123100,315500.00
2012-08-21,319000.00,319000.00,316000.00,318000.00,121100,318000.00
2012-08-20,318000.00,318000.00,312000.00,317000.00,149100,317000.00
2012-08-17,322000.00,322000.00,310500.00,313500.00,276700,313500.00
2012-08-16,320000.00,320000.00,315000.00,319000.00,178500,319000.00
2012-08-15,319000.00,319000.00,319000.00,319000.00,000,319000.00
2012-08-14,316000.00,319500.00,314000.00,319000.00,225300,319000.00
2012-08-13,319000.00,319000.00,312000.00,313000.00,149000,313000.00
2012-08-10,314000.00,316500.00,311000.00,315000.00,219800,315000.00
2012-08-09,305000.00,311500.00,304500.00,311000.00,441200,311000.00
2012-08-08,304000.00,309000.00,302000.00,304500.00,265300,304500.00
2012-08-07,307500.00,309000.00,302500.00,306500.00,181000,306500.00
2012-08-06,304000.00,309000.00,299500.00,306000.00,422000,306000.00
2012-08-03,294000.00,299000.00,292500.00,296000.00,128800,296000.00
2012-08-02,300000.00,301000.00,297000.00,299000.00,130100,299000.00
