Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,218500.00,218500.00,218500.00,218500.00,000,218500.00
2012-12-28,221000.00,223000.00,217000.00,218500.00,650000,218500.00
2012-12-27,223000.00,225000.00,220500.00,223000.00,394500,223000.00
2012-12-26,224000.00,226000.00,222500.00,223000.00,358900,223000.00
2012-12-25,222500.00,222500.00,222500.00,222500.00,000,222500.00
2012-12-24,222500.00,224000.00,221000.00,222500.00,412200,222500.00
2012-12-21,223500.00,223500.00,220000.00,222500.00,535700,222500.00
2012-12-20,228000.00,228000.00,220000.00,222500.00,1164900,222500.00
2012-12-19,224000.00,224000.00,224000.00,224000.00,000,224000.00
2012-12-18,224000.00,226000.00,219500.00,224000.00,1093100,224000.00
2012-12-17,228000.00,230500.00,223000.00,225000.00,597800,225000.00
2012-12-14,227500.00,231000.00,227000.00,229500.00,479600,229500.00
2012-12-13,231000.00,231000.00,227000.00,230500.00,936900,230500.00
2012-12-12,228500.00,229500.00,224500.00,227000.00,426400,227000.00
2012-12-11,228000.00,230500.00,225500.00,228500.00,424200,228500.00
2012-12-10,231500.00,233500.00,227500.00,227500.00,509200,227500.00
2012-12-07,227500.00,229500.00,224000.00,226000.00,479800,226000.00
2012-12-06,230000.00,231000.00,227000.00,229500.00,408800,229500.00
2012-12-05,227000.00,230500.00,226000.00,226500.00,384600,226500.00
2012-12-04,230000.00,231500.00,226500.00,228000.00,280400,228000.00
2012-12-03,228500.00,230500.00,227500.00,228500.00,688100,228500.00
2012-11-30,231000.00,232000.00,225500.00,225500.00,724200,225500.00
2012-11-29,228000.00,232000.00,227000.00,230500.00,764500,230500.00
2012-11-28,226500.00,227000.00,221500.00,224500.00,565400,224500.00
2012-11-27,219000.00,226500.00,217500.00,225000.00,941400,225000.00
2012-11-26,217000.00,218500.00,216500.00,217000.00,284400,217000.00
2012-11-23,210500.00,217000.00,210500.00,216500.00,457300,216500.00
2012-11-22,212000.00,213000.00,209000.00,210000.00,565100,210000.00
2012-11-21,214500.00,215500.00,212000.00,212500.00,348400,212500.00
2012-11-20,218000.00,218000.00,211500.00,212500.00,620600,212500.00
2012-11-19,215500.00,217500.00,211500.00,214000.00,415700,214000.00
2012-11-16,211000.00,218000.00,210000.00,215500.00,533600,215500.00
2012-11-15,212000.00,214500.00,210000.00,211500.00,375600,211500.00
2012-11-14,211500.00,218000.00,209000.00,216500.00,573100,216500.00
2012-11-13,217000.00,219000.00,210000.00,212000.00,391300,212000.00
2012-11-12,214000.00,218500.00,211000.00,216500.00,737300,216500.00
2012-11-09,208500.00,215000.00,204000.00,214000.00,922300,214000.00
2012-11-08,208000.00,216000.00,207500.00,213000.00,1157800,213000.00
2012-11-07,211000.00,213500.00,207500.00,212500.00,962600,212500.00
2012-11-06,200500.00,209000.00,199500.00,208000.00,1530200,208000.00
2012-11-05,201000.00,206000.00,197500.00,199500.00,2764000,199500.00
2012-11-02,220500.00,220500.00,212000.00,215000.00,1239800,215000.00
2012-11-01,220000.00,223500.00,211500.00,216000.00,2321100,216000.00
2012-10-31,226000.00,228000.00,224000.00,224500.00,495900,224500.00
2012-10-30,221000.00,227500.00,220000.00,225000.00,419800,225000.00
2012-10-29,227000.00,229000.00,218000.00,219500.00,684700,219500.00
2012-10-26,228000.00,228500.00,224000.00,226500.00,819200,226500.00
2012-10-25,215000.00,227500.00,211500.00,226500.00,1075900,226500.00
2012-10-24,221000.00,223000.00,213000.00,218000.00,921500,218000.00
2012-10-23,227500.00,228000.00,223000.00,223000.00,359000,223000.00
2012-10-22,224000.00,228000.00,223500.00,226000.00,335400,226000.00
2012-10-19,230000.00,230000.00,225000.00,228000.00,455700,228000.00
2012-10-18,231000.00,231000.00,227500.00,230000.00,382700,230000.00
2012-10-17,230000.00,231000.00,226500.00,229500.00,460700,229500.00
2012-10-16,228500.00,232000.00,226000.00,227500.00,580600,227500.00
2012-10-15,224500.00,226500.00,222500.00,225500.00,701000,225500.00
2012-10-12,232000.00,234500.00,226000.00,228500.00,737600,228500.00
2012-10-11,235000.00,237000.00,231000.00,233000.00,595900,233000.00
2012-10-10,234000.00,238000.00,234000.00,237000.00,347600,237000.00
2012-10-09,238000.00,240000.00,235500.00,236500.00,369700,236500.00
2012-10-08,242500.00,244000.00,236500.00,237500.00,520200,237500.00
2012-10-05,245000.00,247000.00,240500.00,242500.00,670800,242500.00
2012-10-04,245000.00,247000.00,242500.00,244500.00,636100,244500.00
2012-10-03,246500.00,246500.00,246500.00,246500.00,000,246500.00
2012-10-02,247000.00,250000.00,245000.00,246500.00,364600,246500.00
2012-10-01,252000.00,252000.00,252000.00,252000.00,000,252000.00
2012-09-28,250500.00,252000.00,248000.00,252000.00,708700,252000.00
