Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,9010.00,9010.00,9010.00,9010.00,000,9010.00
2012-12-28,9050.00,9150.00,9000.00,9010.00,347600,9010.00
2012-12-27,8990.00,9050.00,8870.00,9050.00,250000,9050.00
2012-12-26,8960.00,9070.00,8940.00,8960.00,362900,8960.00
2012-12-25,8940.00,8940.00,8940.00,8940.00,000,8940.00
2012-12-24,8830.00,8940.00,8740.00,8940.00,328200,8940.00
2012-12-21,8990.00,9100.00,8760.00,8760.00,513600,8760.00
2012-12-20,8790.00,8950.00,8730.00,8920.00,641500,8920.00
2012-12-19,8760.00,8760.00,8760.00,8760.00,000,8760.00
2012-12-18,8550.00,8760.00,8550.00,8760.00,481400,8760.00
2012-12-17,8590.00,8640.00,8420.00,8520.00,258800,8520.00
2012-12-14,8450.00,8630.00,8420.00,8590.00,289100,8590.00
2012-12-13,8300.00,8540.00,8300.00,8540.00,620200,8540.00
2012-12-12,8390.00,8440.00,8320.00,8380.00,478100,8380.00
2012-12-11,8110.00,8400.00,8110.00,8370.00,397300,8370.00
2012-12-10,8200.00,8270.00,8090.00,8140.00,254700,8140.00
2012-12-07,8150.00,8370.00,8120.00,8240.00,422000,8240.00
2012-12-06,8100.00,8130.00,8050.00,8100.00,192500,8100.00
2012-12-05,7900.00,8160.00,7870.00,8110.00,366100,8110.00
2012-12-04,7880.00,7970.00,7850.00,7940.00,208400,7940.00
2012-12-03,8090.00,8140.00,7950.00,7960.00,345500,7960.00
2012-11-30,8150.00,8160.00,8070.00,8160.00,337300,8160.00
2012-11-29,8000.00,8110.00,8000.00,8070.00,333300,8070.00
2012-11-28,7920.00,7960.00,7830.00,7900.00,207900,7900.00
2012-11-27,7770.00,8040.00,7750.00,8000.00,447900,8000.00
2012-11-26,7810.00,7850.00,7720.00,7720.00,403200,7720.00
2012-11-23,7830.00,7870.00,7750.00,7810.00,261700,7810.00
2012-11-22,7910.00,7930.00,7810.00,7830.00,240400,7830.00
2012-11-21,7880.00,7940.00,7800.00,7850.00,176200,7850.00
2012-11-20,8150.00,8160.00,7900.00,7910.00,276700,7910.00
2012-11-19,7780.00,8060.00,7780.00,8060.00,631100,8060.00
2012-11-16,7700.00,7900.00,7700.00,7840.00,383600,7840.00
2012-11-15,7810.00,7880.00,7760.00,7830.00,373800,7830.00
2012-11-14,8010.00,8050.00,7890.00,7950.00,493300,7950.00
2012-11-13,8200.00,8200.00,7990.00,8040.00,224700,8040.00
2012-11-12,8190.00,8190.00,8100.00,8150.00,131000,8150.00
2012-11-09,8200.00,8240.00,8100.00,8130.00,296200,8130.00
2012-11-08,8250.00,8280.00,8170.00,8180.00,289800,8180.00
2012-11-07,8410.00,8450.00,8300.00,8440.00,257700,8440.00
2012-11-06,8120.00,8380.00,8120.00,8380.00,215500,8380.00
2012-11-05,8110.00,8180.00,8110.00,8140.00,135000,8140.00
2012-11-02,8300.00,8300.00,8150.00,8210.00,233200,8210.00
2012-11-01,8270.00,8360.00,8100.00,8120.00,273500,8120.00
2012-10-31,8380.00,8440.00,8320.00,8370.00,130700,8370.00
2012-10-30,8210.00,8360.00,8210.00,8280.00,277600,8280.00
2012-10-29,8100.00,8250.00,8090.00,8210.00,202500,8210.00
2012-10-26,8210.00,8270.00,8080.00,8080.00,262300,8080.00
2012-10-25,8300.00,8350.00,8120.00,8270.00,345800,8270.00
2012-10-24,8310.00,8380.00,8280.00,8310.00,319600,8310.00
2012-10-23,8530.00,8570.00,8440.00,8440.00,174200,8440.00
2012-10-22,8500.00,8560.00,8410.00,8510.00,282500,8510.00
2012-10-19,8650.00,8710.00,8600.00,8630.00,221500,8630.00
2012-10-18,8730.00,8790.00,8650.00,8710.00,253100,8710.00
2012-10-17,8700.00,8800.00,8650.00,8710.00,326400,8710.00
2012-10-16,8710.00,8730.00,8540.00,8590.00,299300,8590.00
2012-10-15,8720.00,8730.00,8480.00,8590.00,324700,8590.00
2012-10-12,8710.00,8780.00,8660.00,8710.00,230100,8710.00
2012-10-11,8700.00,8820.00,8620.00,8710.00,430800,8710.00
2012-10-10,8920.00,8920.00,8680.00,8700.00,537900,8700.00
