Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1790.00,1790.00,1790.00,1790.00,000,1790.00
2012-12-28,1800.00,1800.00,1745.00,1790.00,14400,1790.00
2012-12-27,1790.00,1800.00,1735.00,1800.00,24200,1800.00
2012-12-26,1830.00,1830.00,1710.00,1795.00,24000,1795.00
2012-12-25,1805.00,1805.00,1805.00,1805.00,000,1805.00
2012-12-24,1775.00,1840.00,1775.00,1805.00,2700,1805.00
2012-12-21,1820.00,1870.00,1775.00,1810.00,13900,1810.00
2012-12-20,1830.00,1875.00,1780.00,1845.00,42800,1845.00
2012-12-19,1830.00,1830.00,1830.00,1830.00,000,1830.00
2012-12-18,1820.00,1840.00,1750.00,1830.00,75800,1830.00
2012-12-17,1655.00,1870.00,1655.00,1825.00,518600,1825.00
2012-12-14,1600.00,1680.00,1600.00,1645.00,63200,1645.00
2012-12-13,1585.00,1620.00,1585.00,1615.00,26600,1615.00
2012-12-12,1610.00,1620.00,1585.00,1605.00,24400,1605.00
2012-12-11,1620.00,1630.00,1585.00,1595.00,14700,1595.00
2012-12-10,1605.00,1660.00,1585.00,1620.00,62300,1620.00
2012-12-07,1585.00,1615.00,1585.00,1610.00,20000,1610.00
2012-12-06,1605.00,1620.00,1575.00,1600.00,26800,1600.00
2012-12-05,1600.00,1625.00,1600.00,1600.00,15200,1600.00
2012-12-04,1605.00,1635.00,1600.00,1620.00,12700,1620.00
2012-12-03,1630.00,1640.00,1610.00,1630.00,15100,1630.00
2012-11-30,1650.00,1650.00,1620.00,1630.00,19600,1630.00
2012-11-29,1640.00,1660.00,1610.00,1635.00,29400,1635.00
2012-11-28,1630.00,1660.00,1600.00,1640.00,17500,1640.00
2012-11-27,1600.00,1640.00,1600.00,1635.00,43100,1635.00
2012-11-26,1630.00,1640.00,1600.00,1625.00,20700,1625.00
2012-11-23,1640.00,1645.00,1615.00,1630.00,22700,1630.00
2012-11-22,1655.00,1655.00,1600.00,1615.00,31100,1615.00
2012-11-21,1650.00,1655.00,1630.00,1650.00,23400,1650.00
2012-11-20,1670.00,1670.00,1620.00,1650.00,36000,1650.00
2012-11-19,1625.00,1640.00,1625.00,1640.00,20800,1640.00
2012-11-16,1635.00,1635.00,1615.00,1620.00,25500,1620.00
2012-11-15,1620.00,1645.00,1620.00,1620.00,18200,1620.00
2012-11-14,1655.00,1695.00,1650.00,1655.00,32500,1655.00
2012-11-13,1715.00,1715.00,1660.00,1685.00,10900,1685.00
2012-11-12,1700.00,1705.00,1670.00,1700.00,15100,1700.00
2012-11-09,1680.00,1705.00,1660.00,1690.00,9500,1690.00
2012-11-08,1675.00,1705.00,1675.00,1705.00,10300,1705.00
2012-11-07,1710.00,1720.00,1685.00,1715.00,9600,1715.00
2012-11-06,1690.00,1710.00,1660.00,1710.00,34100,1710.00
2012-11-05,1695.00,1695.00,1660.00,1690.00,7200,1690.00
2012-11-02,1725.00,1725.00,1665.00,1695.00,19800,1695.00
2012-11-01,1675.00,1695.00,1660.00,1685.00,6400,1685.00
2012-10-31,1655.00,1680.00,1645.00,1680.00,36000,1680.00
2012-10-30,1615.00,1655.00,1610.00,1645.00,20400,1645.00
2012-10-29,1680.00,1690.00,1635.00,1635.00,66200,1635.00
2012-10-26,1705.00,1735.00,1655.00,1695.00,35700,1695.00
2012-10-25,1705.00,1760.00,1695.00,1705.00,41100,1705.00
2012-10-24,1690.00,1695.00,1665.00,1690.00,93600,1690.00
2012-10-23,1735.00,1735.00,1700.00,1705.00,46400,1705.00
2012-10-22,1750.00,1765.00,1715.00,1730.00,84200,1730.00
2012-10-19,1755.00,1790.00,1750.00,1775.00,19600,1775.00
2012-10-18,1780.00,1800.00,1745.00,1770.00,40000,1770.00
2012-10-17,1795.00,1800.00,1765.00,1790.00,23700,1790.00
2012-10-16,1750.00,1795.00,1750.00,1770.00,19000,1770.00
2012-10-15,1775.00,1800.00,1750.00,1770.00,41300,1770.00
2012-10-12,1800.00,1820.00,1765.00,1775.00,42800,1775.00
2012-10-11,1830.00,1830.00,1750.00,1800.00,82400,1800.00
2012-10-10,1850.00,1860.00,1830.00,1830.00,27300,1830.00
2012-10-09,1800.00,1850.00,1800.00,1850.00,37100,1850.00
2012-10-08,1845.00,1860.00,1805.00,1820.00,42900,1820.00
2012-10-05,1825.00,1850.00,1815.00,1830.00,42200,1830.00
2012-10-04,1860.00,1865.00,1825.00,1840.00,54600,1840.00
2012-10-03,1850.00,1850.00,1850.00,1850.00,000,1850.00
2012-10-02,1845.00,1880.00,1815.00,1850.00,56600,1850.00
2012-10-01,1830.00,1830.00,1830.00,1830.00,000,1830.00
2012-09-28,1850.00,1870.00,1815.00,1830.00,44000,1830.00
2012-09-27,1820.00,1840.00,1805.00,1830.00,69800,1830.00
2012-09-26,1850.00,1870.00,1825.00,1835.00,56400,1835.00
2012-09-25,1870.00,1890.00,1850.00,1860.00,66500,1860.00
2012-09-24,1925.00,1975.00,1880.00,1895.00,154600,1895.00
2012-09-21,1855.00,1965.00,1850.00,1915.00,149200,1915.00
2012-09-20,1885.00,1910.00,1835.00,1860.00,149000,1860.00
2012-09-19,1805.00,1945.00,1805.00,1880.00,360800,1880.00
