Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,77100.00,77100.00,77100.00,77100.00,000,77100.00
2012-12-28,75400.00,78400.00,75400.00,77100.00,500,77100.00
2012-12-27,78000.00,78200.00,77200.00,77700.00,300,77700.00
2012-12-26,78000.00,78400.00,77200.00,78200.00,000,78200.00
2012-12-25,77600.00,77600.00,77600.00,77600.00,000,77600.00
2012-12-24,77500.00,78500.00,76700.00,77600.00,200,77600.00
2012-12-21,76400.00,77500.00,76300.00,77000.00,800,77000.00
2012-12-20,75100.00,77900.00,75100.00,76500.00,1300,76500.00
2012-12-19,76900.00,76900.00,76900.00,76900.00,000,76900.00
2012-12-18,78000.00,78000.00,76100.00,76900.00,100,76900.00
2012-12-17,77900.00,77900.00,76100.00,77000.00,3000,77000.00
2012-12-14,77600.00,77600.00,76100.00,76900.00,2400,76900.00
2012-12-13,78500.00,79300.00,77700.00,78100.00,2200,78100.00
2012-12-12,79500.00,79500.00,78000.00,78600.00,500,78600.00
2012-12-11,78100.00,79600.00,78100.00,79300.00,200,79300.00
2012-12-10,78500.00,79600.00,77200.00,79600.00,1400,79600.00
2012-12-07,79700.00,79800.00,79000.00,79700.00,1000,79700.00
2012-12-06,80000.00,80000.00,78700.00,79700.00,100,79700.00
2012-12-05,78900.00,80000.00,78900.00,79700.00,5400,79700.00
2012-12-04,78900.00,79500.00,78400.00,79000.00,900,79000.00
2012-12-03,78300.00,79800.00,78300.00,79800.00,1300,79800.00
2012-11-30,80000.00,80000.00,79000.00,79800.00,500,79800.00
2012-11-29,80000.00,80000.00,79100.00,79900.00,200,79900.00
2012-11-28,78500.00,80000.00,78500.00,79900.00,2500,79900.00
2012-11-27,78600.00,80000.00,78400.00,80000.00,2700,80000.00
2012-11-26,80300.00,80400.00,79700.00,80000.00,5200,80000.00
2012-11-23,79800.00,79800.00,79300.00,79700.00,1300,79700.00
2012-11-22,79300.00,80000.00,79200.00,79800.00,3100,79800.00
2012-11-21,77900.00,79400.00,77700.00,79300.00,300,79300.00
2012-11-20,80200.00,80200.00,79500.00,80000.00,1600,80000.00
2012-11-19,80400.00,80400.00,79700.00,80200.00,200,80200.00
2012-11-16,80200.00,80300.00,78500.00,79700.00,5400,79700.00
2012-11-15,78100.00,80100.00,78000.00,80000.00,7300,80000.00
2012-11-14,80100.00,80400.00,80100.00,80100.00,2900,80100.00
2012-11-13,80200.00,80400.00,80000.00,80300.00,2900,80300.00
2012-11-12,79000.00,80300.00,79000.00,80300.00,4300,80300.00
2012-11-09,79700.00,79700.00,79000.00,79000.00,100,79000.00
2012-11-08,78500.00,79000.00,78500.00,79000.00,1500,79000.00
2012-11-07,78500.00,79300.00,78500.00,79000.00,2100,79000.00
