Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,11850.00,11850.00,11850.00,11850.00,000,11850.00
2012-12-28,11800.00,11900.00,11650.00,11850.00,754400,11850.00
2012-12-27,11850.00,11850.00,11650.00,11800.00,1054600,11800.00
2012-12-26,12150.00,12200.00,12050.00,12100.00,1595800,12100.00
2012-12-25,12050.00,12050.00,12050.00,12050.00,000,12050.00
2012-12-24,11950.00,12150.00,11900.00,12050.00,1009500,12050.00
2012-12-21,12000.00,12100.00,11850.00,11900.00,1375600,11900.00
2012-12-20,12000.00,12100.00,11900.00,11950.00,1135900,11950.00
2012-12-19,11900.00,11900.00,11900.00,11900.00,000,11900.00
2012-12-18,11900.00,12000.00,11850.00,11900.00,686900,11900.00
2012-12-17,11850.00,11900.00,11800.00,11800.00,566500,11800.00
2012-12-14,11800.00,11900.00,11750.00,11800.00,747600,11800.00
2012-12-13,11700.00,11900.00,11650.00,11900.00,1175500,11900.00
2012-12-12,11750.00,11800.00,11700.00,11750.00,909100,11750.00
2012-12-11,11450.00,11750.00,11400.00,11650.00,1386100,11650.00
2012-12-10,11450.00,11500.00,11350.00,11450.00,751400,11450.00
2012-12-07,11550.00,11550.00,11400.00,11500.00,814700,11500.00
2012-12-06,11400.00,11600.00,11350.00,11550.00,1002800,11550.00
2012-12-05,11500.00,11550.00,11350.00,11400.00,893900,11400.00
2012-12-04,11400.00,11500.00,11350.00,11450.00,372300,11450.00
2012-12-03,11500.00,11550.00,11350.00,11450.00,1105200,11450.00
2012-11-30,11400.00,11500.00,11300.00,11500.00,830700,11500.00
2012-11-29,11250.00,11500.00,11200.00,11400.00,1267000,11400.00
2012-11-28,11100.00,11200.00,11050.00,11150.00,651200,11150.00
2012-11-27,11100.00,11250.00,11050.00,11150.00,867700,11150.00
2012-11-26,11150.00,11150.00,11000.00,11050.00,549600,11050.00
2012-11-23,11150.00,11200.00,11050.00,11050.00,650300,11050.00
2012-11-22,11100.00,11150.00,11000.00,11150.00,688800,11150.00
2012-11-21,11100.00,11150.00,10950.00,11000.00,866200,11000.00
2012-11-20,11250.00,11250.00,11000.00,11100.00,1015500,11100.00
2012-11-19,11350.00,11350.00,11100.00,11150.00,1386700,11150.00
2012-11-16,11500.00,11500.00,11250.00,11300.00,1056900,11300.00
2012-11-15,11600.00,11650.00,11400.00,11500.00,1247900,11500.00
2012-11-14,11650.00,11750.00,11600.00,11750.00,866000,11750.00
2012-11-13,11700.00,11750.00,11550.00,11650.00,541600,11650.00
2012-11-12,11750.00,11750.00,11600.00,11650.00,680500,11650.00
2012-11-09,11700.00,11800.00,11600.00,11800.00,936100,11800.00
2012-11-08,11800.00,11950.00,11700.00,11850.00,1150700,11850.00
2012-11-07,12150.00,12150.00,11850.00,12000.00,709300,12000.00
2012-11-06,12000.00,12150.00,11850.00,12100.00,555500,12100.00
2012-11-05,12000.00,12100.00,11950.00,12000.00,503900,12000.00
2012-11-02,12050.00,12150.00,11900.00,12150.00,679300,12150.00
2012-11-01,12000.00,12100.00,11900.00,11950.00,500500,11950.00
