Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,18200.00,18200.00,18200.00,18200.00,000,18200.00
2012-12-28,18400.00,18450.00,18000.00,18200.00,121500,18200.00
2012-12-27,17050.00,18350.00,16950.00,18350.00,223900,18350.00
2012-12-26,17200.00,17300.00,16950.00,17050.00,80600,17050.00
2012-12-25,17200.00,17200.00,17200.00,17200.00,000,17200.00
2012-12-24,16500.00,17600.00,16500.00,17200.00,224100,17200.00
2012-12-21,16200.00,16800.00,16150.00,16500.00,207700,16500.00
2012-12-20,17350.00,17500.00,16200.00,16200.00,300300,16200.00
2012-12-19,17300.00,17300.00,17300.00,17300.00,000,17300.00
2012-12-18,17800.00,17800.00,17250.00,17300.00,111500,17300.00
2012-12-17,17750.00,18200.00,17350.00,17550.00,116700,17550.00
2012-12-14,17800.00,18300.00,17400.00,18000.00,253700,18000.00
2012-12-13,18000.00,18000.00,17500.00,17700.00,174800,17700.00
2012-12-12,17300.00,17700.00,17150.00,17650.00,154100,17650.00
2012-12-11,18100.00,18400.00,17100.00,17250.00,185300,17250.00
2012-12-10,17150.00,18100.00,16800.00,18000.00,262500,18000.00
2012-12-07,17900.00,18350.00,16650.00,17350.00,545700,17350.00
2012-12-06,18750.00,19000.00,17750.00,17900.00,351100,17900.00
2012-12-05,18900.00,19000.00,18650.00,18900.00,146000,18900.00
2012-12-04,18400.00,19200.00,18200.00,19000.00,350100,19000.00
2012-12-03,18550.00,18600.00,18050.00,18350.00,226500,18350.00
2012-11-30,18550.00,19200.00,18200.00,18550.00,362200,18550.00
2012-11-29,18600.00,18750.00,18050.00,18750.00,300900,18750.00
2012-11-28,17300.00,18500.00,17200.00,18500.00,581700,18500.00
2012-11-27,17950.00,17950.00,16950.00,17100.00,383600,17100.00
2012-11-26,18100.00,18600.00,17750.00,17950.00,358400,17950.00
2012-11-23,17200.00,17950.00,17050.00,17950.00,337800,17950.00
2012-11-22,17100.00,17300.00,16800.00,17050.00,193900,17050.00
2012-11-21,17250.00,17500.00,16950.00,17000.00,160400,17000.00
2012-11-20,17000.00,17300.00,16600.00,17250.00,416800,17250.00
2012-11-19,16300.00,16900.00,16000.00,16750.00,442700,16750.00
2012-11-16,16300.00,16450.00,15100.00,16000.00,552500,16000.00
2012-11-15,16300.00,16800.00,16050.00,16450.00,687500,16450.00
2012-11-14,16200.00,16550.00,15950.00,16100.00,585100,16100.00
2012-11-13,15900.00,16400.00,15600.00,16150.00,513300,16150.00
2012-11-12,15100.00,15850.00,15050.00,15800.00,461000,15800.00
2012-11-09,14800.00,15400.00,14700.00,15050.00,471000,15050.00
2012-11-08,14100.00,14950.00,14050.00,14900.00,315800,14900.00
2012-11-07,14300.00,14500.00,13700.00,14400.00,192000,14400.00
2012-11-06,14700.00,14900.00,14300.00,14300.00,248200,14300.00
2012-11-05,14200.00,14600.00,14150.00,14550.00,207900,14550.00
2012-11-02,14400.00,14500.00,14000.00,14450.00,278400,14450.00
2012-11-01,14500.00,14800.00,14150.00,14200.00,323300,14200.00
2012-10-31,14500.00,14700.00,14250.00,14550.00,382600,14550.00
2012-10-30,13450.00,14550.00,13450.00,14500.00,432700,14500.00
2012-10-29,13700.00,13900.00,13350.00,13450.00,289400,13450.00
2012-10-26,14150.00,14250.00,13200.00,13450.00,486700,13450.00
2012-10-25,14250.00,14300.00,14000.00,14050.00,302300,14050.00
2012-10-24,13650.00,14450.00,13650.00,14300.00,526000,14300.00
2012-10-23,13750.00,14100.00,13650.00,13800.00,508300,13800.00
2012-10-22,12550.00,13700.00,12450.00,13650.00,951900,13650.00
2012-10-19,12100.00,12900.00,12100.00,12750.00,700800,12750.00
2012-10-18,11950.00,12300.00,11900.00,12050.00,226400,12050.00
2012-10-17,12400.00,12400.00,11900.00,11900.00,160600,11900.00
2012-10-16,11850.00,12450.00,11750.00,12300.00,282800,12300.00
2012-10-15,12400.00,12400.00,11800.00,11800.00,444300,11800.00
2012-10-12,12600.00,12600.00,12150.00,12450.00,329200,12450.00
2012-10-11,12100.00,12550.00,12050.00,12550.00,245600,12550.00
2012-10-10,12400.00,12550.00,12150.00,12150.00,234300,12150.00
2012-10-09,12800.00,13000.00,12300.00,12350.00,249500,12350.00
2012-10-08,12850.00,13000.00,12650.00,12750.00,312100,12750.00
2012-10-05,12800.00,12850.00,12550.00,12700.00,293800,12700.00
2012-10-04,11950.00,12700.00,11950.00,12700.00,695400,12700.00
2012-10-03,11950.00,11950.00,11950.00,11950.00,000,11950.00
2012-10-02,11650.00,12000.00,11650.00,11950.00,149800,11950.00
2012-10-01,11600.00,11600.00,11600.00,11600.00,000,11600.00
2012-09-28,11500.00,11700.00,11450.00,11600.00,119600,11600.00
2012-09-27,11750.00,11800.00,11400.00,11450.00,175700,11450.00
2012-09-26,11700.00,11900.00,11600.00,11650.00,108100,11650.00
2012-09-25,12050.00,12250.00,11800.00,11800.00,136400,11800.00
2012-09-24,11900.00,12150.00,11600.00,12100.00,189600,12100.00
2012-09-21,12200.00,12250.00,11800.00,11850.00,282600,11850.00
2012-09-20,12550.00,12600.00,12100.00,12100.00,383200,12100.00
2012-09-19,12900.00,12900.00,12500.00,12500.00,277600,12500.00
2012-09-18,12400.00,12850.00,12350.00,12850.00,291600,12850.00
2012-09-17,12450.00,12850.00,12350.00,12450.00,375400,12450.00
2012-09-14,12950.00,12950.00,12450.00,12500.00,363800,12500.00
2012-09-13,12500.00,12900.00,12350.00,12800.00,365100,12800.00
2012-09-12,12300.00,12550.00,12300.00,12500.00,168500,12500.00
