Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,586.00,586.00,586.00,586.00,000,586.00
2012-12-28,621.00,621.00,576.00,586.00,17600,586.00
2012-12-27,597.00,600.00,571.00,579.00,47100,579.00
2012-12-26,610.00,662.00,597.00,597.00,403100,597.00
2012-12-25,576.00,576.00,576.00,576.00,000,576.00
2012-12-24,563.00,610.00,537.00,576.00,174500,576.00
2012-12-21,540.00,555.00,530.00,553.00,16500,553.00
2012-12-20,552.00,575.00,531.00,548.00,24000,548.00
2012-12-19,562.00,562.00,562.00,562.00,000,562.00
2012-12-18,581.00,581.00,545.00,562.00,37100,562.00
2012-12-17,633.00,633.00,557.00,583.00,23200,583.00
2012-12-14,565.00,573.00,550.00,570.00,17400,570.00
2012-12-13,590.00,590.00,535.00,569.00,27800,569.00
2012-12-12,562.00,565.00,535.00,548.00,27900,548.00
2012-12-11,550.00,564.00,537.00,557.00,40400,557.00
2012-12-10,565.00,565.00,528.00,539.00,73000,539.00
2012-12-07,520.00,595.00,500.00,553.00,104600,553.00
2012-12-06,515.00,529.00,515.00,520.00,18200,520.00
2012-12-05,506.00,523.00,506.00,522.00,49200,522.00
2012-12-04,532.00,545.00,500.00,519.00,86700,519.00
2012-12-03,551.00,551.00,532.00,532.00,37300,532.00
2012-11-30,541.00,556.00,541.00,549.00,16400,549.00
2012-11-29,535.00,570.00,535.00,550.00,56000,550.00
2012-11-28,536.00,547.00,532.00,540.00,46600,540.00
2012-11-27,540.00,546.00,533.00,541.00,35800,541.00
2012-11-26,533.00,561.00,533.00,540.00,56100,540.00
2012-11-23,548.00,562.00,543.00,545.00,14000,545.00
2012-11-22,571.00,571.00,546.00,560.00,26400,560.00
2012-11-21,589.00,589.00,558.00,565.00,40200,565.00
2012-11-20,556.00,578.00,556.00,570.00,32700,570.00
2012-11-19,588.00,588.00,555.00,576.00,26900,576.00
2012-11-16,561.00,561.00,540.00,560.00,25400,560.00
2012-11-15,551.00,560.00,530.00,556.00,103100,556.00
2012-11-14,610.00,621.00,562.00,570.00,89600,570.00
2012-11-13,616.00,623.00,610.00,610.00,17700,610.00
2012-11-12,621.00,640.00,617.00,619.00,59100,619.00
2012-11-09,638.00,638.00,614.00,636.00,48700,636.00
2012-11-08,635.00,635.00,616.00,631.00,16700,631.00
2012-11-07,644.00,644.00,619.00,638.00,52300,638.00
2012-11-06,644.00,644.00,616.00,637.00,33700,637.00
2012-11-05,644.00,644.00,626.00,637.00,9200,637.00
2012-11-02,631.00,643.00,627.00,637.00,14400,637.00
2012-11-01,639.00,660.00,625.00,631.00,41300,631.00
2012-10-31,690.00,690.00,632.00,639.00,35400,639.00
2012-10-30,622.00,660.00,622.00,631.00,114200,631.00
2012-10-29,635.00,669.00,623.00,642.00,63000,642.00
2012-10-26,652.00,697.00,650.00,654.00,51400,654.00
2012-10-25,657.00,683.00,652.00,672.00,64500,672.00
2012-10-24,668.00,684.00,650.00,671.00,126700,671.00
2012-10-23,669.00,685.00,669.00,676.00,17000,676.00
2012-10-22,670.00,679.00,663.00,666.00,33900,666.00
2012-10-19,690.00,697.00,665.00,671.00,93300,671.00
2012-10-18,691.00,709.00,655.00,690.00,71900,690.00
2012-10-17,710.00,710.00,691.00,696.00,48400,696.00
2012-10-16,701.00,705.00,688.00,693.00,86400,693.00
2012-10-15,725.00,725.00,701.00,701.00,102700,701.00
