Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,29250.00,29250.00,29250.00,29250.00,000,29250.00
2012-12-28,29650.00,29650.00,29100.00,29250.00,158000,29250.00
2012-12-27,29200.00,29650.00,28850.00,29650.00,357400,29650.00
2012-12-26,30100.00,30400.00,29900.00,29900.00,396700,29900.00
2012-12-25,30300.00,30300.00,30300.00,30300.00,000,30300.00
2012-12-24,30800.00,30800.00,30000.00,30300.00,323000,30300.00
2012-12-21,30700.00,30900.00,30300.00,30550.00,976300,30550.00
2012-12-20,30350.00,30400.00,29950.00,30400.00,432700,30400.00
2012-12-19,30000.00,30000.00,30000.00,30000.00,000,30000.00
2012-12-18,29600.00,30300.00,29500.00,30000.00,318600,30000.00
2012-12-17,29850.00,29850.00,29450.00,29600.00,307900,29600.00
2012-12-14,29900.00,30000.00,29500.00,29600.00,295500,29600.00
2012-12-13,30100.00,30600.00,29750.00,30000.00,747400,30000.00
2012-12-12,30000.00,30150.00,29700.00,30100.00,532400,30100.00
2012-12-11,30000.00,30050.00,29600.00,29750.00,542400,29750.00
2012-12-10,29800.00,30150.00,29800.00,29900.00,360300,29900.00
2012-12-07,29500.00,30100.00,29150.00,29800.00,408500,29800.00
2012-12-06,29500.00,29800.00,29050.00,29500.00,557800,29500.00
2012-12-05,30400.00,30750.00,29500.00,29550.00,633100,29550.00
2012-12-04,30300.00,31050.00,30050.00,30700.00,643300,30700.00
2012-12-03,31250.00,31350.00,30300.00,30400.00,793600,30400.00
2012-11-30,30650.00,30950.00,30500.00,30950.00,750100,30950.00
2012-11-29,30700.00,30800.00,30400.00,30600.00,611600,30600.00
2012-11-28,30500.00,30800.00,29850.00,30500.00,953900,30500.00
2012-11-27,31800.00,31800.00,30100.00,30100.00,1510900,30100.00
2012-11-26,29800.00,31900.00,29500.00,31500.00,2703700,31500.00
2012-11-23,27950.00,28350.00,27800.00,27800.00,338700,27800.00
2012-11-22,28000.00,28000.00,27600.00,27800.00,272100,27800.00
2012-11-21,27900.00,28200.00,27700.00,28050.00,351800,28050.00
2012-11-20,27800.00,28100.00,27500.00,28100.00,554100,28100.00
2012-11-19,27200.00,28400.00,27000.00,27750.00,1100900,27750.00
2012-11-16,26500.00,26900.00,26100.00,26400.00,674100,26400.00
2012-11-15,27200.00,27200.00,26150.00,26500.00,550300,26500.00
2012-11-14,27550.00,27550.00,27050.00,27400.00,426800,27400.00
2012-11-13,27250.00,27450.00,26700.00,27350.00,301000,27350.00
2012-11-12,26950.00,27000.00,26650.00,27000.00,219000,27000.00
2012-11-09,26800.00,26900.00,26250.00,26650.00,334100,26650.00
2012-11-08,26800.00,27150.00,26600.00,26650.00,427200,26650.00
