Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,297000.00,297000.00,297000.00,297000.00,000,297000.00
2012-12-28,303500.00,304000.00,297000.00,297000.00,16000,297000.00
2012-12-27,303500.00,305500.00,298000.00,303000.00,17100,303000.00
2012-12-26,306500.00,309000.00,302000.00,307000.00,23300,307000.00
2012-12-25,304500.00,304500.00,304500.00,304500.00,000,304500.00
2012-12-24,304500.00,305000.00,302500.00,304500.00,12600,304500.00
2012-12-21,306500.00,307000.00,301500.00,302500.00,28400,302500.00
2012-12-20,302500.00,305000.00,299000.00,300500.00,22500,300500.00
2012-12-19,299500.00,299500.00,299500.00,299500.00,000,299500.00
2012-12-18,296500.00,300000.00,296500.00,299500.00,20700,299500.00
2012-12-17,295000.00,298500.00,294000.00,295500.00,18600,295500.00
2012-12-14,291500.00,293500.00,287500.00,293000.00,13300,293000.00
2012-12-13,291500.00,295500.00,291500.00,292500.00,33200,292500.00
2012-12-12,292500.00,296000.00,291000.00,293000.00,17000,293000.00
2012-12-11,291500.00,295500.00,288000.00,291000.00,26000,291000.00
2012-12-10,291500.00,297500.00,291000.00,293000.00,19000,293000.00
2012-12-07,286500.00,295000.00,286000.00,295000.00,25600,295000.00
2012-12-06,283500.00,287000.00,282500.00,286000.00,24200,286000.00
2012-12-05,284500.00,285500.00,282000.00,284000.00,16100,284000.00
2012-12-04,281000.00,286500.00,281000.00,286000.00,12600,286000.00
2012-12-03,287000.00,288500.00,282000.00,282500.00,22700,282500.00
2012-11-30,286000.00,289000.00,285000.00,286000.00,16400,286000.00
2012-11-29,282000.00,289000.00,281500.00,289000.00,24600,289000.00
2012-11-28,284000.00,284000.00,280000.00,280500.00,16000,280500.00
2012-11-27,283500.00,285000.00,281500.00,283500.00,23300,283500.00
2012-11-26,281000.00,285000.00,279500.00,281500.00,12400,281500.00
2012-11-23,280000.00,282000.00,278000.00,281000.00,12500,281000.00
2012-11-22,290500.00,290500.00,280000.00,280500.00,35200,280500.00
2012-11-21,282500.00,291500.00,282500.00,287000.00,25000,287000.00
2012-11-20,285000.00,285500.00,280500.00,284000.00,21600,284000.00
2012-11-19,285000.00,289500.00,279500.00,281500.00,24700,281500.00
2012-11-16,283000.00,291500.00,283000.00,285000.00,14300,285000.00
2012-11-15,291500.00,292000.00,282000.00,285000.00,22300,285000.00
2012-11-14,297500.00,300500.00,292500.00,295500.00,23400,295500.00
2012-11-13,303000.00,303000.00,295000.00,298500.00,21700,298500.00
2012-11-12,305500.00,307500.00,298000.00,301000.00,13800,301000.00
2012-11-09,305000.00,312000.00,300500.00,305000.00,15700,305000.00
2012-11-08,314500.00,315500.00,307000.00,309000.00,24300,309000.00
2012-11-07,306000.00,319500.00,306000.00,317500.00,25800,317500.00
2012-11-06,298000.00,311000.00,298000.00,310000.00,32100,310000.00
2012-11-05,313000.00,313000.00,295000.00,297500.00,32100,297500.00
2012-11-02,314000.00,316000.00,310000.00,312500.00,17600,312500.00
2012-11-01,301500.00,314500.00,300500.00,311500.00,10600,311500.00
2012-10-31,312500.00,315500.00,306000.00,306000.00,18600,306000.00
2012-10-30,300000.00,314000.00,300000.00,310000.00,18300,310000.00
2012-10-29,300000.00,306500.00,298000.00,298500.00,16500,298500.00
2012-10-26,296000.00,302500.00,292500.00,301500.00,20700,301500.00
2012-10-25,302000.00,311500.00,295500.00,296500.00,27800,296500.00
2012-10-24,307500.00,310500.00,300500.00,304500.00,33500,304500.00
2012-10-23,311000.00,315000.00,308000.00,310500.00,11000,310500.00
2012-10-22,307500.00,313500.00,303500.00,311500.00,17700,311500.00
2012-10-19,316500.00,316500.00,308000.00,308000.00,18500,308000.00
2012-10-18,320500.00,323500.00,312000.00,313000.00,19400,313000.00
2012-10-17,323500.00,327000.00,319000.00,323500.00,30500,323500.00
2012-10-16,319000.00,328500.00,316500.00,325000.00,32900,325000.00
2012-10-15,319000.00,322500.00,312500.00,319000.00,51900,319000.00
2012-10-12,307500.00,325500.00,305000.00,323500.00,65100,323500.00
2012-10-11,294000.00,307000.00,293000.00,307000.00,41300,307000.00
2012-10-10,299500.00,300000.00,291500.00,297500.00,25700,297500.00
2012-10-09,303500.00,306000.00,301000.00,303500.00,19400,303500.00
2012-10-08,300500.00,307000.00,297500.00,303000.00,22500,303000.00
2012-10-05,294500.00,306000.00,294500.00,302000.00,52500,302000.00
2012-10-04,299500.00,300000.00,293500.00,296500.00,19200,296500.00
2012-10-03,299000.00,299000.00,299000.00,299000.00,000,299000.00
2012-10-02,294000.00,301000.00,292000.00,299000.00,54100,299000.00
2012-10-01,291500.00,291500.00,291500.00,291500.00,000,291500.00
2012-09-28,282000.00,293000.00,280500.00,291500.00,70500,291500.00
2012-09-27,277000.00,281500.00,277000.00,281500.00,20700,281500.00
2012-09-26,277000.00,280000.00,276500.00,279000.00,14200,279000.00
2012-09-25,280500.00,283500.00,278500.00,279000.00,16900,279000.00
2012-09-24,279000.00,283000.00,277500.00,282500.00,29900,282500.00
2012-09-21,280500.00,282000.00,277500.00,278500.00,29300,278500.00
2012-09-20,282500.00,283000.00,279500.00,280000.00,35500,280000.00
2012-09-19,285000.00,286500.00,280500.00,283500.00,32100,283500.00
2012-09-18,289500.00,290500.00,282500.00,283500.00,29800,283500.00
2012-09-17,286000.00,293000.00,286000.00,291000.00,31200,291000.00
2012-09-14,286000.00,289500.00,284500.00,288000.00,36200,288000.00
2012-09-13,285000.00,286000.00,281000.00,281500.00,25500,281500.00
2012-09-12,286000.00,289000.00,283500.00,287000.00,17900,287000.00
2012-09-11,286000.00,286000.00,282000.00,284000.00,10300,284000.00
2012-09-10,282000.00,285500.00,281000.00,284500.00,16600,284500.00
2012-09-07,280000.00,282500.00,279500.00,281000.00,20600,281000.00
2012-09-06,278000.00,280500.00,275500.00,275500.00,17200,275500.00
2012-09-05,282000.00,285500.00,278000.00,278500.00,20100,278500.00
2012-09-04,284500.00,287500.00,283500.00,285500.00,16700,285500.00
2012-09-03,284500.00,287500.00,280000.00,287500.00,17300,287500.00
2012-08-31,285000.00,289500.00,283000.00,283000.00,23800,283000.00
2012-08-30,298000.00,301000.00,287500.00,287500.00,23500,287500.00
2012-08-29,301500.00,304000.00,298500.00,299000.00,13000,299000.00
2012-08-28,297500.00,301500.00,295500.00,301500.00,8500,301500.00
2012-08-27,296000.00,303500.00,295000.00,300000.00,20800,300000.00
2012-08-24,292500.00,296500.00,289000.00,293500.00,17700,293500.00
2012-08-23,299500.00,299500.00,293000.00,293000.00,16600,293000.00
2012-08-22,303000.00,303500.00,295500.00,299500.00,17300,299500.00
2012-08-21,306500.00,306500.00,301000.00,302500.00,11500,302500.00
2012-08-20,307000.00,307000.00,298500.00,302500.00,13000,302500.00
2012-08-17,296000.00,306000.00,293500.00,305000.00,39600,305000.00
2012-08-16,288000.00,295000.00,285500.00,295000.00,32000,295000.00
2012-08-15,288000.00,288000.00,288000.00,288000.00,000,288000.00
2012-08-14,297500.00,297500.00,284000.00,288000.00,34500,288000.00
2012-08-13,289000.00,295000.00,289000.00,294000.00,11400,294000.00
2012-08-10,293000.00,295000.00,288000.00,291000.00,17800,291000.00
2012-08-09,281500.00,292000.00,281500.00,290000.00,30600,290000.00
2012-08-08,277500.00,288000.00,277500.00,282500.00,33500,282500.00
2012-08-07,280000.00,282500.00,277000.00,278000.00,15700,278000.00
2012-08-06,283500.00,286000.00,277500.00,280500.00,18800,280500.00
2012-08-03,278000.00,283000.00,274000.00,280000.00,10900,280000.00
2012-08-02,287000.00,287500.00,278000.00,278500.00,14400,278500.00
2012-08-01,283500.00,289000.00,282500.00,284500.00,13900,284500.00
2012-07-31,280500.00,289500.00,276500.00,285000.00,20000,285000.00
2012-07-30,280000.00,281000.00,275500.00,278500.00,13200,278500.00
2012-07-27,277000.00,279500.00,273000.00,279000.00,18100,279000.00
2012-07-26,263000.00,270500.00,263000.00,270500.00,18900,270500.00
2012-07-25,262000.00,268000.00,257500.00,264000.00,30800,264000.00
2012-07-24,270000.00,270500.00,262000.00,264500.00,31000,264500.00
2012-07-23,279000.00,279000.00,269000.00,270500.00,26800,270500.00
2012-07-20,290500.00,290500.00,280500.00,280500.00,19100,280500.00
2012-07-19,290000.00,291500.00,284000.00,287500.00,19600,287500.00
2012-07-18,284000.00,285500.00,279000.00,284000.00,20800,284000.00
2012-07-17,281000.00,283000.00,277500.00,281500.00,23500,281500.00
2012-07-16,280000.00,285500.00,278000.00,280000.00,21700,280000.00
2012-07-13,280000.00,283000.00,276500.00,280500.00,26200,280500.00
2012-07-12,284000.00,286000.00,280500.00,280500.00,27500,280500.00
2012-07-11,298500.00,299500.00,284000.00,285000.00,31100,285000.00
2012-07-10,304500.00,304500.00,291500.00,295000.00,13900,295000.00
2012-07-09,297000.00,302000.00,293500.00,302000.00,16900,302000.00
2012-07-06,297000.00,304000.00,294000.00,297000.00,24100,297000.00
2012-07-05,292000.00,303000.00,292000.00,299000.00,31100,299000.00
2012-07-04,287000.00,299000.00,287000.00,293000.00,34600,293000.00
2012-07-03,281500.00,290000.00,280000.00,290000.00,19300,290000.00
2012-07-02,280000.00,281500.00,277000.00,281500.00,21600,281500.00
2012-06-29,274500.00,280000.00,274000.00,278000.00,33600,278000.00
2012-06-28,275500.00,282500.00,275500.00,276000.00,23000,276000.00
2012-06-27,278500.00,281000.00,274500.00,281000.00,27500,280139.99
2012-06-26,286500.00,292500.00,277500.00,277500.00,35600,276650.71
2012-06-25,285500.00,292500.00,283000.00,290500.00,16300,289610.92
2012-06-22,296500.00,300000.00,286500.00,288500.00,47500,287617.04
2012-06-21,308000.00,308000.00,296000.00,296500.00,551500,295592.56
2012-06-20,297500.00,307500.00,296000.00,304000.00,34300,303069.60
2012-06-19,288000.00,298000.00,288000.00,295500.00,11300,294595.62
2012-06-18,291500.00,294500.00,289000.00,292000.00,19200,291106.33
2012-06-15,298500.00,299000.00,286000.00,286000.00,16500,285124.69
2012-06-14,292500.00,298500.00,289500.00,298500.00,25700,297586.43
2012-06-13,289000.00,294500.00,288000.00,292500.00,14700,291604.80
2012-06-12,286000.00,291500.00,284500.00,289000.00,7500,288115.51
2012-06-11,284000.00,290500.00,284000.00,290500.00,14300,289610.92
2012-06-08,279500.00,286000.00,279500.00,284000.00,11100,283130.81
2012-06-07,283000.00,288000.00,279000.00,279000.00,14300,278146.12
2012-06-06,277500.00,277500.00,277500.00,277500.00,000,276650.71
2012-06-05,273000.00,282000.00,273000.00,277500.00,16900,276650.71
2012-06-04,275500.00,287500.00,274500.00,278000.00,19500,277149.18
2012-06-01,291000.00,294000.00,283500.00,285000.00,25600,284127.75
2012-05-31,281000.00,299500.00,277500.00,296000.00,32400,295094.09
2012-05-30,285000.00,285000.00,275000.00,285000.00,23500,284127.75
2012-05-29,273500.00,284000.00,273500.00,284000.00,10200,283130.81
2012-05-28,275000.00,275000.00,275000.00,275000.00,000,274158.36
2012-05-25,272000.00,278000.00,272000.00,275000.00,13400,274158.36
2012-05-24,262000.00,277000.00,260500.00,276000.00,17700,275155.30
2012-05-23,270000.00,271000.00,262500.00,263000.00,22900,262195.08
2012-05-22,259000.00,269500.00,254500.00,268000.00,28700,267179.78
2012-05-21,260000.00,263500.00,252500.00,254000.00,33400,253222.63
2012-05-18,273000.00,273000.00,260500.00,261000.00,27100,260201.20
2012-05-17,283000.00,284000.00,276000.00,276500.00,22000,275653.77
2012-05-16,287000.00,292000.00,282000.00,282000.00,13800,281136.93
2012-05-15,290000.00,295000.00,285500.00,292000.00,19900,291106.33
2012-05-14,290000.00,294500.00,287000.00,292000.00,14000,291106.33
2012-05-11,292000.00,297000.00,289000.00,292000.00,14700,291106.33
2012-05-10,295500.00,297000.00,290000.00,291500.00,15400,290607.86
2012-05-09,299000.00,299000.00,290500.00,295000.00,14800,294097.15
2012-05-08,285500.00,301500.00,284500.00,301500.00,24900,300577.25
