Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1185.00,1185.00,1185.00,1185.00,000,1185.00
2012-12-28,1170.00,1200.00,1155.00,1185.00,141300,1185.00
2012-12-27,1175.00,1190.00,1160.00,1165.00,88500,1165.00
2012-12-26,1175.00,1215.00,1160.00,1170.00,258400,1170.00
2012-12-25,1165.00,1165.00,1165.00,1165.00,000,1165.00
2012-12-24,1150.00,1170.00,1125.00,1165.00,182100,1165.00
2012-12-21,1195.00,1210.00,1130.00,1150.00,330600,1150.00
2012-12-20,1230.00,1255.00,1175.00,1210.00,416200,1210.00
2012-12-19,1250.00,1250.00,1250.00,1250.00,000,1250.00
2012-12-18,1355.00,1370.00,1250.00,1250.00,619600,1250.00
2012-12-17,1355.00,1355.00,1290.00,1330.00,632100,1330.00
2012-12-14,1330.00,1470.00,1305.00,1335.00,2815800,1335.00
2012-12-13,1165.00,1295.00,1165.00,1295.00,512700,1295.00
2012-12-12,1085.00,1150.00,1085.00,1130.00,91500,1130.00
2012-12-11,1085.00,1120.00,1075.00,1100.00,18600,1100.00
2012-12-10,1120.00,1120.00,1065.00,1095.00,21900,1095.00
2012-12-07,1080.00,1105.00,1065.00,1090.00,19300,1090.00
2012-12-06,1100.00,1130.00,1080.00,1085.00,46300,1085.00
2012-12-05,1150.00,1150.00,1100.00,1120.00,35400,1120.00
2012-12-04,1125.00,1150.00,1085.00,1140.00,58400,1140.00
2012-12-03,1100.00,1140.00,1065.00,1120.00,72800,1120.00
2012-11-30,1110.00,1155.00,1100.00,1100.00,56000,1100.00
2012-11-29,1070.00,1160.00,1070.00,1130.00,62900,1130.00
2012-11-28,1060.00,1080.00,1050.00,1080.00,33500,1080.00
2012-11-27,1055.00,1100.00,1055.00,1060.00,42500,1060.00
2012-11-26,1090.00,1110.00,1005.00,1055.00,73900,1055.00
2012-11-23,1095.00,1115.00,1085.00,1085.00,54300,1085.00
2012-11-22,1115.00,1135.00,1095.00,1100.00,58700,1100.00
2012-11-21,1120.00,1155.00,1100.00,1125.00,77100,1125.00
2012-11-20,1120.00,1150.00,1100.00,1125.00,44300,1125.00
2012-11-19,1090.00,1120.00,1085.00,1110.00,41100,1110.00
2012-11-16,1120.00,1135.00,1085.00,1090.00,119900,1090.00
2012-11-15,1190.00,1190.00,1115.00,1140.00,122700,1140.00
2012-11-14,1175.00,1195.00,1165.00,1190.00,46600,1190.00
2012-11-13,1185.00,1205.00,1175.00,1175.00,79500,1175.00
2012-11-12,1205.00,1215.00,1185.00,1185.00,84600,1185.00
2012-11-09,1230.00,1250.00,1170.00,1205.00,148300,1205.00
2012-11-08,1270.00,1295.00,1230.00,1235.00,279700,1235.00
2012-11-07,1320.00,1340.00,1280.00,1315.00,98700,1315.00
2012-11-06,1230.00,1345.00,1230.00,1320.00,215900,1320.00
2012-11-05,1250.00,1275.00,1225.00,1235.00,108200,1235.00
2012-11-02,1215.00,1280.00,1205.00,1280.00,153700,1280.00
2012-11-01,1205.00,1220.00,1195.00,1200.00,91400,1200.00
2012-10-31,1210.00,1220.00,1190.00,1215.00,114700,1215.00
2012-10-30,1190.00,1220.00,1190.00,1210.00,113300,1210.00
2012-10-29,1195.00,1265.00,1195.00,1200.00,114200,1200.00
2012-10-26,1215.00,1230.00,1175.00,1190.00,286000,1190.00
2012-10-25,1305.00,1340.00,1220.00,1235.00,219200,1235.00
2012-10-24,1330.00,1330.00,1280.00,1305.00,116600,1305.00
2012-10-23,1295.00,1355.00,1290.00,1330.00,152300,1330.00
2012-10-22,1345.00,1360.00,1255.00,1290.00,348200,1290.00
2012-10-19,1275.00,1450.00,1265.00,1390.00,583900,1390.00
2012-10-18,1310.00,1335.00,1235.00,1275.00,322100,1275.00
2012-10-17,1385.00,1415.00,1285.00,1310.00,381500,1310.00
2012-10-16,1390.00,1425.00,1335.00,1425.00,165200,1425.00
2012-10-15,1530.00,1530.00,1370.00,1390.00,491500,1390.00
2012-10-12,1590.00,1640.00,1575.00,1580.00,294400,1580.00
2012-10-11,1680.00,1725.00,1600.00,1620.00,351900,1620.00
2012-10-10,1630.00,1780.00,1590.00,1670.00,728600,1670.00
2012-10-09,1580.00,1700.00,1575.00,1630.00,795000,1630.00
2012-10-08,1530.00,1575.00,1500.00,1570.00,287600,1570.00
2012-10-05,1530.00,1535.00,1450.00,1520.00,355900,1520.00
2012-10-04,1530.00,1580.00,1480.00,1545.00,262100,1545.00
2012-10-03,1525.00,1525.00,1525.00,1525.00,000,1525.00
2012-10-02,1580.00,1590.00,1505.00,1525.00,311300,1525.00
2012-10-01,1580.00,1580.00,1580.00,1580.00,000,1580.00
2012-09-28,1560.00,1620.00,1535.00,1580.00,329900,1580.00
2012-09-27,1680.00,1820.00,1545.00,1600.00,1001200,1600.00
2012-09-26,1525.00,1630.00,1485.00,1630.00,937400,1630.00
2012-09-25,1480.00,1665.00,1450.00,1520.00,2234600,1520.00
2012-09-24,1435.00,1460.00,1375.00,1450.00,503800,1450.00
2012-09-21,1430.00,1470.00,1380.00,1400.00,453700,1400.00
2012-09-20,1470.00,1490.00,1405.00,1430.00,509500,1430.00
2012-09-19,1620.00,1620.00,1420.00,1505.00,1110900,1505.00
2012-09-18,1520.00,1670.00,1515.00,1580.00,3326100,1580.00
2012-09-17,1325.00,1465.00,1325.00,1465.00,1523500,1465.00
2012-09-14,1240.00,1345.00,1230.00,1275.00,404700,1275.00
2012-09-13,1250.00,1255.00,1215.00,1240.00,100100,1240.00
2012-09-12,1250.00,1270.00,1225.00,1235.00,105000,1235.00
