Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,37800.00,37800.00,37800.00,37800.00,000,37800.00
2012-12-28,39500.00,39500.00,37550.00,37800.00,500,37800.00
2012-12-27,35050.00,35600.00,35000.00,35550.00,15200,35550.00
2012-12-26,35000.00,35800.00,35000.00,35450.00,200,35450.00
2012-12-25,34650.00,34650.00,34650.00,34650.00,000,34650.00
2012-12-24,37500.00,37500.00,34650.00,34650.00,1100,34650.00
2012-12-21,35050.00,36350.00,35000.00,36350.00,500,36350.00
2012-12-20,36000.00,36400.00,36000.00,36400.00,32100,36400.00
2012-12-19,35600.00,35600.00,35600.00,35600.00,000,35600.00
2012-12-18,35600.00,35600.00,35600.00,35600.00,000,35600.00
2012-12-17,34600.00,35800.00,34600.00,35600.00,200,35600.00
2012-12-14,34450.00,34600.00,34450.00,34550.00,000,34550.00
2012-12-13,33850.00,34950.00,33850.00,34450.00,800,34450.00
2012-12-12,34300.00,34500.00,34300.00,34450.00,300,34450.00
2012-12-11,34400.00,34650.00,34400.00,34450.00,600,34450.00
2012-12-10,34200.00,34700.00,34200.00,34500.00,1600,34500.00
2012-12-07,34600.00,34600.00,34300.00,34400.00,400,34400.00
2012-12-06,34900.00,35000.00,34900.00,35000.00,000,35000.00
2012-12-05,34600.00,35000.00,34550.00,35000.00,000,35000.00
2012-12-04,35000.00,35000.00,35000.00,35000.00,000,35000.00
2012-12-03,34600.00,35000.00,34400.00,35000.00,12800,35000.00
2012-11-30,34550.00,34650.00,34550.00,34650.00,000,34650.00
2012-11-29,34500.00,35450.00,34500.00,35450.00,200,35450.00
2012-11-28,34800.00,34800.00,34750.00,34750.00,400,34750.00
2012-11-27,34800.00,35100.00,34800.00,35100.00,000,35100.00
2012-11-26,34750.00,35050.00,34750.00,34800.00,800,34800.00
2012-11-23,38400.00,38400.00,34950.00,34950.00,1000,34950.00
2012-11-22,38450.00,38450.00,38450.00,38450.00,000,38450.00
2012-11-21,37000.00,37000.00,35050.00,35050.00,200,35050.00
2012-11-20,36000.00,36000.00,36000.00,36000.00,000,36000.00
2012-11-19,34800.00,36850.00,34800.00,36000.00,100,36000.00
2012-11-16,34950.00,35000.00,34550.00,35000.00,100,35000.00
2012-11-15,35400.00,35400.00,35000.00,35000.00,000,35000.00
2012-11-14,34750.00,35450.00,34250.00,35450.00,000,35450.00
2012-11-13,34250.00,34250.00,34200.00,34200.00,000,34200.00
2012-11-12,35000.00,35000.00,34050.00,34250.00,200,34250.00
2012-11-09,35700.00,35700.00,35700.00,35700.00,100,35700.00
2012-11-08,34000.00,35900.00,34000.00,35900.00,100,35900.00
2012-11-07,35150.00,36300.00,35150.00,36300.00,000,36300.00
2012-11-06,36900.00,36900.00,35500.00,35500.00,400,35500.00
2012-11-05,36650.00,36650.00,35950.00,35950.00,100,35950.00
2012-11-02,36200.00,36400.00,36200.00,36400.00,000,36400.00
2012-11-01,37400.00,37400.00,37400.00,37400.00,000,37400.00
2012-10-31,37000.00,37400.00,37000.00,37400.00,200,37400.00
2012-10-30,35150.00,35150.00,35050.00,35050.00,1600,35050.00
2012-10-29,35650.00,35700.00,35500.00,35500.00,900,35500.00
2012-10-26,36500.00,36500.00,36000.00,36050.00,200,36050.00
2012-10-25,36700.00,37000.00,36700.00,37000.00,000,37000.00
2012-10-24,37250.00,37250.00,36800.00,37000.00,400,37000.00
2012-10-23,37700.00,37700.00,37550.00,37550.00,000,37550.00
2012-10-22,38150.00,38450.00,38150.00,38450.00,000,38450.00
2012-10-19,37950.00,38200.00,37800.00,37800.00,2300,37800.00
2012-10-18,38600.00,38600.00,38600.00,38600.00,000,38600.00
2012-10-17,38500.00,38600.00,38500.00,38600.00,000,38600.00
2012-10-16,38500.00,38500.00,38450.00,38500.00,100,38500.00
2012-10-15,38050.00,38500.00,38050.00,38500.00,000,38500.00
2012-10-12,38000.00,38650.00,37600.00,38650.00,900,38650.00
2012-10-11,38100.00,38100.00,37600.00,37600.00,1100,37600.00
2012-10-10,38400.00,38400.00,38200.00,38200.00,000,38200.00
2012-10-09,37600.00,38500.00,37600.00,37800.00,500,37800.00
2012-10-08,37700.00,38400.00,37600.00,37600.00,1900,37600.00
2012-10-05,38000.00,38000.00,37600.00,37600.00,100,37600.00
2012-10-04,37500.00,37900.00,37500.00,37900.00,2800,37900.00
2012-10-03,37550.00,37550.00,37550.00,37550.00,000,37550.00
2012-10-02,36100.00,38050.00,36100.00,37550.00,000,37550.00
