Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21600.00,21600.00,21600.00,21600.00,000,21600.00
2012-12-28,21650.00,21900.00,21150.00,21600.00,88100,21600.00
2012-12-27,19800.00,21750.00,19650.00,21500.00,143600,21500.00
2012-12-26,20350.00,20350.00,19550.00,19800.00,67500,19800.00
2012-12-25,20150.00,20150.00,20150.00,20150.00,000,20150.00
2012-12-24,20100.00,20600.00,19900.00,20150.00,64300,20150.00
2012-12-21,19100.00,20250.00,19000.00,20250.00,153500,20250.00
2012-12-20,19850.00,20250.00,18850.00,18950.00,213300,18950.00
2012-12-19,20200.00,20200.00,20200.00,20200.00,000,20200.00
2012-12-18,20800.00,21050.00,19750.00,20200.00,176600,20200.00
2012-12-17,22100.00,22300.00,20500.00,20700.00,222800,20700.00
2012-12-14,22100.00,22400.00,21850.00,22100.00,55700,22100.00
2012-12-13,21500.00,22600.00,21500.00,22100.00,87500,22100.00
2012-12-12,21100.00,21750.00,21050.00,21450.00,74600,21450.00
2012-12-11,21850.00,22250.00,21200.00,21200.00,115800,21200.00
2012-12-10,21900.00,22300.00,21250.00,22000.00,204100,22000.00
2012-12-07,23000.00,23100.00,21250.00,22250.00,243400,22250.00
2012-12-06,23400.00,23950.00,22700.00,23000.00,141800,23000.00
2012-12-05,24100.00,24150.00,23350.00,23650.00,112900,23650.00
2012-12-04,23850.00,24200.00,23500.00,24050.00,170600,24050.00
2012-12-03,22950.00,23750.00,22850.00,23750.00,173300,23750.00
2012-11-30,22600.00,23350.00,22450.00,22750.00,157300,22750.00
2012-11-29,23000.00,23900.00,22500.00,22600.00,236200,22600.00
2012-11-28,22750.00,23450.00,22250.00,23050.00,228200,23050.00
2012-11-27,23950.00,23950.00,22400.00,22650.00,254200,22650.00
2012-11-26,24150.00,24700.00,23400.00,23650.00,252100,23650.00
2012-11-23,23150.00,23950.00,22650.00,23800.00,252700,23800.00
2012-11-22,22200.00,23100.00,22200.00,23000.00,342400,23000.00
2012-11-21,21600.00,22700.00,21500.00,21950.00,359400,21950.00
2012-11-20,22300.00,22300.00,21200.00,21500.00,340400,21500.00
2012-11-19,19950.00,22350.00,19950.00,21900.00,395100,21900.00
2012-11-16,20200.00,20200.00,18550.00,19500.00,261300,19500.00
2012-11-15,20400.00,21250.00,20000.00,20100.00,144600,20100.00
2012-11-14,20200.00,21300.00,19850.00,20750.00,310600,20750.00
2012-11-13,21300.00,21400.00,19950.00,20300.00,333800,20300.00
2012-11-12,18500.00,21000.00,18400.00,21000.00,625300,21000.00
2012-11-09,18600.00,18800.00,18250.00,18300.00,117000,18300.00
2012-11-08,18850.00,19300.00,18450.00,18550.00,274600,18550.00
2012-11-07,18250.00,19850.00,18100.00,18250.00,549900,18250.00
2012-11-06,18400.00,18500.00,17200.00,17300.00,138900,17300.00
2012-11-05,18350.00,18850.00,17800.00,18300.00,58600,18300.00
2012-11-02,18950.00,19000.00,18450.00,18650.00,57100,18650.00
2012-11-01,19400.00,19400.00,18600.00,18750.00,53100,18750.00
2012-10-31,18800.00,19300.00,18450.00,19000.00,71400,19000.00
2012-10-30,18000.00,18900.00,18000.00,18600.00,43000,18600.00
2012-10-29,18900.00,19200.00,18200.00,18300.00,105000,18300.00
2012-10-26,19700.00,19700.00,18600.00,19250.00,106400,19250.00
2012-10-25,19900.00,20100.00,19450.00,19500.00,113700,19500.00
2012-10-24,19800.00,20200.00,19600.00,20100.00,100000,20100.00
2012-10-23,20050.00,20600.00,19500.00,20050.00,144600,20050.00
2012-10-22,19600.00,20400.00,19450.00,19850.00,52500,19850.00
2012-10-19,20650.00,20750.00,19800.00,19950.00,107300,19950.00
2012-10-18,21200.00,21200.00,19800.00,20800.00,121800,20800.00
2012-10-17,21400.00,21500.00,20800.00,21200.00,75500,21200.00
2012-10-16,20100.00,21350.00,19800.00,21300.00,105000,21300.00
2012-10-15,20000.00,20500.00,19650.00,20350.00,107800,20350.00
2012-10-12,20500.00,20750.00,19750.00,20300.00,90200,20300.00
2012-10-11,21350.00,21450.00,20000.00,20500.00,90900,20500.00
2012-10-10,21100.00,22100.00,20950.00,21200.00,148000,21200.00
2012-10-09,21000.00,21200.00,20600.00,20900.00,68400,20900.00
2012-10-08,21000.00,21050.00,20450.00,20900.00,84300,20900.00
2012-10-05,19900.00,20700.00,19600.00,20700.00,134500,20700.00
2012-10-04,20600.00,20600.00,19950.00,20000.00,86800,20000.00
2012-10-03,20500.00,20500.00,20500.00,20500.00,000,20500.00
2012-10-02,20150.00,20500.00,19750.00,20500.00,104100,20500.00
2012-10-01,20100.00,20100.00,20100.00,20100.00,000,20100.00
2012-09-28,19050.00,20500.00,19050.00,20100.00,282500,20100.00
2012-09-27,18650.00,19100.00,17800.00,19000.00,243900,19000.00
2012-09-26,18650.00,19150.00,18450.00,19000.00,198100,19000.00
2012-09-25,17800.00,19000.00,17550.00,18700.00,261400,18700.00
2012-09-24,17800.00,17800.00,17300.00,17750.00,128200,17750.00
2012-09-21,17700.00,17700.00,17250.00,17600.00,86700,17600.00
2012-09-20,17550.00,17750.00,17450.00,17600.00,91300,17600.00
2012-09-19,17850.00,17900.00,17350.00,17600.00,76800,17600.00
2012-09-18,17100.00,17750.00,17100.00,17700.00,117300,17700.00
2012-09-17,17050.00,17350.00,16500.00,17250.00,117500,17250.00
2012-09-14,17800.00,17800.00,17000.00,17050.00,89100,17050.00
2012-09-13,16900.00,17300.00,16800.00,17300.00,89600,17300.00
2012-09-12,16600.00,17000.00,16550.00,16900.00,71500,16900.00
2012-09-11,16650.00,17150.00,16400.00,16600.00,90100,16600.00
2012-09-10,16850.00,17400.00,16850.00,16900.00,70900,16900.00
2012-09-07,16850.00,17100.00,16400.00,16800.00,105000,16800.00
2012-09-06,16850.00,16850.00,16250.00,16350.00,99300,16350.00
2012-09-05,16500.00,17000.00,16500.00,16550.00,62700,16550.00
2012-09-04,17000.00,17250.00,16350.00,16450.00,142000,16450.00
2012-09-03,17500.00,17550.00,16900.00,17000.00,114100,17000.00
2012-08-31,18150.00,18200.00,17450.00,17450.00,165500,17450.00
2012-08-30,17900.00,18200.00,17600.00,18100.00,100600,18100.00
2012-08-29,17000.00,18400.00,16800.00,17700.00,250500,17700.00
2012-08-28,16000.00,17000.00,16000.00,16850.00,282900,16850.00
2012-08-27,16850.00,17250.00,15700.00,15900.00,511200,15900.00
2012-08-24,18100.00,18300.00,17700.00,17850.00,105200,17850.00
2012-08-23,18300.00,18400.00,17950.00,18400.00,86800,18400.00
2012-08-22,17950.00,18300.00,17300.00,18300.00,142600,18300.00
2012-08-21,17700.00,18000.00,17400.00,17850.00,80400,17850.00
2012-08-20,18100.00,18100.00,17500.00,17650.00,91300,17650.00
2012-08-17,17800.00,18300.00,17350.00,17900.00,161400,17900.00
2012-08-16,16900.00,17500.00,16800.00,17400.00,149900,17400.00
2012-08-15,16750.00,16750.00,16750.00,16750.00,000,16750.00
2012-08-14,15950.00,16850.00,15850.00,16750.00,170600,16750.00
2012-08-13,15650.00,15950.00,15350.00,15950.00,147300,15950.00
2012-08-10,16200.00,16550.00,15250.00,15500.00,309700,15500.00
2012-08-09,16800.00,16900.00,16150.00,16400.00,145500,16400.00
2012-08-08,17150.00,17150.00,16700.00,16800.00,53000,16800.00
2012-08-07,17050.00,17050.00,16750.00,16900.00,86000,16900.00
2012-08-06,17050.00,17200.00,16800.00,17050.00,68100,17050.00
2012-08-03,16700.00,17100.00,16700.00,16950.00,47100,16950.00
2012-08-02,17500.00,17650.00,16850.00,17000.00,97200,17000.00
2012-08-01,17000.00,17400.00,17000.00,17350.00,39800,17350.00
2012-07-31,17150.00,17250.00,16750.00,17000.00,72400,17000.00
2012-07-30,17650.00,17650.00,17050.00,17050.00,62500,17050.00
2012-07-27,16700.00,17300.00,16650.00,17250.00,109300,17250.00
2012-07-26,16950.00,17100.00,16350.00,16650.00,75300,16650.00
2012-07-25,16850.00,17700.00,16500.00,16800.00,139500,16800.00
2012-07-24,17300.00,17850.00,16750.00,17200.00,236300,17200.00
2012-07-23,16850.00,17350.00,16500.00,17250.00,128700,17250.00
2012-07-20,16900.00,17100.00,16500.00,16850.00,128500,16850.00
2012-07-19,16200.00,16500.00,16050.00,16500.00,57200,16500.00
2012-07-18,16250.00,16500.00,15550.00,16050.00,108300,16050.00
2012-07-17,16400.00,16400.00,15850.00,16050.00,101100,16050.00
2012-07-16,15500.00,16350.00,15450.00,16200.00,196800,16200.00
2012-07-13,15500.00,15700.00,14900.00,15500.00,156000,15500.00
2012-07-12,15550.00,15950.00,15400.00,15550.00,200300,15550.00
2012-07-11,14500.00,15500.00,14400.00,15450.00,252500,15450.00
2012-07-10,14800.00,14850.00,14400.00,14550.00,82200,14550.00
2012-07-09,14650.00,14800.00,14450.00,14750.00,68200,14750.00
2012-07-06,14800.00,15000.00,14550.00,14550.00,84200,14550.00
2012-07-05,15300.00,15350.00,14800.00,14900.00,72400,14900.00
2012-07-04,15300.00,15400.00,14750.00,15300.00,132700,15300.00
2012-07-03,15000.00,15450.00,15000.00,15300.00,80800,15300.00
2012-07-02,15600.00,15600.00,14850.00,15250.00,106100,15250.00
2012-06-29,15150.00,15350.00,14750.00,15200.00,162300,15200.00
2012-06-28,14400.00,15000.00,14350.00,14950.00,120100,14950.00
2012-06-27,14150.00,14700.00,13850.00,14400.00,231200,14400.00
2012-06-26,14200.00,14550.00,13800.00,14000.00,220200,14000.00
2012-06-25,14900.00,15150.00,14400.00,14550.00,185700,14550.00
2012-06-22,14300.00,15050.00,14000.00,14700.00,237700,14700.00
2012-06-21,14300.00,15000.00,14250.00,14600.00,351100,14600.00
2012-06-20,13750.00,14200.00,13450.00,14200.00,289900,14200.00
2012-06-19,12850.00,13650.00,12850.00,13600.00,193500,13600.00
2012-06-18,12750.00,13000.00,12700.00,12950.00,153600,12950.00
2012-06-15,12550.00,12800.00,12350.00,12500.00,196900,12500.00
2012-06-14,12300.00,12700.00,12250.00,12550.00,146900,12550.00
2012-06-13,12150.00,12600.00,11950.00,12400.00,316300,12400.00
2012-06-12,11900.00,12050.00,11850.00,11950.00,112500,11950.00
2012-06-11,11900.00,12250.00,11900.00,12100.00,164000,12100.00
2012-06-08,11650.00,11800.00,11450.00,11750.00,122600,11750.00
2012-06-07,11950.00,12050.00,11600.00,11650.00,188500,11650.00
2012-06-06,11600.00,11600.00,11600.00,11600.00,000,11600.00
2012-06-05,11300.00,11600.00,11300.00,11600.00,101900,11600.00
2012-06-04,11300.00,11550.00,11150.00,11150.00,166900,11150.00
2012-06-01,11950.00,11950.00,11600.00,11800.00,70100,11800.00
2012-05-31,11100.00,11850.00,11100.00,11800.00,120200,11800.00
2012-05-30,11350.00,11600.00,11350.00,11350.00,99700,11350.00
2012-05-29,10800.00,11250.00,10800.00,11200.00,89400,11200.00
2012-05-28,10800.00,10800.00,10800.00,10800.00,000,10800.00
2012-05-25,10950.00,11000.00,10750.00,10800.00,54900,10800.00
2012-05-24,10800.00,11100.00,10500.00,10750.00,93600,10750.00
2012-05-23,10850.00,10950.00,10600.00,10800.00,124100,10800.00
2012-05-22,10650.00,11000.00,10650.00,10900.00,168600,10900.00
2012-05-21,10250.00,10450.00,10200.00,10450.00,143000,10450.00
