Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,30450.00,30450.00,30450.00,30450.00,000,30450.00
2012-12-28,29600.00,30650.00,29600.00,30450.00,2155800,30450.00
2012-12-27,29350.00,29700.00,29250.00,29700.00,847300,29700.00
2012-12-26,28900.00,29800.00,28550.00,29300.00,1618000,29300.00
2012-12-25,28800.00,28800.00,28800.00,28800.00,000,28800.00
2012-12-24,30100.00,30150.00,28700.00,28800.00,2322600,28800.00
2012-12-21,30100.00,30700.00,29800.00,29850.00,4152500,29850.00
2012-12-20,28800.00,30000.00,28600.00,29800.00,3351400,29800.00
2012-12-19,28700.00,28700.00,28700.00,28700.00,000,28700.00
2012-12-18,28800.00,28950.00,28350.00,28700.00,2215200,28700.00
2012-12-17,27850.00,28750.00,27800.00,28650.00,3510300,28650.00
2012-12-14,27050.00,27750.00,26950.00,27750.00,1924200,27750.00
2012-12-13,26850.00,27300.00,26850.00,27100.00,2406200,27100.00
2012-12-12,26800.00,27050.00,26450.00,27000.00,1166700,27000.00
2012-12-11,27050.00,27150.00,26600.00,26750.00,1228800,26750.00
2012-12-10,26400.00,27200.00,26400.00,26950.00,1632200,26950.00
2012-12-07,26550.00,26700.00,26350.00,26500.00,737000,26500.00
2012-12-06,26750.00,26900.00,26300.00,26450.00,1059500,26450.00
2012-12-05,26750.00,27000.00,26450.00,26750.00,734500,26750.00
2012-12-04,26750.00,26950.00,26500.00,26750.00,638300,26750.00
2012-12-03,26850.00,27100.00,26700.00,26900.00,1716400,26900.00
2012-11-30,26550.00,26850.00,26500.00,26700.00,716200,26700.00
2012-11-29,26600.00,26950.00,26400.00,26650.00,990000,26650.00
2012-11-28,26600.00,26700.00,26100.00,26700.00,1422200,26700.00
2012-11-27,27300.00,27450.00,26600.00,26800.00,1528800,26800.00
2012-11-26,27100.00,27550.00,26900.00,27150.00,875100,27150.00
2012-11-23,27150.00,27350.00,26900.00,27050.00,653600,27050.00
2012-11-22,27250.00,27550.00,27050.00,27200.00,1097900,27200.00
2012-11-21,27250.00,27250.00,26750.00,27000.00,958700,27000.00
2012-11-20,27500.00,27500.00,26950.00,27300.00,966900,27300.00
2012-11-19,27600.00,28000.00,27400.00,27400.00,915900,27400.00
2012-11-16,27450.00,27850.00,27350.00,27600.00,1338200,27600.00
2012-11-15,26900.00,27700.00,26900.00,27300.00,1902100,27300.00
2012-11-14,26300.00,27350.00,26200.00,27100.00,2298000,27100.00
2012-11-13,27300.00,27350.00,26050.00,26650.00,1849600,26650.00
2012-11-12,26650.00,27300.00,26400.00,27000.00,1243600,27000.00
2012-11-09,27200.00,27850.00,26750.00,26950.00,1736700,26950.00
2012-11-08,27150.00,27750.00,27000.00,27350.00,1967600,27350.00
2012-11-07,27750.00,27800.00,26650.00,27350.00,4017000,27350.00
2012-11-06,28450.00,28600.00,27850.00,28200.00,3060300,28200.00
2012-11-05,29650.00,29700.00,28350.00,28800.00,2487700,28800.00
