Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,29100.00,29100.00,29100.00,29100.00,000,29100.00
2012-12-28,29000.00,29150.00,28550.00,29100.00,15800,29100.00
2012-12-27,28500.00,29300.00,28300.00,29100.00,11000,29100.00
2012-12-26,29200.00,29300.00,28500.00,28500.00,15800,28328.00
2012-12-25,29100.00,29100.00,29100.00,29100.00,000,28924.38
2012-12-24,29500.00,29600.00,29100.00,29100.00,20100,28924.38
2012-12-21,28800.00,29450.00,28800.00,29450.00,19100,29272.27
2012-12-20,29050.00,29300.00,28650.00,29150.00,12100,28974.08
2012-12-19,29050.00,29050.00,29050.00,29050.00,000,28874.68
2012-12-18,28750.00,29550.00,28700.00,29050.00,23700,28874.68
2012-12-17,29000.00,29000.00,28400.00,28650.00,18200,28477.09
2012-12-14,29000.00,29000.00,28700.00,28950.00,18100,28775.28
2012-12-13,28200.00,28700.00,28000.00,28700.00,28600,28526.79
2012-12-12,28700.00,28700.00,28100.00,28300.00,18300,28129.21
2012-12-11,28950.00,29150.00,28300.00,28300.00,21300,28129.21
2012-12-10,28600.00,28950.00,28150.00,28900.00,27200,28725.59
2012-12-07,29300.00,29300.00,28600.00,28800.00,19300,28626.19
2012-12-06,29350.00,29400.00,28800.00,29250.00,27100,29073.47
2012-12-05,29200.00,29700.00,29150.00,29150.00,36700,28974.08
2012-12-04,28250.00,29400.00,28200.00,28950.00,47600,28775.28
2012-12-03,28550.00,28600.00,28250.00,28250.00,21600,28079.51
2012-11-30,28750.00,28750.00,28100.00,28450.00,10000,28278.30
2012-11-29,27950.00,28600.00,27900.00,28500.00,37600,28328.00
2012-11-28,28200.00,28200.00,27300.00,27800.00,16500,27632.22
2012-11-27,28150.00,28500.00,27950.00,28200.00,20100,28029.81
2012-11-26,28400.00,28650.00,28000.00,28350.00,17900,28178.91
2012-11-23,28550.00,28550.00,27900.00,28400.00,20700,28228.60
2012-11-22,28500.00,28500.00,27800.00,28250.00,37500,28079.51
