Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,7620.00,7620.00,7620.00,7620.00,000,7620.00
2012-12-28,7630.00,7640.00,7550.00,7620.00,386000,7620.00
2012-12-27,7600.00,7630.00,7520.00,7630.00,646600,7630.00
2012-12-26,7700.00,7820.00,7670.00,7750.00,1372000,7750.00
2012-12-25,7700.00,7700.00,7700.00,7700.00,000,7700.00
2012-12-24,7680.00,7730.00,7610.00,7700.00,875800,7700.00
2012-12-21,7550.00,7620.00,7510.00,7620.00,1348100,7620.00
2012-12-20,7590.00,7590.00,7310.00,7510.00,943900,7510.00
2012-12-19,7520.00,7520.00,7520.00,7520.00,000,7520.00
2012-12-18,7430.00,7540.00,7400.00,7520.00,910100,7520.00
2012-12-17,7430.00,7430.00,7300.00,7370.00,794800,7370.00
2012-12-14,7360.00,7370.00,7270.00,7340.00,611200,7340.00
2012-12-13,7200.00,7380.00,7180.00,7380.00,1565300,7380.00
2012-12-12,7260.00,7300.00,7170.00,7230.00,951000,7230.00
2012-12-11,7190.00,7280.00,7160.00,7230.00,861500,7230.00
2012-12-10,7210.00,7270.00,7170.00,7190.00,493100,7190.00
2012-12-07,7360.00,7360.00,7250.00,7250.00,418500,7250.00
2012-12-06,7200.00,7350.00,7190.00,7330.00,545000,7330.00
2012-12-05,7190.00,7300.00,7140.00,7250.00,727600,7250.00
2012-12-04,7160.00,7250.00,7150.00,7200.00,293100,7200.00
2012-12-03,7270.00,7290.00,7190.00,7250.00,612900,7250.00
2012-11-30,7110.00,7290.00,7110.00,7290.00,859100,7290.00
2012-11-29,7000.00,7190.00,6980.00,7190.00,874200,7190.00
2012-11-28,7050.00,7060.00,6930.00,7000.00,452600,7000.00
2012-11-27,7050.00,7110.00,6990.00,6990.00,532300,6990.00
2012-11-26,6980.00,7050.00,6930.00,6970.00,527400,6970.00
2012-11-23,7070.00,7080.00,6940.00,6940.00,705300,6940.00
2012-11-22,7170.00,7170.00,7050.00,7080.00,464000,7080.00
2012-11-21,7040.00,7100.00,7020.00,7070.00,483800,7070.00
2012-11-20,7000.00,7060.00,6940.00,7020.00,678300,7020.00
2012-11-19,7010.00,7060.00,6910.00,6950.00,836300,6950.00
2012-11-16,7100.00,7140.00,6950.00,6960.00,741600,6960.00
2012-11-15,7230.00,7230.00,7010.00,7050.00,838400,7050.00
2012-11-14,7030.00,7330.00,6680.00,7330.00,2281900,7330.00
2012-11-13,7530.00,7570.00,7210.00,7230.00,1200700,7230.00
2012-11-12,7550.00,7600.00,7510.00,7590.00,325100,7590.00
2012-11-09,7620.00,7730.00,7520.00,7530.00,880500,7530.00
2012-11-08,7840.00,7840.00,7700.00,7730.00,529900,7730.00
2012-11-07,7930.00,7980.00,7800.00,7950.00,496100,7950.00
2012-11-06,7710.00,7910.00,7690.00,7840.00,552700,7840.00
2012-11-05,7880.00,7900.00,7710.00,7800.00,538000,7800.00
2012-11-02,7560.00,7990.00,7560.00,7990.00,987800,7990.00
2012-11-01,7520.00,7630.00,7510.00,7510.00,407100,7510.00
2012-10-31,7610.00,7660.00,7560.00,7560.00,433300,7560.00
2012-10-30,7650.00,7690.00,7580.00,7600.00,373900,7600.00
2012-10-29,7550.00,7650.00,7550.00,7620.00,580400,7620.00
2012-10-26,7530.00,7630.00,7530.00,7530.00,535300,7530.00
2012-10-25,7620.00,7650.00,7520.00,7610.00,845100,7610.00
2012-10-24,7670.00,7760.00,7660.00,7700.00,684400,7700.00
2012-10-23,7830.00,7910.00,7710.00,7710.00,757600,7710.00
2012-10-22,7910.00,7990.00,7820.00,7900.00,673000,7900.00
2012-10-19,8020.00,8080.00,8010.00,8010.00,514900,8010.00
2012-10-18,8120.00,8120.00,8050.00,8050.00,540200,8050.00
2012-10-17,8110.00,8170.00,8070.00,8070.00,576100,8070.00
2012-10-16,8160.00,8190.00,8080.00,8120.00,543500,8120.00
2012-10-15,8130.00,8260.00,8110.00,8170.00,303800,8170.00
2012-10-12,8120.00,8150.00,8070.00,8140.00,285900,8140.00
2012-10-11,8170.00,8260.00,8120.00,8120.00,898100,8120.00
2012-10-10,8300.00,8360.00,8180.00,8200.00,541200,8200.00
2012-10-09,8270.00,8420.00,8270.00,8390.00,495700,8390.00
2012-10-08,8500.00,8500.00,8340.00,8350.00,489900,8350.00
2012-10-05,8490.00,8590.00,8470.00,8550.00,722000,8550.00
2012-10-04,8460.00,8520.00,8380.00,8510.00,658200,8510.00
2012-10-03,8440.00,8440.00,8440.00,8440.00,000,8440.00
2012-10-02,8470.00,8700.00,8440.00,8440.00,567400,8440.00
2012-10-01,8490.00,8490.00,8490.00,8490.00,000,8490.00
2012-09-28,8520.00,8560.00,8460.00,8490.00,482200,8490.00
2012-09-27,8510.00,8620.00,8460.00,8490.00,621600,8490.00
2012-09-26,8560.00,8640.00,8470.00,8590.00,440300,8590.00
2012-09-25,8550.00,8660.00,8500.00,8550.00,622000,8550.00
2012-09-24,8700.00,8700.00,8540.00,8630.00,368800,8630.00
2012-09-21,8680.00,8700.00,8620.00,8700.00,603000,8700.00
2012-09-20,8650.00,8690.00,8540.00,8680.00,460700,8680.00
2012-09-19,8540.00,8700.00,8410.00,8690.00,765700,8690.00
2012-09-18,8620.00,8620.00,8500.00,8500.00,579800,8500.00
2012-09-17,8560.00,8690.00,8550.00,8590.00,768800,8590.00
2012-09-14,8590.00,8680.00,8500.00,8650.00,1332600,8650.00
2012-09-13,8460.00,8500.00,8370.00,8440.00,721900,8440.00
2012-09-12,8330.00,8490.00,8330.00,8460.00,666700,8460.00
2012-09-11,8410.00,8410.00,8260.00,8330.00,464700,8330.00
2012-09-10,8400.00,8480.00,8400.00,8460.00,270700,8460.00
2012-09-07,8480.00,8530.00,8360.00,8440.00,656400,8440.00
2012-09-06,8200.00,8440.00,8200.00,8310.00,458700,8310.00
2012-09-05,8300.00,8310.00,8200.00,8200.00,468100,8200.00
2012-09-04,8370.00,8470.00,8320.00,8330.00,425800,8330.00
2012-09-03,8480.00,8570.00,8310.00,8380.00,687500,8380.00
2012-08-31,8400.00,8550.00,8350.00,8550.00,639200,8550.00
2012-08-30,8500.00,8550.00,8340.00,8500.00,564300,8500.00
2012-08-29,8670.00,8670.00,8520.00,8550.00,524600,8550.00
2012-08-28,8650.00,8730.00,8590.00,8600.00,303100,8600.00
2012-08-27,8590.00,8710.00,8480.00,8700.00,688700,8700.00
2012-08-24,8490.00,8600.00,8430.00,8480.00,418600,8480.00
2012-08-23,8710.00,8710.00,8580.00,8650.00,425300,8650.00
2012-08-22,8700.00,8710.00,8500.00,8660.00,329700,8660.00
2012-08-21,8740.00,8750.00,8640.00,8650.00,399600,8650.00
2012-08-20,8720.00,8730.00,8630.00,8640.00,470300,8640.00
2012-08-17,8640.00,8730.00,8640.00,8640.00,444800,8640.00
2012-08-16,8600.00,8700.00,8540.00,8700.00,497200,8700.00
2012-08-15,8640.00,8640.00,8640.00,8640.00,000,8640.00
2012-08-14,8640.00,8690.00,8550.00,8640.00,604700,8640.00
2012-08-13,8550.00,8670.00,8550.00,8570.00,339800,8570.00
2012-08-10,8550.00,8630.00,8480.00,8630.00,693200,8630.00
2012-08-09,8400.00,8550.00,8360.00,8550.00,1634800,8550.00
2012-08-08,8260.00,8400.00,8260.00,8390.00,1094300,8390.00
2012-08-07,8200.00,8310.00,8150.00,8290.00,344400,8290.00
2012-08-06,8290.00,8380.00,8150.00,8150.00,352200,8150.00
2012-08-03,8250.00,8300.00,8120.00,8200.00,380400,8200.00
2012-08-02,8250.00,8390.00,8200.00,8240.00,457700,8240.00
2012-08-01,8220.00,8360.00,8080.00,8150.00,906400,8150.00
2012-07-31,7760.00,8480.00,7700.00,8400.00,2055700,8400.00
2012-07-30,7760.00,7770.00,7680.00,7770.00,430600,7770.00
2012-07-27,7600.00,7680.00,7560.00,7680.00,563500,7680.00
2012-07-26,7460.00,7520.00,7440.00,7440.00,419700,7440.00
2012-07-25,7540.00,7600.00,7460.00,7490.00,439200,7490.00
2012-07-24,7530.00,7690.00,7530.00,7650.00,437600,7650.00
2012-07-23,7690.00,7700.00,7500.00,7650.00,627600,7650.00
2012-07-20,7800.00,7840.00,7720.00,7730.00,1219000,7730.00
2012-07-19,7860.00,7890.00,7750.00,7750.00,697200,7750.00
2012-07-18,8000.00,8040.00,7760.00,7760.00,904500,7760.00
2012-07-17,8010.00,8060.00,7950.00,8050.00,493700,8050.00
2012-07-16,7910.00,7960.00,7900.00,7960.00,401400,7960.00
2012-07-13,7950.00,7980.00,7890.00,7950.00,585400,7950.00
2012-07-12,8130.00,8130.00,7890.00,7890.00,747000,7890.00
2012-07-11,8060.00,8140.00,8040.00,8060.00,407200,8060.00
2012-07-10,8180.00,8210.00,8020.00,8030.00,738400,8030.00
2012-07-09,8210.00,8210.00,8130.00,8210.00,501300,8210.00
2012-07-06,8290.00,8290.00,8150.00,8150.00,397400,8150.00
2012-07-05,8250.00,8250.00,8180.00,8240.00,401600,8240.00
2012-07-04,8290.00,8290.00,8180.00,8180.00,397300,8180.00
2012-07-03,8160.00,8230.00,8150.00,8150.00,505300,8150.00
2012-07-02,8160.00,8200.00,8130.00,8190.00,618300,8190.00
2012-06-29,8050.00,8240.00,7990.00,8150.00,985500,8150.00
2012-06-28,8190.00,8200.00,8090.00,8090.00,647600,8090.00
2012-06-27,8200.00,8240.00,8140.00,8200.00,859300,8200.00
2012-06-26,8210.00,8250.00,8170.00,8240.00,642200,8240.00
2012-06-25,8300.00,8320.00,8210.00,8250.00,814600,8250.00
2012-06-22,8380.00,8380.00,8210.00,8300.00,929200,8300.00
2012-06-21,8300.00,8400.00,8280.00,8400.00,766400,8400.00
2012-06-20,8290.00,8320.00,8250.00,8320.00,850600,8320.00
2012-06-19,8160.00,8290.00,8160.00,8290.00,659200,8290.00
2012-06-18,8260.00,8320.00,8210.00,8270.00,1277100,8270.00
2012-06-15,8340.00,8340.00,8000.00,8000.00,5182800,8000.00
2012-06-14,8290.00,8340.00,8170.00,8320.00,1787500,8320.00
2012-06-13,8360.00,8370.00,8280.00,8310.00,780200,8310.00
2012-06-12,8250.00,8320.00,8220.00,8320.00,558700,8320.00
2012-06-11,8380.00,8460.00,8340.00,8400.00,1124000,8400.00
2012-06-08,8310.00,8390.00,8300.00,8370.00,1171700,8370.00
2012-06-07,8250.00,8450.00,8200.00,8420.00,1381400,8420.00
2012-06-06,8140.00,8140.00,8140.00,8140.00,000,8140.00
2012-06-05,8010.00,8160.00,8010.00,8140.00,733100,8140.00
2012-06-04,7940.00,8120.00,7940.00,8120.00,1329300,8120.00
2012-06-01,8110.00,8190.00,8080.00,8180.00,764900,8180.00
2012-05-31,8090.00,8210.00,8010.00,8210.00,777900,8210.00
2012-05-30,8140.00,8190.00,8020.00,8190.00,706600,8190.00
2012-05-29,8200.00,8270.00,8120.00,8190.00,801300,8190.00
2012-05-28,8280.00,8280.00,8280.00,8280.00,000,8280.00
2012-05-25,8250.00,8300.00,8250.00,8280.00,1073700,8280.00
2012-05-24,8250.00,8310.00,8150.00,8290.00,514500,8290.00
2012-05-23,8030.00,8250.00,8000.00,8250.00,856100,8250.00
2012-05-22,8000.00,8130.00,7840.00,8130.00,949700,8130.00
