Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,75100.00,75100.00,75100.00,75100.00,000,75100.00
2012-12-28,73700.00,75100.00,73500.00,75100.00,209600,75100.00
2012-12-27,70400.00,74200.00,70400.00,74200.00,246500,74200.00
2012-12-26,70100.00,71600.00,69900.00,71200.00,257600,71200.00
2012-12-25,69800.00,69800.00,69800.00,69800.00,000,69800.00
2012-12-24,73000.00,73000.00,69000.00,69800.00,775200,69800.00
2012-12-21,77000.00,77000.00,72500.00,73400.00,433200,73400.00
2012-12-20,77000.00,77200.00,76000.00,76200.00,194000,76200.00
2012-12-19,76000.00,76000.00,76000.00,76000.00,000,76000.00
2012-12-18,76200.00,77000.00,75000.00,76000.00,270200,76000.00
2012-12-17,74900.00,76600.00,73700.00,75500.00,337000,75500.00
2012-12-14,75500.00,76800.00,74200.00,74300.00,286700,74300.00
2012-12-13,74900.00,75900.00,74300.00,75500.00,280700,75500.00
2012-12-12,74200.00,75200.00,72800.00,74200.00,245100,74200.00
2012-12-11,77700.00,78000.00,74200.00,74200.00,368600,74200.00
2012-12-10,74200.00,77300.00,74000.00,77100.00,419800,77100.00
2012-12-07,80000.00,81200.00,72600.00,75300.00,966300,75300.00
2012-12-06,80800.00,81700.00,77600.00,78600.00,424000,78600.00
2012-12-05,81600.00,81700.00,80400.00,80900.00,157500,80900.00
2012-12-04,81800.00,83700.00,81300.00,81900.00,366100,81900.00
2012-12-03,79500.00,81500.00,78100.00,81300.00,363400,81300.00
2012-11-30,78100.00,79100.00,76800.00,78400.00,411200,78400.00
2012-11-29,77700.00,78700.00,76000.00,77600.00,282000,77600.00
2012-11-28,78600.00,79300.00,77100.00,77400.00,357500,77400.00
2012-11-27,81200.00,82700.00,78800.00,79300.00,338000,79300.00
2012-11-26,81000.00,82100.00,79300.00,80700.00,233700,80700.00
2012-11-23,81000.00,81700.00,79600.00,80800.00,296100,80800.00
2012-11-22,85000.00,85000.00,79600.00,81400.00,714400,81400.00
2012-11-21,82500.00,84500.00,81400.00,84200.00,261900,84200.00
2012-11-20,86300.00,87000.00,81500.00,82200.00,516000,82200.00
2012-11-19,82300.00,85900.00,81400.00,85400.00,264900,85400.00
2012-11-16,82400.00,83400.00,81500.00,81600.00,175500,81600.00
2012-11-15,81900.00,85100.00,81500.00,82900.00,278800,82900.00
2012-11-14,83700.00,84400.00,81100.00,83000.00,451000,83000.00
2012-11-13,86800.00,86800.00,84200.00,84300.00,183900,84300.00
2012-11-12,86300.00,87400.00,85000.00,86000.00,255300,86000.00
2012-11-09,84400.00,86900.00,83800.00,86000.00,291100,86000.00
2012-11-08,83400.00,86400.00,82700.00,85500.00,671700,85500.00
2012-11-07,81500.00,86000.00,80500.00,83900.00,718500,83900.00
2012-11-06,81200.00,81700.00,79500.00,80800.00,257900,80800.00
2012-11-05,78700.00,81200.00,77500.00,80900.00,376800,80900.00
2012-11-02,82200.00,82500.00,79300.00,79300.00,450600,79300.00
2012-11-01,77400.00,82000.00,76200.00,82000.00,580900,82000.00
2012-10-31,74800.00,77200.00,73200.00,76600.00,266700,76600.00
2012-10-30,74800.00,76400.00,72000.00,73800.00,376400,73800.00
2012-10-29,78200.00,78400.00,72700.00,74600.00,403000,74600.00
2012-10-26,79800.00,79800.00,75600.00,77600.00,350400,77600.00
2012-10-25,79100.00,79500.00,76700.00,79300.00,462400,79300.00
2012-10-24,77300.00,78900.00,76700.00,78700.00,370300,78700.00
2012-10-23,75300.00,78000.00,74600.00,78000.00,442200,78000.00
2012-10-22,70800.00,75100.00,69300.00,74500.00,555200,74500.00
2012-10-19,69400.00,72600.00,69100.00,72300.00,583500,72300.00
2012-10-18,73200.00,73500.00,67500.00,68600.00,771800,68600.00
2012-10-17,76200.00,76900.00,72300.00,72700.00,491900,72700.00
2012-10-16,77800.00,77800.00,74200.00,75600.00,283000,75600.00
2012-10-15,73700.00,77200.00,71200.00,76200.00,681400,76200.00
2012-10-12,78000.00,78200.00,74300.00,74500.00,371700,74500.00
2012-10-11,78800.00,79400.00,75500.00,77500.00,477400,77500.00
2012-10-10,78600.00,80100.00,78500.00,79100.00,258700,79100.00
2012-10-09,79900.00,81500.00,78200.00,80000.00,349200,80000.00
2012-10-08,77500.00,80500.00,77100.00,79900.00,431900,79900.00
2012-10-05,76500.00,77600.00,75400.00,76600.00,349200,76600.00
2012-10-04,72900.00,76900.00,72500.00,76000.00,552600,76000.00
2012-10-03,71700.00,71700.00,71700.00,71700.00,000,71700.00
2012-10-02,72400.00,72700.00,70300.00,71700.00,212200,71700.00
2012-10-01,71800.00,71800.00,71800.00,71800.00,000,71800.00
2012-09-28,72300.00,74700.00,71400.00,71800.00,390000,71800.00
2012-09-27,70400.00,72000.00,69900.00,72000.00,271900,72000.00
2012-09-26,71500.00,74100.00,69200.00,70700.00,647200,70700.00
2012-09-25,77300.00,77400.00,71900.00,72900.00,618800,72900.00
2012-09-24,73900.00,77600.00,72200.00,76500.00,518600,76500.00
2012-09-21,70000.00,73800.00,69200.00,73700.00,433900,73700.00
2012-09-20,70600.00,71100.00,69100.00,69900.00,230700,69900.00
2012-09-19,68600.00,72000.00,68600.00,69900.00,483600,69900.00
2012-09-18,65400.00,69800.00,65200.00,68400.00,504500,68400.00
2012-09-17,62000.00,65800.00,61400.00,65500.00,439900,65500.00
2012-09-14,64000.00,64800.00,61800.00,62400.00,361600,62400.00
2012-09-13,61300.00,64300.00,60500.00,62900.00,511900,62900.00
2012-09-12,57500.00,62000.00,57500.00,61000.00,564200,61000.00
2012-09-11,55900.00,58300.00,55700.00,58000.00,522100,58000.00
2012-09-10,59400.00,59900.00,55800.00,56000.00,699700,56000.00
2012-09-07,61200.00,62400.00,59600.00,60100.00,382600,60100.00
2012-09-06,61000.00,61200.00,59300.00,60900.00,257800,60900.00
2012-09-05,58600.00,60300.00,57500.00,60200.00,270600,60200.00
2012-09-04,59800.00,61300.00,58300.00,58800.00,234100,58800.00
2012-09-03,57100.00,59500.00,55700.00,58600.00,266400,58600.00
2012-08-31,58600.00,59600.00,56700.00,57000.00,249700,57000.00
2012-08-30,56600.00,59700.00,56500.00,58900.00,325200,58900.00
2012-08-29,57400.00,57600.00,56000.00,57000.00,180300,57000.00
2012-08-28,57000.00,57600.00,55700.00,57000.00,273900,57000.00
2012-08-27,56200.00,58200.00,56100.00,57700.00,312200,57700.00
2012-08-24,59000.00,59000.00,56000.00,56200.00,508200,56200.00
2012-08-23,59900.00,60100.00,58300.00,59500.00,314400,59500.00
2012-08-22,56600.00,59600.00,56300.00,59500.00,313900,59500.00
2012-08-21,56200.00,57000.00,55400.00,56600.00,246400,56600.00
