Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1098.00,1098.00,1098.00,1098.00,000,219.60
2012-12-28,1048.00,1178.00,1030.00,1098.00,50100,219.60
2012-12-27,1068.00,1068.00,1034.00,1040.00,12600,208.00
2012-12-26,1020.00,1058.00,1020.00,1046.00,16700,209.20
2012-12-25,1024.00,1024.00,1024.00,1024.00,000,204.80
2012-12-24,1002.00,1056.00,1002.00,1024.00,23300,204.80
2012-12-21,1034.00,1078.00,1000.00,1002.00,53900,200.40
2012-12-20,1058.00,1058.00,1034.00,1034.00,12300,206.80
2012-12-19,1032.00,1032.00,1032.00,1032.00,000,206.40
2012-12-18,1040.00,1080.00,1028.00,1032.00,23400,206.40
2012-12-17,1078.00,1078.00,1026.00,1040.00,12900,208.00
2012-12-14,1044.00,1068.00,1038.00,1048.00,24300,209.60
2012-12-13,1072.00,1116.00,1012.00,1044.00,134300,208.80
2012-12-12,1084.00,1122.00,1084.00,1088.00,55300,217.60
2012-12-11,1066.00,1158.00,1066.00,1104.00,93500,220.80
2012-12-10,1060.00,1096.00,1050.00,1096.00,79600,219.20
2012-12-07,1088.00,1088.00,1038.00,1058.00,74900,211.60
2012-12-06,1024.00,1078.00,1024.00,1064.00,61400,212.80
2012-12-05,1010.00,1046.00,1004.00,1024.00,133200,204.80
2012-12-04,1038.00,1072.00,1014.00,1014.00,70600,202.80
2012-12-03,1068.00,1068.00,1036.00,1048.00,73400,209.60
2012-11-30,1112.00,1114.00,1066.00,1070.00,65500,214.00
2012-11-29,1090.00,1114.00,1068.00,1094.00,89500,218.80
2012-11-28,1112.00,1140.00,1080.00,1090.00,106400,218.00
2012-11-27,1006.00,1146.00,1006.00,1112.00,211700,222.40
2012-11-26,1004.00,1034.00,1000.00,1020.00,60600,204.00
2012-11-23,1000.00,1030.00,1000.00,1020.00,76500,204.00
2012-11-22,970.00,1040.00,961.00,1010.00,172000,202.00
2012-11-21,966.00,983.00,957.00,970.00,10800,194.00
2012-11-20,951.00,1030.00,951.00,980.00,41200,196.00
2012-11-19,958.00,971.00,946.00,961.00,28400,192.20
2012-11-16,974.00,977.00,934.00,955.00,38100,191.00
2012-11-15,961.00,1000.00,916.00,974.00,46700,194.80
2012-11-14,926.00,994.00,926.00,970.00,61200,194.00
2012-11-13,926.00,960.00,907.00,953.00,19000,190.60
2012-11-12,932.00,953.00,930.00,933.00,8700,186.60
2012-11-09,950.00,950.00,922.00,928.00,5300,185.60
2012-11-08,930.00,954.00,910.00,939.00,12600,187.80
2012-11-07,931.00,977.00,921.00,934.00,21900,186.80
2012-11-06,938.00,970.00,916.00,950.00,19300,190.00
2012-11-05,950.00,956.00,928.00,934.00,6800,186.80
2012-11-02,978.00,978.00,936.00,954.00,20200,190.80
2012-11-01,959.00,959.00,936.00,945.00,28900,189.00
2012-10-31,959.00,959.00,922.00,940.00,7900,188.00
2012-10-30,907.00,968.00,901.00,917.00,27300,183.40
2012-10-29,901.00,944.00,901.00,907.00,31600,181.40
2012-10-26,912.00,930.00,894.00,926.00,147700,185.20
2012-10-25,968.00,968.00,884.00,920.00,216700,184.00
2012-10-24,959.00,978.00,940.00,946.00,121600,189.20
2012-10-23,978.00,1038.00,941.00,975.00,181300,195.00
2012-10-22,980.00,983.00,936.00,978.00,81700,195.60
2012-10-19,974.00,1000.00,961.00,983.00,70200,196.60
2012-10-18,1004.00,1020.00,974.00,975.00,124600,195.00
2012-10-17,1040.00,1042.00,1008.00,1020.00,79100,204.00
2012-10-16,1026.00,1064.00,983.00,1026.00,109800,205.20
2012-10-15,1026.00,1048.00,1022.00,1022.00,77900,204.40
2012-10-12,1038.00,1076.00,1028.00,1042.00,66600,208.40
