Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,42550.00,42550.00,42550.00,42550.00,000,42550.00
2012-12-28,42550.00,42950.00,42150.00,42550.00,68700,42550.00
2012-12-27,41400.00,42500.00,40800.00,42500.00,63500,42500.00
2012-12-26,41200.00,42050.00,40800.00,41400.00,86800,41400.00
2012-12-25,40950.00,40950.00,40950.00,40950.00,000,40950.00
2012-12-24,42350.00,42800.00,40550.00,40950.00,99500,40950.00
2012-12-21,43000.00,43000.00,41450.00,41900.00,111000,41900.00
2012-12-20,41700.00,42900.00,41200.00,42500.00,138200,42500.00
2012-12-19,41450.00,41450.00,41450.00,41450.00,000,41450.00
2012-12-18,40450.00,41650.00,40350.00,41450.00,140400,41450.00
2012-12-17,40900.00,41350.00,39800.00,39950.00,89600,39950.00
2012-12-14,41650.00,41650.00,40500.00,40800.00,79400,40800.00
2012-12-13,40200.00,41500.00,39800.00,41500.00,237800,41500.00
2012-12-12,40050.00,41000.00,40000.00,40750.00,197000,40750.00
2012-12-11,38000.00,39850.00,37800.00,39600.00,171300,39600.00
2012-12-10,38650.00,39050.00,37750.00,37800.00,75700,37800.00
2012-12-07,39100.00,39450.00,38350.00,39050.00,118400,39050.00
2012-12-06,39050.00,39200.00,38450.00,38900.00,69800,38900.00
2012-12-05,38450.00,39500.00,38050.00,39350.00,75000,39350.00
2012-12-04,38300.00,39400.00,38300.00,38450.00,36200,38450.00
2012-12-03,39400.00,39400.00,38850.00,38900.00,54300,38900.00
2012-11-30,38550.00,39350.00,38400.00,39350.00,115700,39350.00
2012-11-29,38300.00,39000.00,37950.00,39000.00,85500,39000.00
2012-11-28,37900.00,38200.00,36600.00,38200.00,74400,38200.00
2012-11-27,37400.00,38050.00,37050.00,37600.00,89000,37600.00
2012-11-26,36600.00,37350.00,36350.00,37200.00,44700,37200.00
2012-11-23,36850.00,37200.00,36350.00,36550.00,59900,36550.00
2012-11-22,36700.00,37250.00,36250.00,37100.00,78000,37100.00
2012-11-21,36450.00,36750.00,35700.00,36250.00,58100,36250.00
2012-11-20,36400.00,36450.00,35600.00,36450.00,98100,36450.00
2012-11-19,35250.00,36000.00,35100.00,35800.00,104400,35800.00
