Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,52800.00,52800.00,52800.00,52800.00,000,52800.00
2012-12-28,51600.00,53400.00,51400.00,52800.00,33700,52800.00
2012-12-27,52100.00,52300.00,51000.00,51000.00,32200,51000.00
2012-12-26,49100.00,52800.00,49100.00,52100.00,54700,52100.00
2012-12-25,50600.00,50600.00,50600.00,50600.00,000,50600.00
2012-12-24,52200.00,52600.00,50600.00,50600.00,48500,50600.00
2012-12-21,54400.00,55200.00,52100.00,52500.00,60400,52500.00
2012-12-20,52200.00,54600.00,50200.00,54400.00,81400,54400.00
2012-12-19,51800.00,51800.00,51800.00,51800.00,000,51800.00
2012-12-18,55200.00,56600.00,51500.00,51800.00,113700,51800.00
2012-12-17,55700.00,57200.00,54700.00,55000.00,88300,55000.00
2012-12-14,53100.00,56200.00,52600.00,56200.00,66900,56200.00
2012-12-13,53200.00,54200.00,52100.00,54000.00,72300,54000.00
2012-12-12,51900.00,53700.00,51400.00,52500.00,77400,52500.00
2012-12-11,49000.00,50800.00,49000.00,50700.00,46400,50700.00
2012-12-10,48500.00,50900.00,47700.00,48750.00,44700,48750.00
2012-12-07,49700.00,50500.00,47500.00,48500.00,59100,48500.00
2012-12-06,46500.00,50400.00,46500.00,48900.00,84600,48900.00
2012-12-05,44700.00,46950.00,44150.00,46500.00,66500,46500.00
2012-12-04,43000.00,44700.00,42000.00,44550.00,31900,44550.00
2012-12-03,43350.00,44750.00,42900.00,43400.00,38300,43400.00
2012-11-30,43000.00,43500.00,42500.00,43350.00,25200,43350.00
2012-11-29,42100.00,43500.00,41800.00,43000.00,58800,43000.00
2012-11-28,41700.00,43100.00,41200.00,41700.00,49500,41700.00
2012-11-27,38250.00,42400.00,38250.00,42100.00,73000,42100.00
2012-11-26,39500.00,39600.00,38350.00,38350.00,60200,38350.00
2012-11-23,41950.00,41950.00,39350.00,39400.00,59900,39400.00
2012-11-22,42200.00,43100.00,41450.00,41450.00,26000,41450.00
2012-11-21,41800.00,43200.00,41800.00,41850.00,16600,41850.00
2012-11-20,42550.00,43600.00,41600.00,41800.00,29100,41800.00
