Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,405000.00,405000.00,405000.00,405000.00,000,405000.00
2012-12-28,399000.00,407500.00,396000.00,405000.00,65600,405000.00
2012-12-27,392000.00,403000.00,387500.00,400000.00,78200,400000.00
2012-12-26,393000.00,397000.00,390000.00,392000.00,58700,392000.00
2012-12-25,395500.00,395500.00,395500.00,395500.00,000,395500.00
2012-12-24,386500.00,395500.00,385500.00,395500.00,67300,395500.00
2012-12-21,394500.00,398500.00,381000.00,383500.00,204300,383500.00
2012-12-20,408500.00,408500.00,394000.00,402500.00,137100,402500.00
2012-12-19,412000.00,412000.00,412000.00,412000.00,000,412000.00
2012-12-18,408000.00,412000.00,404000.00,412000.00,73100,412000.00
2012-12-17,398500.00,407500.00,394500.00,401000.00,107500,401000.00
2012-12-14,418500.00,418500.00,400500.00,402000.00,193900,402000.00
2012-12-13,439000.00,439000.00,415500.00,419500.00,206700,419500.00
2012-12-12,437000.00,443000.00,433500.00,436000.00,46400,436000.00
2012-12-11,431500.00,434500.00,427000.00,434000.00,41400,434000.00
2012-12-10,427000.00,436500.00,427000.00,431000.00,51600,431000.00
2012-12-07,434000.00,439000.00,424500.00,427000.00,68200,427000.00
2012-12-06,439000.00,445500.00,434500.00,434500.00,47300,434500.00
2012-12-05,425000.00,443000.00,425000.00,443000.00,73500,443000.00
2012-12-04,438000.00,440000.00,430500.00,434000.00,23600,434000.00
2012-12-03,435500.00,439000.00,432000.00,437500.00,27300,437500.00
2012-11-30,446000.00,446000.00,436500.00,436500.00,41000,436500.00
2012-11-29,437000.00,442000.00,434500.00,441000.00,37300,441000.00
2012-11-28,445000.00,445000.00,434000.00,434000.00,48500,434000.00
2012-11-27,439000.00,452000.00,434500.00,449500.00,55000,449500.00
2012-11-26,445500.00,447000.00,434500.00,437000.00,47600,437000.00
2012-11-23,432000.00,442000.00,430500.00,439000.00,50900,439000.00
2012-11-22,437500.00,441500.00,432000.00,435500.00,56400,435500.00
2012-11-21,435500.00,439500.00,427000.00,429000.00,46500,429000.00
2012-11-20,426000.00,435000.00,424000.00,435000.00,70300,435000.00
2012-11-19,425000.00,431500.00,415000.00,416500.00,60000,416500.00
2012-11-16,417000.00,428000.00,414500.00,423000.00,47000,423000.00
2012-11-15,427500.00,433000.00,417500.00,418000.00,86600,418000.00
2012-11-14,443500.00,447000.00,428500.00,431000.00,53700,431000.00
2012-11-13,454500.00,455000.00,438000.00,439000.00,31400,439000.00
2012-11-12,459000.00,459500.00,448500.00,451000.00,26000,451000.00
2012-11-09,450000.00,458000.00,442500.00,454500.00,54500,454500.00
2012-11-08,458000.00,473500.00,445500.00,448500.00,81000,448500.00
2012-11-07,454000.00,466500.00,448500.00,465000.00,72200,465000.00
2012-11-06,424000.00,446000.00,424000.00,446000.00,67200,446000.00
2012-11-05,427500.00,428500.00,423500.00,424000.00,62700,424000.00
2012-11-02,449500.00,451000.00,436000.00,438000.00,44600,438000.00
2012-11-01,453000.00,453000.00,433000.00,446000.00,48600,446000.00
2012-10-31,430000.00,450000.00,421500.00,448000.00,95600,448000.00
2012-10-30,456000.00,457000.00,443000.00,443000.00,41100,443000.00
2012-10-29,439500.00,456000.00,439500.00,456000.00,38800,456000.00
2012-10-26,435000.00,447000.00,435000.00,439500.00,49300,439500.00
2012-10-25,445500.00,451000.00,429000.00,435000.00,93700,435000.00
2012-10-24,446000.00,455500.00,444500.00,450000.00,36600,450000.00
2012-10-23,458500.00,464000.00,450000.00,450000.00,28800,450000.00
2012-10-22,447500.00,458500.00,446500.00,454500.00,35000,454500.00
2012-10-19,456500.00,461500.00,451500.00,458000.00,32200,458000.00
2012-10-18,461000.00,464000.00,451500.00,458500.00,41400,458500.00
2012-10-17,464500.00,467000.00,457500.00,459500.00,42300,459500.00
2012-10-16,450500.00,463500.00,446500.00,461000.00,53700,461000.00
2012-10-15,476000.00,477000.00,442500.00,445000.00,121500,445000.00
2012-10-12,465000.00,483500.00,465000.00,479000.00,51900,479000.00
2012-10-11,460500.00,470000.00,456500.00,470000.00,70800,470000.00
2012-10-10,470500.00,472000.00,460500.00,464000.00,87500,464000.00
2012-10-09,491000.00,492000.00,475500.00,476000.00,65500,476000.00
2012-10-08,488000.00,494000.00,482500.00,490000.00,45800,490000.00
2012-10-05,492500.00,505000.00,485500.00,488000.00,77300,488000.00
2012-10-04,486500.00,491500.00,478500.00,487000.00,62900,487000.00
2012-10-03,486500.00,486500.00,486500.00,486500.00,000,486500.00
2012-10-02,487000.00,491500.00,481500.00,486500.00,33200,486500.00
2012-10-01,488500.00,488500.00,488500.00,488500.00,000,488500.00
2012-09-28,475500.00,490000.00,474000.00,488500.00,94800,488500.00
2012-09-27,444000.00,474000.00,443500.00,474000.00,106700,474000.00
2012-09-26,456000.00,461500.00,443000.00,449000.00,95700,449000.00
2012-09-25,470000.00,476500.00,456500.00,460000.00,79600,460000.00
2012-09-24,481000.00,484000.00,470000.00,475000.00,43100,475000.00
2012-09-21,478500.00,482000.00,473500.00,480500.00,35100,480500.00
2012-09-20,480000.00,482500.00,475000.00,475000.00,45000,475000.00
2012-09-19,485000.00,492500.00,478000.00,479500.00,68200,479500.00
2012-09-18,474000.00,489000.00,470000.00,485000.00,102400,485000.00
2012-09-17,466000.00,486000.00,465500.00,481000.00,147800,481000.00
2012-09-14,459000.00,475000.00,455500.00,464500.00,182800,464500.00
