Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,42800.00,42800.00,42800.00,42800.00,000,42800.00
2012-12-28,42900.00,43150.00,42750.00,42800.00,10200,42800.00
2012-12-27,43600.00,44050.00,42850.00,43100.00,11100,43100.00
2012-12-26,43850.00,44450.00,43500.00,44050.00,11300,43190.00
2012-12-25,44100.00,44100.00,44100.00,44100.00,000,43239.02
2012-12-24,44250.00,44400.00,44050.00,44100.00,10300,43239.02
2012-12-21,44700.00,44850.00,44350.00,44750.00,10200,43876.33
2012-12-20,44150.00,44850.00,43650.00,44700.00,16500,43827.31
2012-12-19,44600.00,44600.00,44600.00,44600.00,000,43729.26
2012-12-18,45000.00,45550.00,43350.00,44600.00,19300,43729.26
2012-12-17,44750.00,45500.00,44300.00,45000.00,10900,44121.45
2012-12-14,44900.00,45000.00,44300.00,45000.00,12600,44121.45
2012-12-13,44500.00,44900.00,44300.00,44800.00,26000,43925.36
2012-12-12,43850.00,44600.00,43850.00,44200.00,14400,43337.07
2012-12-11,43150.00,43800.00,43150.00,43450.00,8100,42601.71
2012-12-10,42000.00,48150.00,42000.00,43050.00,16800,42209.52
2012-12-07,41300.00,42550.00,41300.00,41900.00,9200,41081.98
2012-12-06,40850.00,41650.00,40550.00,41600.00,10200,40787.83
2012-12-05,40900.00,41250.00,40650.00,40700.00,4700,39905.40
2012-12-04,41050.00,41300.00,40500.00,40800.00,8600,40003.45
2012-12-03,41900.00,42000.00,41050.00,41050.00,6200,40248.57
2012-11-30,41050.00,41850.00,41050.00,41850.00,6800,41032.95
2012-11-29,40800.00,41250.00,40750.00,41050.00,6500,40248.57
2012-11-28,39950.00,40750.00,39700.00,40400.00,9600,39611.26
2012-11-27,40050.00,40250.00,39900.00,40050.00,6400,39268.09
2012-11-26,38800.00,40100.00,38800.00,40050.00,9800,39268.09
2012-11-23,39550.00,39600.00,38950.00,39150.00,17000,38385.66
2012-11-22,39750.00,40200.00,39550.00,39550.00,7400,38777.85
2012-11-21,40250.00,40300.00,39250.00,39250.00,27400,38483.71
2012-11-20,41150.00,41400.00,40200.00,40300.00,13300,39513.21
2012-11-19,40550.00,41400.00,40300.00,40950.00,6300,40150.52
2012-11-16,39600.00,40450.00,39600.00,40300.00,10700,39513.21
2012-11-15,40650.00,40750.00,39750.00,40000.00,14300,39219.07
2012-11-14,41050.00,41200.00,40750.00,40950.00,6200,40150.52
2012-11-13,42350.00,42350.00,40800.00,41050.00,9600,40248.57
2012-11-12,41900.00,42450.00,41550.00,41650.00,10300,40836.86
2012-11-09,42650.00,42650.00,41700.00,42100.00,13800,41278.07
2012-11-08,43600.00,43900.00,42600.00,42950.00,16000,42111.48
