Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,21450.00,21450.00,21450.00,21450.00,000,21450.00
2012-12-28,21050.00,21550.00,21000.00,21450.00,28300,21450.00
2012-12-27,22300.00,22300.00,21100.00,21300.00,53100,21300.00
2012-12-26,22400.00,22600.00,22350.00,22400.00,15400,22400.00
2012-12-25,22550.00,22550.00,22550.00,22550.00,000,22550.00
2012-12-24,22800.00,22800.00,22450.00,22550.00,8600,22550.00
2012-12-21,22650.00,23000.00,22300.00,22750.00,9300,22750.00
2012-12-20,22900.00,23150.00,22500.00,22900.00,15000,22900.00
2012-12-19,23150.00,23150.00,23150.00,23150.00,000,23150.00
2012-12-18,23350.00,23550.00,22850.00,23150.00,20400,23150.00
2012-12-17,23700.00,23750.00,23450.00,23450.00,12100,23450.00
2012-12-14,24000.00,24000.00,23400.00,23800.00,14200,23800.00
2012-12-13,23600.00,24100.00,23550.00,23750.00,17800,23750.00
2012-12-12,23450.00,23850.00,22950.00,23800.00,32300,23800.00
2012-12-11,23050.00,23450.00,22950.00,23100.00,15700,23100.00
2012-12-10,23800.00,23900.00,23200.00,23200.00,20200,23200.00
2012-12-07,23700.00,23900.00,23500.00,23700.00,15200,23700.00
2012-12-06,23600.00,23700.00,23050.00,23700.00,26800,23700.00
2012-12-05,23100.00,23600.00,22900.00,23350.00,15900,23350.00
2012-12-04,23000.00,23350.00,22400.00,23350.00,21100,23350.00
2012-12-03,23500.00,23650.00,22850.00,23050.00,18100,23050.00
2012-11-30,22700.00,23600.00,22700.00,23150.00,36500,23150.00
2012-11-29,23000.00,23150.00,22550.00,22850.00,31500,22850.00
2012-11-28,22000.00,22900.00,21750.00,22900.00,28900,22900.00
2012-11-27,22250.00,22500.00,21950.00,22100.00,26400,22100.00
2012-11-26,22950.00,23000.00,22250.00,22250.00,33100,22250.00
2012-11-23,22900.00,23250.00,22650.00,22700.00,28000,22700.00
2012-11-22,23050.00,23350.00,21950.00,22900.00,88200,22900.00
2012-11-21,24650.00,24800.00,22800.00,22950.00,53500,22950.00
2012-11-20,24850.00,25100.00,24300.00,24550.00,25100,24550.00
2012-11-19,25250.00,25450.00,24500.00,24500.00,26300,24500.00
2012-11-16,26150.00,26150.00,24850.00,25250.00,19300,25250.00
2012-11-15,25300.00,26300.00,25000.00,26150.00,23800,26150.00
2012-11-14,26350.00,26700.00,25300.00,25450.00,19800,25450.00
2012-11-13,26850.00,27250.00,26300.00,26300.00,8900,26300.00
2012-11-12,26600.00,27300.00,26600.00,26850.00,7200,26850.00
2012-11-09,27300.00,27350.00,26550.00,27000.00,11700,27000.00
2012-11-08,26100.00,27400.00,25800.00,27300.00,26400,27300.00
2012-11-07,27550.00,27550.00,26650.00,26650.00,11000,26650.00
2012-11-06,26750.00,27700.00,26550.00,27250.00,17000,27250.00
2012-11-05,27600.00,27650.00,26500.00,26950.00,14900,26950.00
2012-11-02,27700.00,27700.00,27000.00,27600.00,16300,27600.00
2012-11-01,27500.00,27500.00,26700.00,27200.00,26800,27200.00
2012-10-31,26600.00,27750.00,26450.00,27500.00,29300,27500.00
2012-10-30,26050.00,26900.00,25900.00,26600.00,24300,26600.00
2012-10-29,27000.00,27000.00,26050.00,26300.00,22400,26300.00
2012-10-26,27600.00,27950.00,26300.00,27000.00,33200,27000.00
2012-10-25,27050.00,27800.00,27000.00,27600.00,18600,27600.00
2012-10-24,27800.00,28000.00,26900.00,26950.00,27200,26950.00
2012-10-23,27800.00,28250.00,27450.00,28150.00,49400,28150.00
2012-10-22,27100.00,28200.00,27100.00,28000.00,28900,28000.00
2012-10-19,27200.00,27850.00,26650.00,27450.00,31900,27450.00
2012-10-18,28000.00,28350.00,27300.00,27450.00,26100,27450.00
2012-10-17,28000.00,28350.00,27550.00,28000.00,43900,28000.00
2012-10-16,27250.00,28350.00,26900.00,27800.00,89000,27800.00
