Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,10885.00,10885.00,10885.00,10885.00,000,76195.00
2012-12-28,10430.00,11375.00,10220.00,10885.00,42100,76195.00
2012-12-27,10220.00,10640.00,10220.00,10395.00,12900,72765.00
2012-12-26,11130.00,11130.00,9275.00,10220.00,45400,71540.00
2012-12-25,10850.00,10850.00,10850.00,10850.00,000,75950.00
2012-12-24,11305.00,11445.00,10780.00,10850.00,24300,75950.00
2012-12-21,11025.00,11375.00,10745.00,11305.00,33300,79135.00
2012-12-20,10780.00,11165.00,10430.00,10920.00,34800,76440.00
2012-12-19,10920.00,10920.00,10920.00,10920.00,000,76440.00
2012-12-18,10675.00,10920.00,10290.00,10920.00,29000,76440.00
2012-12-17,10465.00,10920.00,10290.00,10675.00,133300,74725.00
2012-12-14,9555.00,11165.00,9380.00,11165.00,75400,78155.00
2012-12-13,10115.00,10500.00,9100.00,9730.00,149800,68110.00
2012-12-12,11550.00,11585.00,10010.00,10010.00,102000,70070.00
2012-12-11,13300.00,13545.00,11725.00,11760.00,26000,82320.00
2012-12-10,13300.00,13720.00,13300.00,13510.00,9800,94570.00
2012-12-07,13300.00,13405.00,13055.00,13300.00,5400,93100.00
2012-12-06,13090.00,13510.00,13090.00,13440.00,4300,94080.00
2012-12-05,13090.00,13335.00,12985.00,13125.00,4800,91875.00
2012-12-04,13370.00,13370.00,12985.00,13125.00,7400,91875.00
2012-12-03,14000.00,14175.00,13370.00,13370.00,10400,93590.00
2012-11-30,13615.00,14945.00,13440.00,14000.00,24900,98000.00
2012-11-29,13300.00,13580.00,13265.00,13440.00,5200,94080.00
2012-11-28,13510.00,13720.00,13300.00,13405.00,8400,93835.00
2012-11-27,13370.00,13720.00,13230.00,13720.00,6200,96040.00
2012-11-26,13335.00,13580.00,13125.00,13405.00,6200,93835.00
2012-11-23,13545.00,13545.00,13335.00,13370.00,5000,93590.00
2012-11-22,13300.00,13580.00,13230.00,13405.00,8600,93835.00
