Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,130500.00,130500.00,130500.00,130500.00,000,130500.00
2012-12-28,125500.00,130500.00,125000.00,130500.00,278700,130500.00
2012-12-27,124500.00,127000.00,124500.00,126000.00,98400,126000.00
2012-12-26,124500.00,128000.00,124500.00,124500.00,113200,124500.00
2012-12-25,124500.00,124500.00,124500.00,124500.00,000,124500.00
2012-12-24,124500.00,125000.00,123000.00,124500.00,92500,124500.00
2012-12-21,129000.00,129000.00,123500.00,125500.00,236900,125500.00
2012-12-20,127500.00,130000.00,127000.00,127500.00,233300,127500.00
2012-12-19,126500.00,126500.00,126500.00,126500.00,000,126500.00
2012-12-18,124500.00,128000.00,124000.00,126500.00,280300,126500.00
2012-12-17,126000.00,126500.00,122500.00,122500.00,199600,122500.00
2012-12-14,126000.00,126500.00,121500.00,126000.00,304800,126000.00
2012-12-13,125000.00,128000.00,124000.00,126000.00,196300,126000.00
2012-12-12,127000.00,127500.00,122500.00,126000.00,299000,126000.00
2012-12-11,119000.00,126500.00,119000.00,126000.00,505800,126000.00
2012-12-10,120000.00,121000.00,116000.00,117500.00,182300,117500.00
2012-12-07,120000.00,122000.00,117500.00,119500.00,221300,119500.00
2012-12-06,117000.00,122000.00,116000.00,119500.00,408700,119500.00
2012-12-05,113000.00,117000.00,111500.00,116000.00,289600,116000.00
2012-12-04,111000.00,115000.00,110000.00,113500.00,199500,113500.00
2012-12-03,112500.00,114000.00,110500.00,112000.00,114800,112000.00
2012-11-30,113000.00,116000.00,111000.00,112000.00,246700,112000.00
2012-11-29,109500.00,115500.00,109000.00,112500.00,488300,112500.00
2012-11-28,106000.00,109000.00,105500.00,107000.00,181000,107000.00
2012-11-27,100000.00,107000.00,99800.00,107000.00,327100,107000.00
2012-11-26,102000.00,102000.00,99100.00,99100.00,153100,99100.00
2012-11-23,101000.00,102000.00,98500.00,100500.00,91700,100500.00
2012-11-22,102000.00,102500.00,100500.00,101000.00,73700,101000.00
2012-11-21,103000.00,103500.00,99100.00,100500.00,172500,100500.00
2012-11-20,103500.00,104500.00,102500.00,102500.00,174900,102500.00
2012-11-19,98700.00,102500.00,98700.00,100500.00,172200,100500.00
2012-11-16,95600.00,100500.00,95600.00,97600.00,206900,97600.00
2012-11-15,96900.00,98800.00,95600.00,96800.00,373900,96800.00
2012-11-14,106000.00,106500.00,99100.00,100500.00,570500,100500.00
2012-11-13,109000.00,110000.00,104500.00,106000.00,166200,106000.00
2012-11-12,114500.00,114500.00,109000.00,109000.00,146800,109000.00
2012-11-09,112500.00,116500.00,112000.00,114500.00,136500,114500.00
2012-11-08,111500.00,114500.00,111000.00,114500.00,143700,114500.00
2012-11-07,115000.00,116000.00,113500.00,115000.00,128600,115000.00
2012-11-06,110000.00,114000.00,109500.00,113000.00,101300,113000.00
2012-11-05,110000.00,112000.00,109000.00,110500.00,91200,110500.00
