Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,13000.00,13000.00,13000.00,13000.00,000,13000.00
2012-12-28,12700.00,13100.00,12650.00,13000.00,253800,13000.00
2012-12-27,12900.00,12900.00,12650.00,12750.00,128100,12750.00
2012-12-26,13050.00,13100.00,12800.00,12800.00,159800,12800.00
2012-12-25,12850.00,12850.00,12850.00,12850.00,000,12850.00
2012-12-24,12850.00,12950.00,12700.00,12850.00,158100,12850.00
2012-12-21,13050.00,13050.00,12700.00,12700.00,182200,12700.00
2012-12-20,12900.00,13050.00,12750.00,12800.00,169900,12800.00
2012-12-19,13000.00,13000.00,13000.00,13000.00,000,13000.00
2012-12-18,12600.00,13000.00,12600.00,13000.00,214200,13000.00
2012-12-17,13100.00,13150.00,12500.00,12600.00,369600,12600.00
2012-12-14,12900.00,13250.00,12850.00,13100.00,391300,13100.00
2012-12-13,13150.00,13450.00,12750.00,12950.00,891300,12950.00
2012-12-12,13700.00,13800.00,13250.00,13250.00,349500,13250.00
2012-12-11,12950.00,13700.00,12950.00,13700.00,315400,13700.00
2012-12-10,13200.00,13450.00,12900.00,13000.00,197800,13000.00
2012-12-07,13300.00,13650.00,13050.00,13300.00,215600,13300.00
2012-12-06,13400.00,13700.00,13350.00,13400.00,254200,13400.00
2012-12-05,13200.00,13650.00,13150.00,13450.00,288500,13450.00
2012-12-04,13350.00,13500.00,13050.00,13200.00,146900,13200.00
2012-12-03,13600.00,13750.00,13350.00,13350.00,228300,13350.00
2012-11-30,13250.00,13500.00,13150.00,13450.00,132900,13450.00
2012-11-29,13150.00,13650.00,13100.00,13500.00,273400,13500.00
2012-11-28,13100.00,13200.00,12850.00,13100.00,76200,13100.00
2012-11-27,13000.00,13250.00,12950.00,13100.00,217800,13100.00
2012-11-26,12650.00,13150.00,12500.00,13000.00,230900,13000.00
2012-11-23,12200.00,12700.00,12200.00,12450.00,187800,12450.00
2012-11-22,12400.00,12500.00,12100.00,12250.00,140500,12250.00
2012-11-21,12400.00,12550.00,12200.00,12350.00,102000,12350.00
2012-11-20,12500.00,12550.00,12300.00,12500.00,126300,12500.00
2012-11-19,12550.00,12550.00,12200.00,12550.00,155200,12550.00
2012-11-16,12450.00,12600.00,12250.00,12400.00,232000,12400.00
2012-11-15,12600.00,12750.00,12350.00,12650.00,164100,12650.00
2012-11-14,12600.00,12700.00,12400.00,12650.00,107900,12650.00
2012-11-13,12600.00,12800.00,12350.00,12600.00,128400,12600.00
2012-11-12,12350.00,12600.00,12000.00,12600.00,198900,12600.00
2012-11-09,12350.00,12350.00,12050.00,12200.00,265000,12200.00
2012-11-08,12750.00,12800.00,12450.00,12450.00,275000,12450.00
2012-11-07,12850.00,13000.00,12600.00,13000.00,159800,13000.00
2012-11-06,12600.00,12800.00,12600.00,12800.00,89400,12800.00
2012-11-05,12900.00,13000.00,12550.00,12600.00,118700,12600.00
2012-11-02,12800.00,13000.00,12800.00,12800.00,199000,12800.00
2012-11-01,13100.00,13150.00,12500.00,12700.00,344900,12700.00
2012-10-31,12850.00,13200.00,12800.00,13150.00,218700,13150.00
2012-10-30,12900.00,13100.00,12700.00,12800.00,181300,12800.00
2012-10-29,13250.00,13300.00,12850.00,12850.00,269100,12850.00
2012-10-26,12800.00,13100.00,12700.00,13100.00,243900,13100.00
2012-10-25,12850.00,13050.00,12750.00,12800.00,160000,12800.00
2012-10-24,12950.00,13200.00,12850.00,12900.00,172800,12900.00
2012-10-23,13200.00,13250.00,13000.00,13000.00,147100,13000.00
2012-10-22,12500.00,13300.00,12450.00,13300.00,245500,13300.00
2012-10-19,13050.00,13350.00,12850.00,12850.00,318600,12850.00
2012-10-18,13150.00,13200.00,12900.00,13150.00,312000,13150.00
2012-10-17,13150.00,13350.00,12900.00,13050.00,339300,13050.00
2012-10-16,13200.00,13350.00,12950.00,13150.00,177700,13150.00
2012-10-15,13200.00,13400.00,12800.00,13100.00,397900,13100.00
2012-10-12,13650.00,13700.00,13250.00,13400.00,290400,13400.00
2012-10-11,13650.00,13900.00,13300.00,13550.00,361700,13550.00
2012-10-10,13850.00,14000.00,13600.00,13800.00,365600,13800.00
2012-10-09,14050.00,14200.00,13900.00,14100.00,272000,14100.00
2012-10-08,14400.00,14500.00,13900.00,14250.00,289800,14250.00
2012-10-05,14700.00,14900.00,14350.00,14400.00,298700,14400.00
2012-10-04,15100.00,15150.00,14600.00,14700.00,306000,14700.00
2012-10-03,15000.00,15000.00,15000.00,15000.00,000,15000.00
