Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,6040.00,6040.00,6040.00,6040.00,000,6040.00
2012-12-28,6100.00,6100.00,5930.00,6040.00,528900,6040.00
2012-12-27,5900.00,6130.00,5870.00,6080.00,762200,6080.00
2012-12-26,6050.00,6100.00,5950.00,5950.00,432600,5898.40
2012-12-25,6050.00,6050.00,6050.00,6050.00,000,5997.53
2012-12-24,5960.00,6050.00,5820.00,6050.00,681100,5997.53
2012-12-21,6200.00,6230.00,5940.00,5970.00,1004000,5918.23
2012-12-20,5930.00,6190.00,5850.00,6160.00,1672300,6106.58
2012-12-19,5870.00,5870.00,5870.00,5870.00,000,5819.09
2012-12-18,5990.00,6070.00,5760.00,5870.00,1510800,5819.09
2012-12-17,5830.00,5970.00,5800.00,5930.00,1406600,5878.57
2012-12-14,5680.00,5770.00,5640.00,5750.00,599300,5700.13
2012-12-13,5550.00,5720.00,5530.00,5700.00,783300,5650.57
2012-12-12,5640.00,5750.00,5410.00,5530.00,1068500,5482.04
2012-12-11,5800.00,6200.00,5540.00,5540.00,3859000,5491.96
2012-12-10,5350.00,5590.00,5350.00,5530.00,774000,5482.04
2012-12-07,5540.00,5640.00,5240.00,5340.00,1128200,5293.69
2012-12-06,5710.00,5790.00,5560.00,5560.00,479000,5511.78
2012-12-05,5740.00,5800.00,5660.00,5720.00,477700,5670.39
2012-12-04,5830.00,5890.00,5730.00,5740.00,564300,5690.22
2012-12-03,5580.00,5790.00,5530.00,5790.00,699400,5739.79
2012-11-30,5650.00,5790.00,5520.00,5560.00,569300,5511.78
2012-11-29,5810.00,5850.00,5690.00,5700.00,682300,5650.57
2012-11-28,5690.00,5820.00,5610.00,5800.00,816100,5749.70
2012-11-27,5750.00,6040.00,5560.00,5680.00,2348100,5630.74
2012-11-26,5280.00,5690.00,5280.00,5640.00,1134100,5591.09
2012-11-23,5460.00,5500.00,5200.00,5230.00,618500,5184.64
2012-11-22,5250.00,5440.00,5150.00,5440.00,628600,5392.82
2012-11-21,5140.00,5340.00,5100.00,5180.00,584100,5135.08
2012-11-20,5320.00,5400.00,5090.00,5090.00,621200,5045.86
2012-11-19,5420.00,5510.00,5200.00,5310.00,754800,5263.95
2012-11-16,5230.00,5350.00,4980.00,5350.00,955900,5303.60
2012-11-15,5430.00,5470.00,5200.00,5240.00,717200,5194.56
2012-11-14,5710.00,5840.00,5430.00,5500.00,1219300,5452.30
2012-11-13,6030.00,6030.00,5590.00,5700.00,1799000,5650.57
2012-11-12,5900.00,6330.00,5830.00,6010.00,4747800,5957.88
2012-11-09,5400.00,5770.00,5280.00,5710.00,2037000,5660.48
2012-11-08,5300.00,5700.00,5290.00,5440.00,2725900,5392.82
2012-11-07,5460.00,5570.00,5350.00,5410.00,1514400,5363.08
2012-11-06,5780.00,5860.00,5440.00,5440.00,2843100,5392.82
2012-11-05,5840.00,5890.00,5540.00,5690.00,2734800,5640.65
2012-11-02,6400.00,6500.00,5730.00,5800.00,6098500,5749.70
2012-11-01,5300.00,6040.00,5130.00,6040.00,3442400,5987.62
2012-10-31,4735.00,5300.00,4735.00,5260.00,1632100,5214.38
2012-10-30,4725.00,4825.00,4680.00,4770.00,112800,4728.63
2012-10-29,4725.00,4820.00,4590.00,4770.00,277100,4728.63
2012-10-26,4840.00,4900.00,4610.00,4760.00,237100,4718.72
2012-10-25,4930.00,4950.00,4780.00,4835.00,210000,4793.07
2012-10-24,4710.00,4950.00,4710.00,4875.00,315300,4832.72
2012-10-23,4780.00,4950.00,4780.00,4800.00,590500,4758.37
2012-10-22,4510.00,4720.00,4430.00,4705.00,288600,4664.20
2012-10-19,4685.00,4685.00,4550.00,4615.00,135600,4574.98
2012-10-18,4695.00,4770.00,4570.00,4685.00,268700,4644.37
2012-10-17,4660.00,4890.00,4620.00,4680.00,748200,4639.41
2012-10-16,4520.00,4635.00,4450.00,4595.00,254200,4555.15
2012-10-15,4455.00,4630.00,4410.00,4520.00,331100,4480.80
2012-10-12,4405.00,4535.00,4385.00,4445.00,340300,4406.45
2012-10-11,4310.00,4465.00,4305.00,4405.00,245900,4366.80
2012-10-10,4265.00,4370.00,4260.00,4325.00,104500,4287.49
2012-10-09,4255.00,4315.00,4255.00,4295.00,84500,4257.75
2012-10-08,4305.00,4305.00,4240.00,4275.00,51400,4237.93
2012-10-05,4240.00,4285.00,4230.00,4250.00,139600,4213.14
2012-10-04,4295.00,4350.00,4240.00,4255.00,118700,4218.10
2012-10-03,4290.00,4290.00,4290.00,4290.00,000,4252.80
2012-10-02,4305.00,4360.00,4290.00,4290.00,92700,4252.80
2012-10-01,4335.00,4335.00,4335.00,4335.00,000,4297.41
2012-09-28,4280.00,4360.00,4280.00,4335.00,42100,4297.41
2012-09-27,4340.00,4370.00,4260.00,4285.00,93000,4247.84
2012-09-26,4330.00,4400.00,4325.00,4340.00,46100,4302.36
2012-09-25,4395.00,4425.00,4305.00,4385.00,107500,4346.97
2012-09-24,4400.00,4500.00,4390.00,4410.00,181400,4371.76
2012-09-21,4280.00,4470.00,4280.00,4400.00,330100,4361.84
2012-09-20,4255.00,4270.00,4225.00,4260.00,68100,4223.06
2012-09-19,4255.00,4290.00,4220.00,4230.00,61100,4193.32
2012-09-18,4255.00,4295.00,4210.00,4240.00,152000,4203.23
2012-09-17,4295.00,4330.00,4240.00,4280.00,70200,4242.88
2012-09-14,4235.00,4310.00,4235.00,4290.00,119900,4252.80
2012-09-13,4190.00,4285.00,4190.00,4255.00,92600,4218.10
2012-09-12,4180.00,4245.00,4180.00,4190.00,67800,4153.66
2012-09-11,4200.00,4265.00,4185.00,4185.00,80700,4148.71
2012-09-10,4220.00,4255.00,4200.00,4200.00,64700,4163.58
2012-09-07,4230.00,4250.00,4200.00,4200.00,72800,4163.58
2012-09-06,4180.00,4220.00,4135.00,4215.00,122700,4178.45
2012-09-05,4270.00,4270.00,4160.00,4185.00,151100,4148.71
2012-09-04,4370.00,4390.00,4265.00,4270.00,139000,4232.97
2012-09-03,4435.00,4470.00,4350.00,4370.00,92600,4332.10
2012-08-31,4500.00,4610.00,4410.00,4420.00,270100,4381.67
2012-08-30,4400.00,4430.00,4330.00,4400.00,111600,4361.84
2012-08-29,4330.00,4415.00,4325.00,4400.00,164300,4361.84
2012-08-28,4320.00,4700.00,4270.00,4320.00,1134100,4282.54
2012-08-27,4255.00,4375.00,4255.00,4320.00,90000,4282.54
2012-08-24,4310.00,4350.00,4250.00,4285.00,99000,4247.84
2012-08-23,4340.00,4380.00,4310.00,4345.00,94100,4307.32
2012-08-22,4255.00,4350.00,4235.00,4350.00,152700,4312.28
2012-08-21,4130.00,4260.00,4130.00,4260.00,161000,4223.06
2012-08-20,4150.00,4210.00,4135.00,4155.00,72000,4118.97
2012-08-17,4200.00,4220.00,4110.00,4110.00,99500,4074.36
2012-08-16,4185.00,4240.00,4180.00,4180.00,61200,4143.75
2012-08-15,4200.00,4200.00,4200.00,4200.00,000,4163.58
2012-08-14,4185.00,4240.00,4180.00,4200.00,40700,4163.58
2012-08-13,4250.00,4265.00,4185.00,4185.00,67400,4148.71
2012-08-10,4205.00,4250.00,4205.00,4250.00,40300,4213.14
2012-08-09,4170.00,4250.00,4170.00,4245.00,174600,4208.19
2012-08-08,4200.00,4230.00,4185.00,4195.00,90400,4158.62
2012-08-07,4185.00,4230.00,4160.00,4200.00,54500,4163.58
2012-08-06,4185.00,4220.00,4160.00,4185.00,65800,4148.71
2012-08-03,4105.00,4185.00,4105.00,4170.00,57300,4133.84
2012-08-02,4140.00,4170.00,4110.00,4130.00,45600,4094.18
2012-08-01,4250.00,4260.00,4090.00,4130.00,178600,4094.18
2012-07-31,4030.00,4435.00,4030.00,4165.00,487100,4128.88
2012-07-30,4030.00,4085.00,4005.00,4040.00,37900,4004.96
2012-07-27,3955.00,4050.00,3950.00,4015.00,62200,3980.18
2012-07-26,3970.00,3970.00,3915.00,3920.00,48500,3886.00
2012-07-25,3930.00,3975.00,3915.00,3920.00,56100,3886.00
2012-07-24,3885.00,3970.00,3885.00,3945.00,36100,3910.79
2012-07-23,4050.00,4050.00,3930.00,3930.00,140900,3895.92
2012-07-20,4040.00,4080.00,4040.00,4045.00,79000,4009.92
2012-07-19,4040.00,4095.00,4040.00,4040.00,53800,4004.96
2012-07-18,4120.00,4165.00,4030.00,4030.00,123600,3995.05
2012-07-17,4020.00,4165.00,4020.00,4125.00,97000,4089.23
2012-07-16,4100.00,4100.00,4000.00,4060.00,96200,4024.79
2012-07-13,4115.00,4115.00,3980.00,4055.00,87300,4019.83
2012-07-12,4075.00,4140.00,4075.00,4115.00,52900,4079.31
2012-07-11,4050.00,4100.00,4050.00,4070.00,37300,4034.70
2012-07-10,4100.00,4110.00,4065.00,4080.00,49200,4044.62
2012-07-09,4110.00,4110.00,4050.00,4095.00,44900,4059.49
2012-07-06,4130.00,4140.00,4070.00,4080.00,105200,4044.62
2012-07-05,4190.00,4200.00,4065.00,4090.00,111800,4054.53
2012-07-04,4190.00,4230.00,4175.00,4195.00,85800,4158.62
2012-07-03,4200.00,4235.00,4180.00,4190.00,92800,4153.66
2012-07-02,4160.00,4210.00,4160.00,4190.00,83300,4153.66
2012-06-29,4065.00,4145.00,4060.00,4145.00,73900,4109.05
2012-06-28,4090.00,4095.00,4030.00,4090.00,42100,4054.53
2012-06-27,4070.00,4130.00,4050.00,4050.00,123400,4014.88
2012-06-26,4050.00,4100.00,4040.00,4060.00,60500,4024.79
2012-06-25,4095.00,4120.00,4040.00,4095.00,77400,4059.49
2012-06-22,4050.00,4110.00,4030.00,4100.00,127300,4064.44
2012-06-21,4060.00,4150.00,4060.00,4095.00,101100,4059.49
2012-06-20,4120.00,4120.00,4030.00,4095.00,79700,4059.49
2012-06-19,4010.00,4095.00,4010.00,4075.00,66600,4039.66
2012-06-18,4010.00,4100.00,4010.00,4070.00,69300,4034.70
2012-06-15,3860.00,4080.00,3860.00,4000.00,184400,3965.31
2012-06-14,3860.00,3925.00,3860.00,3860.00,100800,3826.52
2012-06-13,3965.00,3990.00,3845.00,3860.00,150300,3826.52
2012-06-12,3860.00,3920.00,3820.00,3900.00,56900,3866.18
2012-06-11,3860.00,3920.00,3815.00,3880.00,83000,3846.35
2012-06-08,3850.00,3870.00,3800.00,3815.00,81800,3781.92
2012-06-07,3695.00,3830.00,3695.00,3800.00,122800,3767.05
2012-06-06,3635.00,3635.00,3635.00,3635.00,000,3603.48
2012-06-05,3615.00,3655.00,3600.00,3635.00,65500,3603.48
2012-06-04,3680.00,3690.00,3560.00,3585.00,212700,3553.91
2012-06-01,3775.00,3825.00,3755.00,3755.00,97100,3722.44
2012-05-31,3785.00,3795.00,3750.00,3775.00,119100,3742.26
2012-05-30,3855.00,3885.00,3810.00,3810.00,143700,3776.96
2012-05-29,3830.00,3860.00,3815.00,3830.00,104700,3796.79
2012-05-28,3830.00,3830.00,3830.00,3830.00,000,3796.79
2012-05-25,3855.00,3870.00,3810.00,3830.00,63900,3796.79
2012-05-24,3825.00,3855.00,3750.00,3810.00,99200,3776.96
2012-05-23,3970.00,3995.00,3805.00,3825.00,184200,3791.83
2012-05-22,3845.00,3975.00,3845.00,3970.00,91300,3935.57
2012-05-21,3815.00,3870.00,3785.00,3820.00,122500,3786.87
2012-05-18,4000.00,4000.00,3800.00,3800.00,249100,3767.05
2012-05-17,4035.00,4090.00,4000.00,4040.00,112600,4004.96
2012-05-16,4195.00,4200.00,4000.00,4035.00,227900,4000.01
2012-05-15,4260.00,4285.00,4165.00,4195.00,108900,4158.62
2012-05-14,4270.00,4300.00,4220.00,4300.00,132400,4262.71
2012-05-11,4280.00,4360.00,4240.00,4265.00,148800,4228.01
2012-05-10,4295.00,4300.00,4240.00,4295.00,89600,4257.75
2012-05-09,4270.00,4305.00,4265.00,4295.00,70400,4257.75
2012-05-08,4160.00,4300.00,4160.00,4300.00,152600,4262.71
2012-05-07,4170.00,4215.00,4160.00,4190.00,58100,4153.66
2012-05-04,4200.00,4225.00,4130.00,4200.00,88500,4163.58
2012-05-03,4170.00,4235.00,4130.00,4165.00,143600,4128.88
2012-05-02,4035.00,4230.00,4030.00,4230.00,263200,4193.32
2012-05-01,4025.00,4025.00,4025.00,4025.00,000,3990.09
2012-04-30,4080.00,4105.00,4010.00,4025.00,178100,3990.09
2012-04-27,4155.00,4155.00,4050.00,4065.00,191500,4029.75
2012-04-26,4105.00,4150.00,4075.00,4130.00,150900,4094.18
2012-04-25,4140.00,4160.00,4040.00,4075.00,251300,4039.66
2012-04-24,4240.00,4240.00,4090.00,4135.00,247900,4099.14
2012-04-23,4305.00,4335.00,4260.00,4290.00,97200,4252.80
2012-04-20,4300.00,4335.00,4220.00,4275.00,138000,4237.93
2012-04-19,4300.00,4390.00,4280.00,4280.00,181100,4242.88
2012-04-18,4285.00,4390.00,4265.00,4300.00,247000,4262.71
2012-04-17,4100.00,4250.00,4055.00,4240.00,328000,4203.23
2012-04-16,4110.00,4150.00,4080.00,4085.00,181000,4049.57
2012-04-13,4125.00,4215.00,4095.00,4155.00,226000,4118.97
2012-04-12,4200.00,4250.00,4105.00,4160.00,206300,4123.92
2012-04-11,4135.00,4135.00,4135.00,4135.00,000,4099.14
2012-04-10,4105.00,4230.00,4105.00,4135.00,179900,4099.14
2012-04-09,4120.00,4230.00,4085.00,4130.00,152100,4094.18
2012-04-06,4070.00,4110.00,4050.00,4085.00,62500,4049.57
2012-04-05,4095.00,4140.00,3970.00,4070.00,112800,4034.70
2012-04-04,4180.00,4190.00,4065.00,4080.00,127400,4044.62
2012-04-03,4175.00,4235.00,4130.00,4180.00,266000,4143.75
2012-04-02,4075.00,4170.00,4050.00,4140.00,147300,4104.10
2012-03-30,3895.00,4075.00,3895.00,4030.00,191900,3995.05
2012-03-29,4095.00,4095.00,3800.00,3940.00,590800,3905.83
2012-03-28,4320.00,4320.00,4045.00,4095.00,442300,4059.49
2012-03-27,4340.00,4395.00,4280.00,4290.00,149700,4252.80
2012-03-26,4305.00,4345.00,4240.00,4310.00,278600,4272.62
2012-03-23,4415.00,4495.00,4320.00,4430.00,343700,4391.58
2012-03-22,4330.00,4380.00,4290.00,4360.00,151900,4322.19
2012-03-21,4240.00,4330.00,4150.00,4280.00,232500,4242.88
