Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,89600.00,89600.00,89600.00,89600.00,000,89600.00
2012-12-28,92500.00,94800.00,89600.00,89600.00,1000,89600.00
2012-12-27,99400.00,99400.00,91000.00,91500.00,900,91500.00
2012-12-26,90416.70,90833.30,88750.00,90000.00,2300,75000.00
2012-12-25,88750.00,88750.00,88750.00,88750.00,000,73958.33
2012-12-24,88750.00,90833.30,88333.30,88750.00,1600,73958.33
2012-12-21,86250.00,88750.00,85833.30,88333.30,700,73611.08
2012-12-20,88333.30,88750.00,86250.00,87916.70,600,73263.92
2012-12-19,88333.30,88333.30,88333.30,88333.30,000,73611.08
2012-12-18,87500.00,88750.00,84166.70,88333.30,2700,73611.08
2012-12-17,83333.30,93750.00,83333.30,86666.70,12700,72222.25
2012-12-14,81666.70,83333.30,81666.70,83250.00,200,69375.00
2012-12-13,79666.70,83333.30,79666.70,83250.00,1900,69375.00
2012-12-12,78833.30,83166.70,78833.30,83166.70,300,69305.58
2012-12-11,80416.70,81333.30,78333.30,80333.30,200,66944.41
2012-12-10,83750.00,83750.00,81250.00,81666.70,000,68055.58
2012-12-07,85000.00,85000.00,81916.70,81916.70,100,68263.92
2012-12-06,82833.30,84583.30,82833.30,83750.00,000,69791.66
2012-12-05,84166.70,84583.30,82833.30,82833.30,500,69027.74
2012-12-04,86666.70,86666.70,85000.00,86666.70,000,72222.25
2012-12-03,86250.00,86666.70,84583.30,86666.70,000,72222.25
2012-11-30,85000.00,86666.70,85000.00,86666.70,1200,72222.25
2012-11-29,86666.70,87500.00,85000.00,86250.00,300,71875.00
2012-11-28,90000.00,90000.00,87500.00,88333.30,100,73611.08
2012-11-27,87916.70,90416.70,87916.70,88333.30,400,73611.08
2012-11-26,86250.00,89166.70,86250.00,87916.70,200,73263.92
2012-11-23,85000.00,86250.00,85000.00,86250.00,400,71875.00
2012-11-22,83750.00,85000.00,82416.70,85000.00,600,70833.33
2012-11-21,82666.70,85416.70,82500.00,84166.70,1200,70138.92
2012-11-20,80833.30,82666.70,80833.30,82666.70,300,68888.92
2012-11-19,82166.70,82666.70,80166.70,82416.70,300,68680.58
2012-11-16,80666.70,81666.70,79666.70,81166.70,2000,67638.92
2012-11-15,81583.30,81583.30,80666.70,81416.70,000,67847.25
2012-11-14,81666.70,82000.00,80833.30,81583.30,700,67986.08
2012-11-13,80416.70,82000.00,79916.70,81666.70,1300,68055.58
2012-11-12,80583.30,80583.30,77666.70,79416.70,1600,66180.58
2012-11-09,80583.30,80583.30,76000.00,79083.30,3300,65902.74
2012-11-08,82250.00,82250.00,80583.30,81166.70,500,67638.92
2012-11-07,84583.30,84583.30,80500.00,81666.70,1200,68055.58
2012-11-06,84583.30,86250.00,83750.00,83750.00,300,69791.66
2012-11-05,85416.70,85833.30,84583.30,84583.30,200,70486.08
2012-11-02,86250.00,87083.30,84166.70,86250.00,700,71875.00
2012-11-01,85000.00,86250.00,83166.70,85833.30,400,71527.74
2012-10-31,85000.00,85000.00,84166.70,84583.30,100,70486.08
2012-10-30,84166.70,84583.30,83000.00,83333.30,100,69444.41
2012-10-29,85000.00,85000.00,81916.70,83333.30,1700,69444.41
2012-10-26,83750.00,84583.30,83083.30,84166.70,100,70138.92
2012-10-25,83750.00,85416.70,83750.00,84166.70,000,70138.92
2012-10-24,82666.70,85000.00,82666.70,85000.00,900,70833.33
2012-10-23,83750.00,85416.70,83750.00,83750.00,200,69791.66
2012-10-22,82500.00,85000.00,82500.00,83750.00,400,69791.66
2012-10-19,83333.30,83750.00,82500.00,83083.30,600,69236.08
2012-10-18,85833.30,85833.30,83333.30,83333.30,900,69444.41
2012-10-17,84166.70,86250.00,83750.00,85833.30,1600,71527.74
2012-10-16,85000.00,85416.70,83750.00,85000.00,1700,70833.33
2012-10-15,84166.70,85833.30,83750.00,85000.00,2000,70833.33
2012-10-12,83750.00,84583.30,83750.00,84166.70,500,70138.92
2012-10-11,85833.30,85833.30,83750.00,84166.70,300,70138.92
2012-10-10,87500.00,87916.70,85833.30,87083.30,000,72569.41
2012-10-09,87916.70,88750.00,87500.00,88750.00,300,73958.33
2012-10-08,88750.00,88750.00,87500.00,87916.70,600,73263.92
2012-10-05,86666.70,88750.00,85833.30,88750.00,1200,73958.33
2012-10-04,86666.70,87916.70,83750.00,87083.30,700,72569.41
2012-10-03,86666.70,86666.70,86666.70,86666.70,000,72222.25
2012-10-02,85416.70,86666.70,84583.30,86666.70,200,72222.25
2012-10-01,85416.70,85416.70,85416.70,85416.70,000,71180.58
2012-09-28,87083.30,87500.00,85416.70,85416.70,500,71180.58
2012-09-27,86666.70,87083.30,83333.30,87083.30,400,72569.41
2012-09-26,86666.70,87083.30,86250.00,86250.00,500,71875.00
2012-09-25,88333.30,88333.30,86250.00,86250.00,000,71875.00
2012-09-24,87083.30,88333.30,85833.30,88333.30,000,73611.08
2012-09-21,88750.00,90000.00,87083.30,88333.30,800,73611.08
2012-09-20,87500.00,89166.70,86666.70,88750.00,2000,73958.33
2012-09-19,87083.30,88333.30,83333.30,88333.30,2200,73611.08
2012-09-18,89166.70,89166.70,87083.30,87500.00,100,72916.66
2012-09-17,89166.70,90833.30,87916.70,89166.70,000,74305.58
2012-09-14,85000.00,89166.70,85000.00,89166.70,2200,74305.58
2012-09-13,83333.30,85000.00,83333.30,85000.00,000,70833.33
2012-09-12,83000.00,85416.70,83000.00,83333.30,500,69444.41
2012-09-11,83000.00,84166.70,83000.00,83333.30,000,69444.41
2012-09-10,83000.00,84166.70,81750.00,84166.70,000,70138.92
2012-09-07,83750.00,85833.30,82750.00,84166.70,100,70138.92
2012-09-06,82333.30,82333.30,82333.30,82333.30,000,68611.08
2012-09-05,83750.00,83750.00,82666.70,82666.70,000,68888.92
2012-09-04,84166.70,85416.70,84166.70,85416.70,000,71180.58
2012-09-03,82166.70,84166.70,82166.70,84166.70,000,70138.92
2012-08-31,84166.70,84166.70,82166.70,82166.70,200,68472.25
2012-08-30,85833.30,85833.30,83750.00,84166.70,000,70138.92
2012-08-29,86666.70,86666.70,85000.00,85000.00,000,70833.33
2012-08-28,86666.70,87500.00,86666.70,87500.00,200,72916.66
2012-08-27,84583.30,87500.00,84583.30,87083.30,1400,72569.41
2012-08-24,85833.30,85833.30,84583.30,84583.30,000,70486.08
2012-08-23,83750.00,87500.00,83000.00,87500.00,700,72916.66
2012-08-22,85833.30,87083.30,83083.30,83083.30,1100,69236.08
2012-08-21,85416.70,87083.30,84166.70,85416.70,700,71180.58
2012-08-20,87500.00,87500.00,84583.30,84583.30,700,70486.08
2012-08-17,84583.30,87916.70,84166.70,87500.00,1100,72916.66
2012-08-16,85833.30,87083.30,83750.00,86250.00,900,71875.00
2012-08-15,87500.00,87500.00,87500.00,87500.00,000,72916.66
2012-08-14,85833.30,87916.70,85000.00,87500.00,1200,72916.66
2012-08-13,85000.00,86666.70,83333.30,85833.30,900,71527.74
2012-08-10,85000.00,86250.00,83333.30,85833.30,1200,71527.74
2012-08-09,81166.70,85000.00,81166.70,85000.00,3400,70833.33
2012-08-08,77916.70,81500.00,77916.70,81250.00,1900,67708.33
2012-08-07,77500.00,77916.70,76666.70,76750.00,100,63958.33
2012-08-06,78000.00,78000.00,77250.00,77750.00,100,64791.66
2012-08-03,77250.00,77916.70,76500.00,77666.70,100,64722.25
2012-08-02,76750.00,77833.30,76750.00,77666.70,100,64722.25
2012-08-01,77083.30,78000.00,76500.00,77666.70,000,64722.25
2012-07-31,75000.00,76416.70,75000.00,76416.70,500,63680.58
2012-07-30,75916.70,76583.30,75000.00,76166.70,100,63472.25
2012-07-27,77166.70,77166.70,75166.70,75166.70,300,62638.92
2012-07-26,77000.00,77500.00,75416.70,77166.70,000,64305.58
2012-07-25,74333.30,76583.30,74250.00,76583.30,000,63819.41
2012-07-24,75583.30,77083.30,75416.70,77083.30,000,64236.08
2012-07-23,75833.30,76000.00,75250.00,75583.30,200,62986.08
2012-07-20,76166.70,76666.70,75250.00,75833.30,100,63194.41
2012-07-19,73833.30,76166.70,73833.30,76166.70,100,63472.25
2012-07-18,75583.30,75583.30,74750.00,74750.00,400,62291.66
2012-07-17,75416.70,75916.70,75416.70,75583.30,200,62986.08
2012-07-16,75916.70,76916.70,74250.00,75416.70,700,62847.25
2012-07-13,77583.30,77583.30,75166.70,75166.70,500,62638.92
2012-07-12,80583.30,82333.30,76916.70,77333.30,600,64444.41
2012-07-11,79416.70,82750.00,79166.70,80750.00,300,67291.66
2012-07-10,83166.70,83166.70,80250.00,81250.00,200,67708.33
2012-07-09,82083.30,84583.30,82083.30,83250.00,400,69375.00
2012-07-06,83333.30,88333.30,81833.30,82083.30,1500,68402.74
2012-07-05,81250.00,81250.00,79583.30,81083.30,000,67569.41
2012-07-04,79583.30,79916.70,79583.30,79916.70,000,66597.25
2012-07-03,79166.70,79166.70,79083.30,79083.30,000,65902.74
2012-07-02,76666.70,79166.70,76666.70,78000.00,100,65000.00
2012-06-29,76750.00,77500.00,75250.00,77500.00,100,64583.33
