Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,31050.00,31050.00,31050.00,31050.00,000,31050.00
2012-12-28,31050.00,31350.00,30650.00,31050.00,1722500,31050.00
2012-12-27,30400.00,31000.00,30250.00,30950.00,1985800,30950.00
2012-12-26,29850.00,30600.00,29750.00,29850.00,2186900,29850.00
2012-12-25,29700.00,29700.00,29700.00,29700.00,000,29700.00
2012-12-24,30300.00,30350.00,29400.00,29700.00,2874200,29700.00
2012-12-21,31400.00,31450.00,29950.00,30250.00,3226700,30250.00
2012-12-20,31750.00,31850.00,30850.00,31350.00,2443900,31350.00
2012-12-19,31550.00,31550.00,31550.00,31550.00,000,31550.00
2012-12-18,31200.00,31800.00,31100.00,31550.00,2792600,31550.00
2012-12-17,31000.00,31550.00,30400.00,30800.00,5363100,30800.00
2012-12-14,32500.00,32750.00,31500.00,31700.00,4830800,31700.00
2012-12-13,32800.00,33250.00,32150.00,33000.00,4067000,33000.00
2012-12-12,34000.00,34100.00,32500.00,32700.00,5949900,32700.00
2012-12-11,34700.00,35000.00,34250.00,34400.00,1517500,34400.00
2012-12-10,35050.00,35350.00,34000.00,34650.00,2124500,34650.00
2012-12-07,34850.00,35550.00,34700.00,35400.00,1114500,35400.00
2012-12-06,35200.00,35550.00,34600.00,35100.00,1484400,35100.00
2012-12-05,34750.00,35600.00,34700.00,35350.00,1683400,35350.00
2012-12-04,34000.00,34800.00,34000.00,34550.00,1215500,34550.00
2012-12-03,34650.00,34850.00,34100.00,34300.00,1812700,34300.00
2012-11-30,34100.00,35100.00,33500.00,34600.00,3510900,34600.00
2012-11-29,35700.00,36100.00,34000.00,34400.00,5398800,34400.00
2012-11-28,35700.00,35900.00,35350.00,35750.00,2049600,35750.00
2012-11-27,36200.00,36250.00,35100.00,36200.00,2606300,36200.00
2012-11-26,36650.00,36950.00,35450.00,35800.00,2514200,35800.00
2012-11-23,35700.00,36250.00,35250.00,36200.00,1425000,36200.00
2012-11-22,35400.00,35950.00,34550.00,35800.00,1817200,35800.00
2012-11-21,36050.00,36050.00,34600.00,35100.00,2291400,35100.00
2012-11-20,35500.00,36300.00,35400.00,36050.00,2917100,36050.00
2012-11-19,34800.00,35150.00,34350.00,34650.00,1890600,34650.00
2012-11-16,34250.00,34750.00,33950.00,34050.00,1622700,34050.00
2012-11-15,34200.00,34950.00,34000.00,34250.00,2155700,34250.00
2012-11-14,35200.00,35550.00,34150.00,34950.00,3036000,34950.00
2012-11-13,35400.00,35600.00,34700.00,35050.00,1651900,35050.00
2012-11-12,35600.00,35650.00,34500.00,35350.00,1895600,35350.00
2012-11-09,35800.00,36300.00,35400.00,35400.00,1953100,35400.00
2012-11-08,35700.00,36400.00,35500.00,36100.00,2234800,36100.00
2012-11-07,35450.00,36600.00,35100.00,36150.00,3592900,36150.00
2012-11-06,34950.00,35250.00,33850.00,35100.00,2908300,35100.00
2012-11-05,34350.00,35000.00,33800.00,34750.00,2811600,34750.00
2012-11-02,33950.00,34700.00,33750.00,34350.00,4744500,34350.00
2012-11-01,32400.00,33500.00,32200.00,33100.00,3942000,33100.00
2012-10-31,32600.00,33000.00,32100.00,32400.00,2452100,32400.00
2012-10-30,32800.00,32900.00,32100.00,32500.00,2384900,32500.00
2012-10-29,31250.00,32900.00,31200.00,32450.00,7124900,32450.00
2012-10-26,31000.00,31000.00,29650.00,30150.00,1901500,30150.00
2012-10-25,30150.00,30950.00,30100.00,30500.00,2148900,30500.00
2012-10-24,29800.00,30700.00,29500.00,30500.00,2840800,30500.00
2012-10-23,29800.00,30550.00,29800.00,30050.00,2642100,30050.00
2012-10-22,28650.00,29900.00,28600.00,29500.00,1751900,29500.00
2012-10-19,29400.00,29950.00,28950.00,29350.00,1636800,29350.00
2012-10-18,29350.00,29600.00,28750.00,29600.00,2068800,29600.00
2012-10-17,29150.00,29550.00,29100.00,29200.00,3189700,29200.00
2012-10-16,27350.00,28550.00,27300.00,28350.00,2695400,28350.00
2012-10-15,27050.00,27550.00,26900.00,27050.00,942500,27050.00
2012-10-12,27250.00,27850.00,27150.00,27150.00,1627500,27150.00
2012-10-11,26550.00,27450.00,26500.00,27050.00,2259700,27050.00
2012-10-10,26050.00,27000.00,26050.00,26600.00,1982900,26600.00
2012-10-09,26450.00,26900.00,26300.00,26350.00,1840000,26350.00
2012-10-08,26800.00,26950.00,26100.00,26450.00,1828000,26450.00
2012-10-05,27600.00,27750.00,26600.00,26850.00,4165000,26850.00
2012-10-04,28800.00,29150.00,28100.00,28100.00,2292800,28100.00
2012-10-03,28600.00,28600.00,28600.00,28600.00,000,28600.00
2012-10-02,28300.00,28850.00,28200.00,28600.00,1257700,28600.00
2012-10-01,28350.00,28350.00,28350.00,28350.00,000,28350.00
2012-09-28,28000.00,28400.00,27900.00,28350.00,1365300,28350.00
2012-09-27,27750.00,27950.00,27100.00,27800.00,1815100,27800.00
2012-09-26,27850.00,28700.00,27650.00,27900.00,3312800,27900.00
2012-09-25,28750.00,28900.00,27900.00,28250.00,1969100,28250.00
2012-09-24,28600.00,29200.00,28200.00,29050.00,2151800,29050.00
2012-09-21,29300.00,29400.00,27850.00,28500.00,4244500,28500.00
2012-09-20,29500.00,29950.00,29250.00,29300.00,1916800,29300.00
2012-09-19,29000.00,29600.00,28950.00,29400.00,2210200,29400.00
2012-09-18,28800.00,28900.00,28500.00,28900.00,2022900,28900.00
2012-09-17,28800.00,28900.00,28300.00,28550.00,1838200,28550.00
2012-09-14,27700.00,28400.00,27650.00,28350.00,3630900,28350.00
2012-09-13,27600.00,27750.00,26850.00,27050.00,3662800,27050.00
2012-09-12,27350.00,27650.00,27000.00,27600.00,2410000,27600.00
2012-09-11,27500.00,27600.00,26950.00,27200.00,1865500,27200.00
2012-09-10,27300.00,27600.00,27100.00,27450.00,1649800,27450.00
2012-09-07,27800.00,27950.00,27200.00,27550.00,2682800,27550.00
2012-09-06,26900.00,27000.00,26300.00,27000.00,1511200,27000.00
2012-09-05,26700.00,27050.00,26600.00,26700.00,1878000,26700.00
2012-09-04,26000.00,26750.00,26000.00,26600.00,1466700,26600.00
2012-09-03,26550.00,26600.00,26000.00,26050.00,1615400,26050.00
2012-08-31,25950.00,26300.00,25700.00,25950.00,1634800,25950.00
2012-08-30,26450.00,26700.00,25850.00,26250.00,1513000,26250.00
2012-08-29,26900.00,27100.00,26500.00,26800.00,1584700,26800.00
2012-08-28,27050.00,27350.00,26650.00,26800.00,1501700,26800.00
2012-08-27,26650.00,27200.00,26400.00,26900.00,3624300,26900.00
2012-08-24,26050.00,26500.00,25600.00,25800.00,2099000,25800.00
2012-08-23,27100.00,27200.00,26250.00,26450.00,1704400,26450.00
2012-08-22,26650.00,27150.00,26050.00,26950.00,2675800,26950.00
2012-08-21,27300.00,27500.00,26450.00,26650.00,1961700,26650.00
2012-08-20,27050.00,27200.00,26500.00,26900.00,1504200,26900.00
2012-08-17,26650.00,27200.00,26550.00,27000.00,2949400,27000.00
2012-08-16,26850.00,27000.00,26250.00,26350.00,1553700,26350.00
2012-08-15,26350.00,26350.00,26350.00,26350.00,000,26350.00
2012-08-14,25900.00,26450.00,25850.00,26350.00,1924700,26350.00
2012-08-13,26150.00,26150.00,25600.00,25800.00,1035100,25800.00
2012-08-10,25350.00,26200.00,25350.00,26000.00,3088300,26000.00
2012-08-09,24750.00,25500.00,24700.00,25250.00,2448000,25250.00
2012-08-08,24950.00,25500.00,24500.00,24600.00,2871600,24600.00
2012-08-07,25000.00,25150.00,24650.00,24700.00,1316700,24700.00
2012-08-06,25450.00,25750.00,25100.00,25150.00,2439800,25150.00
2012-08-03,23650.00,25050.00,23500.00,24800.00,3482700,24800.00
2012-08-02,24100.00,24350.00,23850.00,23950.00,854700,23950.00
2012-08-01,24050.00,24550.00,23800.00,24200.00,1726500,24200.00
2012-07-31,23600.00,24500.00,23600.00,24450.00,2739600,24450.00
2012-07-30,23750.00,24050.00,23500.00,23700.00,2144000,23700.00
2012-07-27,22900.00,23650.00,22750.00,23500.00,4980600,23500.00
2012-07-26,20850.00,21900.00,20450.00,21900.00,2812600,21900.00
2012-07-25,21600.00,21600.00,20950.00,21050.00,2301100,21050.00
2012-07-24,21600.00,22250.00,21500.00,22100.00,1399700,22100.00
2012-07-23,21900.00,22150.00,21550.00,21650.00,1250500,21650.00
2012-07-20,21400.00,22100.00,21400.00,21950.00,1456100,21950.00
2012-07-19,22000.00,22200.00,20950.00,21400.00,3196000,21400.00
2012-07-18,22800.00,23050.00,21350.00,21750.00,2256600,21750.00
2012-07-17,22500.00,23250.00,22450.00,22700.00,1630500,22700.00
2012-07-16,23050.00,23300.00,22400.00,22700.00,1357300,22700.00
2012-07-13,22450.00,23300.00,21500.00,22950.00,3251300,22950.00
2012-07-12,22800.00,23350.00,22500.00,22500.00,2214100,22500.00
2012-07-11,22650.00,22950.00,22500.00,22600.00,1188300,22600.00
2012-07-10,23100.00,23350.00,22450.00,22800.00,1786500,22800.00
2012-07-09,23350.00,23700.00,23000.00,23100.00,1429500,23100.00
2012-07-06,23300.00,23900.00,22950.00,23650.00,3046500,23650.00
2012-07-05,23000.00,23650.00,22850.00,23300.00,2795500,23300.00
2012-07-04,22750.00,23450.00,22600.00,23000.00,3744700,23000.00
