Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,1515000.00,1515000.00,1515000.00,1515000.00,000,1515000.00
2012-12-28,1482000.00,1625000.00,1470000.00,1515000.00,1400,1515000.00
2012-12-27,1461000.00,1512000.00,1454000.00,1477000.00,800,1477000.00
2012-12-26,1482000.00,1505000.00,1458000.00,1479000.00,1200,1479000.00
2012-12-25,1456000.00,1456000.00,1456000.00,1456000.00,000,1456000.00
2012-12-24,1456000.00,1468000.00,1441000.00,1456000.00,800,1456000.00
2012-12-21,1449000.00,1459000.00,1412000.00,1436000.00,1800,1436000.00
2012-12-20,1402000.00,1440000.00,1397000.00,1440000.00,1400,1440000.00
2012-12-19,1408000.00,1408000.00,1408000.00,1408000.00,000,1408000.00
2012-12-18,1419000.00,1441000.00,1399000.00,1408000.00,1200,1408000.00
2012-12-17,1394000.00,1430000.00,1392000.00,1410000.00,1500,1410000.00
2012-12-14,1417000.00,1417000.00,1382000.00,1386000.00,1100,1386000.00
2012-12-13,1367000.00,1422000.00,1365000.00,1422000.00,3300,1422000.00
2012-12-12,1386000.00,1401000.00,1374000.00,1382000.00,1200,1382000.00
2012-12-11,1385000.00,1393000.00,1385000.00,1386000.00,800,1386000.00
2012-12-10,1390000.00,1404000.00,1390000.00,1393000.00,900,1393000.00
2012-12-07,1404000.00,1416000.00,1392000.00,1405000.00,600,1405000.00
2012-12-06,1410000.00,1416000.00,1399000.00,1399000.00,1600,1399000.00
2012-12-05,1412000.00,1433000.00,1412000.00,1419000.00,700,1419000.00
2012-12-04,1401000.00,1435000.00,1401000.00,1419000.00,900,1419000.00
2012-12-03,1416000.00,1429000.00,1397000.00,1419000.00,2000,1419000.00
2012-11-30,1431000.00,1448000.00,1411000.00,1420000.00,2700,1420000.00
2012-11-29,1479000.00,1479000.00,1419000.00,1442000.00,2000,1442000.00
2012-11-28,1459000.00,1459000.00,1435000.00,1443000.00,500,1443000.00
2012-11-27,1470000.00,1474000.00,1432000.00,1449000.00,1000,1449000.00
2012-11-26,1432000.00,1460000.00,1432000.00,1451000.00,800,1451000.00
2012-11-23,1434000.00,1470000.00,1430000.00,1430000.00,600,1430000.00
2012-11-22,1470000.00,1483000.00,1438000.00,1439000.00,600,1439000.00
2012-11-21,1453000.00,1464000.00,1433000.00,1453000.00,900,1453000.00
2012-11-20,1460000.00,1470000.00,1443000.00,1446000.00,1400,1446000.00
2012-11-19,1467000.00,1478000.00,1426000.00,1478000.00,1600,1478000.00
2012-11-16,1436000.00,1469000.00,1406000.00,1446000.00,1500,1446000.00
2012-11-15,1445000.00,1464000.00,1420000.00,1447000.00,1700,1447000.00
2012-11-14,1459000.00,1460000.00,1427000.00,1443000.00,1000,1443000.00
2012-11-13,1474000.00,1474000.00,1440000.00,1444000.00,600,1444000.00
2012-11-12,1430000.00,1464000.00,1413000.00,1464000.00,1300,1464000.00
2012-11-09,1424000.00,1431000.00,1410000.00,1426000.00,2500,1426000.00
2012-11-08,1445000.00,1455000.00,1411000.00,1447000.00,3500,1447000.00
2012-11-07,1480000.00,1491000.00,1431000.00,1448000.00,4400,1448000.00
2012-11-06,1487000.00,1510000.00,1468000.00,1491000.00,1000,1491000.00
2012-11-05,1500000.00,1510000.00,1475000.00,1500000.00,1300,1500000.00
2012-11-02,1509000.00,1520000.00,1466000.00,1489000.00,1400,1489000.00
2012-11-01,1406000.00,1500000.00,1402000.00,1490000.00,7900,1490000.00
2012-10-31,1404000.00,1454000.00,1404000.00,1425000.00,1200,1425000.00
2012-10-30,1434000.00,1446000.00,1383000.00,1396000.00,1400,1396000.00
