Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,658000.00,658000.00,658000.00,658000.00,000,658000.00
2012-12-28,672000.00,685000.00,658000.00,658000.00,8500,658000.00
2012-12-27,642000.00,675000.00,642000.00,673000.00,5400,673000.00
2012-12-26,647000.00,653000.00,641000.00,650000.00,4100,650000.00
2012-12-25,645000.00,645000.00,645000.00,645000.00,000,645000.00
2012-12-24,632000.00,650000.00,622000.00,645000.00,3400,645000.00
2012-12-21,629000.00,635000.00,617000.00,630000.00,3200,630000.00
2012-12-20,637000.00,641000.00,624000.00,624000.00,3600,624000.00
2012-12-19,641000.00,641000.00,641000.00,641000.00,000,641000.00
2012-12-18,646000.00,656000.00,636000.00,641000.00,4300,641000.00
2012-12-17,617000.00,648000.00,615000.00,646000.00,5600,646000.00
2012-12-14,615000.00,626000.00,610000.00,620000.00,7200,620000.00
2012-12-13,621000.00,626000.00,610000.00,620000.00,7200,620000.00
2012-12-12,625000.00,638000.00,613000.00,623000.00,5600,623000.00
2012-12-11,663000.00,670000.00,624000.00,624000.00,7100,624000.00
2012-12-10,677000.00,680000.00,655000.00,670000.00,8700,670000.00
2012-12-07,671000.00,687000.00,662000.00,687000.00,6000,687000.00
2012-12-06,660000.00,675000.00,644000.00,670000.00,6200,670000.00
2012-12-05,662000.00,672000.00,655000.00,663000.00,3400,663000.00
2012-12-04,680000.00,680000.00,661000.00,663000.00,3400,663000.00
2012-12-03,660000.00,682000.00,651000.00,680000.00,8900,680000.00
2012-11-30,639000.00,664000.00,632000.00,662000.00,5600,662000.00
2012-11-29,626000.00,642000.00,621000.00,638000.00,8100,638000.00
2012-11-28,648000.00,648000.00,619000.00,625000.00,8800,625000.00
2012-11-27,653000.00,665000.00,640000.00,647000.00,9500,647000.00
2012-11-26,675000.00,680000.00,651000.00,653000.00,9200,653000.00
2012-11-23,693000.00,693000.00,663000.00,682000.00,7000,682000.00
2012-11-22,709000.00,710000.00,686000.00,694000.00,2900,694000.00
2012-11-21,714000.00,715000.00,700000.00,708000.00,3500,708000.00
2012-11-20,711000.00,723000.00,710000.00,719000.00,3200,719000.00
2012-11-19,702000.00,719000.00,689000.00,718000.00,5300,718000.00
2012-11-16,692000.00,702000.00,669000.00,702000.00,13200,702000.00
2012-11-15,730000.00,732000.00,690000.00,702000.00,12100,702000.00
2012-11-14,758000.00,758000.00,733000.00,740000.00,4100,740000.00
2012-11-13,748000.00,768000.00,737000.00,758000.00,10800,758000.00
2012-11-12,698000.00,749000.00,698000.00,745000.00,14000,745000.00
